Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,4009742,28.8,9.8,9.5,9.5,,,,,,,,,,,
A01,4009742,28.7,9.8,9.5,,9.4,,,,,,,,,,
A02,4012289,26.95,9.2,8.0,,,9.75,,,,,,,,,
A07,4013275,28.3,8.8,,,,,9.75,9.75,,,,,,,
A08,4013275,27.55,8.8,,,,,9.75,,9.0,,,,,,
A09,4008706,27.65,8.4,,,,,,9.25,10.0,,,,,,
B00,4012387,28.45,9.2,,9.75,,9.5,,,,,,,,,
B03,4012179,27.45,9.2,,,,9.25,,,,9.0,,,,,
B08,4012289,28.35,9.2,,,9.4,9.75,,,,,,,,,
C00,4006572,29.0,,,,,,9.75,10.0,,9.25,,,,,
C01,4009742,27.8,9.8,9.5,,,,,,,8.5,,,,,
C02,4009742,27.8,9.8,,9.5,,,,,,8.5,,,,,
C03,4013036,27.75,9.0,,,,,9.25,,,9.5,,,,,
C04,4013036,27.5,9.0,,,,,,9.0,,9.5,,,,,
C05,4012557,27.75,,9.5,8.75,,,,,,9.5,,,,,
C06,4012557,26.75,,9.5,,,7.75,,,,9.5,,,,,
C08,4009759,28.0,,,10.0,,9.25,,,,8.75,,,,,
C14,4013081,27.4,8.4,,,,,,,9.75,9.25,,,,,
C19,4013261,28.75,,,,,,9.75,,10.0,9.0,,,,,
C20,4001740,28.25,,,,,,,10.0,9.75,8.5,,,,,
D01,4013036,28.1,9.0,,,9.6,,,,,9.5,,,,,
D03,4008954,25.05,6.6,,,,,,,,9.25,9.2,,,,
D04,4009697,24.85,8.4,,,,,,,,7.25,,9.2,,,
D05,4012571,23.75,7.4,,,,,,,,8.75,,,7.6,,
D06,4013001,26.6,7.6,,,,,,,,9.0,,,,10.0,
D07,4009742,28.7,9.8,,9.5,9.4,,,,,,,,,,
D08,4012289,28.35,9.2,,,9.4,9.75,,,,,,,,,
D09,4013036,27.85,9.0,,,9.6,,9.25,,,,,,,,
D10,4013275,27.75,8.8,,,9.2,,,9.75,,,,,,,
D11,4008648,28.1,,9.5,,9.6,,,,,9.0,,,,,
D12,4009523,27.75,,,8.75,10.0,,,,,9.0,,,,,
D13,4009018,26.65,,,,9.4,9.0,,,,8.25,,,,,
D14,4013036,28.35,,,,9.6,,9.25,,,9.5,,,,,
D15,4008613,28.3,,,,9.8,,,9.5,,9.0,,,,,
D16,4012571,23.75,7.4,,,,,,8.75,,,,,7.6,,
D18,4013001,26.85,7.6,,,,,,9.25,,,,,,10.0,
D19,4008954,24.05,6.6,,,,,,8.25,,,9.2,,,,
D20,4012254,24.65,7.8,,,,,,9.25,,,,7.6,,,
D21,4009180,13.85,5.8,,5.25,,,,,,,,,2.8,,
D23,4008500,24.55,8.8,,6.75,,,,,,,,,,9.0,
D24,4009184,25.15,8.6,,8.75,,,,,,,7.8,,,,
D25,4009697,23.1,8.4,,5.5,,,,,,,,9.2,,,
D26,4009180,15.1,5.8,6.5,,,,,,,,,,2.8,,
D28,4008500,26.05,8.8,8.25,,,,,,,,,,,9.0,
D29,4009184,25.9,8.6,9.5,,,,,,,,7.8,,,,
D30,4009697,24.6,8.4,7.0,,,,,,,,,9.2,,,
D31,4009180,14.35,5.8,,,,5.75,,,,,,,2.8,,
D33,4008500,24.55,8.8,,,,6.75,,,,,,,,9.0,
D34,4009184,22.4,8.6,,,,6.0,,,,,7.8,,,,
D35,4009697,24.1,8.4,,,,6.5,,,,,,9.2,,,
D41,4012571,25.1,,,,,,,8.75,,8.75,,,7.6,,
D43,4013001,28.25,,,,,,,9.25,,9.0,,,,10.0,
D44,4008954,26.7,,,,,,,8.25,,9.25,9.2,,,,
D45,4010771,25.45,,,,,,,8.5,,8.75,,8.2,,,
D54,4009184,23.3,,9.5,,,,,,,6.0,7.8,,,,
D55,4009697,23.45,,7.0,,,,,,,7.25,,9.2,,,
D61,4012571,24.85,,,,,,8.5,,,8.75,,,7.6,,
D63,4013001,27.25,,,,,,8.25,,,9.0,,,,10.0,
D64,4008954,26.45,,,,,,8.0,,,9.25,9.2,,,,
D65,4009500,26.85,,,,,,9.0,,,8.25,,9.6,,,
D66,4006945,28.45,,,,9.2,,,,9.75,9.5,,,,,
D69,4013001,28.25,,,,,,,,9.25,9.0,,,,10.0,
D70,4008954,27.2,,,,,,,,8.75,9.25,9.2,,,,
D84,4012699,27.8,8.6,,,9.2,,,,10.0,,,,,,
D85,4012571,24.25,7.4,,,,,,,9.25,,,,7.6,,
D87,4008954,24.55,6.6,,,,,,,8.75,,9.2,,,,
D88,4012580,27.05,8.2,,,,,,,9.25,,,,,9.6,
DD2,4002870,21.8,8.4,,,,,,,,8.0,,,,,5.4
DH1,4002870,22.65,,,,,,,9.25,,8.0,,,,,5.4
