Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,5000552,27.2,9.2,8.25,9.75,,,,,,,,
A01,5000154,27.4,8.8,9.0,,9.6,,,,,,,
A02,5000195,25.6,8.6,8.75,,,8.25,,,,,,
A07,5000071,27.5,8.0,,,,,9.5,10.0,,,,
A08,5000816,27.15,8.4,,,,,9.5,,9.25,,,
A09,5000298,27.5,9.0,,,,,,9.25,9.25,,,
B00,5004207,26.15,8.4,,9.25,,8.5,,,,,,
B03,5005865,25.65,8.4,,,,8.5,,,,8.75,,
B08,5000143,26.25,8.8,,,9.2,8.25,,,,,,
C00,5003254,29.0,,,,,,10.0,10.0,,9.0,,
C01,5000335,26.85,8.6,9.0,,,,,,,9.25,,
C02,5000164,26.3,8.8,,9.25,,,,,,8.25,,
C03,5000816,26.9,8.4,,,,,9.5,,,9.0,,
C04,5000303,27.5,8.0,,,,,,10.0,,9.5,,
C05,5000174,26.25,,8.5,9.5,,,,,,8.25,,
C06,5000335,25.25,,9.0,,,7.0,,,,9.25,,
C08,5000336,25.5,,,9.0,,8.5,,,,8.0,,
C14,5000298,27.25,9.0,,,,,,,9.25,9.0,,
C19,5006855,28.5,,,,,,9.5,,9.75,9.25,,
C20,5006855,28.75,,,,,,,9.75,9.75,9.25,,
D01,5000088,27.6,8.8,,,9.8,,,,,9.0,,
D04,5000145,25.75,8.4,,,,,,,,8.75,8.6,
D07,5000076,26.8,8.6,,9.0,9.2,,,,,,,
D08,5000143,26.25,8.8,,,9.2,8.25,,,,,,
D09,5000222,27.1,8.0,,,9.6,,9.5,,,,,
D10,5000298,27.25,9.0,,,9.0,,,9.25,,,,
D11,5000026,26.65,,8.75,,9.4,,,,,8.5,,
D12,5000174,26.55,,,9.5,8.8,,,,,8.25,,
D13,5005865,26.05,,,,8.8,8.5,,,,8.75,,
D14,5000366,27.45,,,,9.2,,8.75,,,9.5,,
D15,5000303,27.7,,,,8.2,,,10.0,,9.5,,
D20,5000145,24.0,8.4,,,,,,7.0,,,8.6,
D25,5005738,22.9,8.8,,7.5,,,,,,,6.6,
D30,5005738,22.15,8.8,6.75,,,,,,,,6.6,
D35,5006413,21.65,6.8,,,,8.25,,,,,6.6,
D45,5000145,24.35,,,,,,,7.0,,8.75,8.6,
D55,5005738,21.6,,6.75,,,,,,,8.25,6.6,
D65,5000145,24.35,,,,,,7.0,,,8.75,8.6,
D66,5000237,27.95,,,,9.2,,,,9.5,9.25,,
D84,5000088,27.35,8.8,,,9.8,,,,8.75,,,
DD2,5006369,23.5,7.6,,,,,,,,8.5,,7.4
DH1,5006369,23.9,,,,,,,8.0,,8.5,,7.4
