Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,6001381,28.0,9.0,9.5,9.5,,,,,,,,
A01,6001135,27.4,9.2,9.0,,9.2,,,,,,,
A02,6001381,26.25,9.0,9.5,,,7.75,,,,,,
A07,6001742,28.55,8.8,,,,,10.0,9.75,,,,
A08,6001358,28.15,8.4,,,,,9.75,,10.0,,,
A09,6001358,28.15,8.4,,,,,,9.75,10.0,,,
B00,6001231,26.45,9.2,,8.75,,8.5,,,,,,
B03,6001252,25.8,8.8,,,,9.0,,,,8.0,,
B08,6001231,27.1,9.2,,,9.4,8.5,,,,,,
C00,6002214,28.75,,,,,,10.0,10.0,,8.75,,
C01,6001279,26.55,8.8,9.25,,,,,,,8.5,,
C02,6001251,27.1,8.6,,9.5,,,,,,9.0,,
C03,6001742,27.3,8.8,,,,,10.0,,,8.5,,
C04,6001742,27.05,8.8,,,,,,9.75,,8.5,,
C05,6001275,27.5,,9.25,9.75,,,,,,8.5,,
C06,6001279,25.5,,9.25,,,7.75,,,,8.5,,
C08,6001251,26.0,,,9.5,,7.5,,,,9.0,,
C14,6001156,27.45,9.2,,,,,,,9.75,8.5,,
C19,6001386,28.5,,,,,,10.0,,9.75,8.75,,
C20,6003821,28.25,,,,,,,9.75,9.75,8.75,,
D01,6001321,27.6,8.8,,,9.8,,,,,9.0,,
D04,6001200,24.2,8.2,,,,,,,,8.0,8.0,
D07,6001253,27.7,9.0,,9.5,9.2,,,,,,,
D08,6001231,27.1,9.2,,,9.4,8.5,,,,,,
D09,6001321,27.1,8.8,,,9.8,,8.5,,,,,
D10,6001321,27.35,8.8,,,9.8,,,8.75,,,,
D11,6001275,26.95,,9.25,,9.2,,,,,8.5,,
D12,6001275,27.45,,,9.75,9.2,,,,,8.5,,
D13,6001231,25.9,,,,9.4,8.5,,,,8.0,,
D14,6001294,27.8,,,,8.8,,10.0,,,9.0,,
D15,6001177,27.65,,,,9.4,,,9.25,,9.0,,
D20,6001200,24.7,8.2,,,,,,8.5,,,8.0,
D25,6003209,19.55,7.8,,5.75,,,,,,,6.0,
D30,6003209,18.8,7.8,5.0,,,,,,,,6.0,
D35,6003209,19.05,7.8,,,,5.25,,,,,6.0,
D45,6001200,24.5,,,,,,,8.5,,8.0,8.0,
D55,6003209,15.25,,5.0,,,,,,,4.25,6.0,
D65,6003044,24.5,,,,,,9.25,,,7.25,8.0,
D66,6001198,28.15,,,,9.4,,,,9.5,9.25,,
D84,6001142,28.35,8.8,,,9.8,,,,9.75,,,
DD2,6002497,20.65,5.0,,,,,,,,7.25,,8.4
DH1,6003250,21.45,,,,,,,5.5,,6.75,,9.2
