Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,7000561,27.85,8.6,9.5,9.75,,,,,,,,
A01,7000094,27.6,9.2,9.0,,9.4,,,,,,,
A02,7000094,26.2,9.2,9.0,,,8.0,,,,,,
A07,7003658,27.35,8.6,,,,,9.5,9.25,,,,
A08,7003658,27.6,8.6,,,,,9.5,,9.5,,,
A09,7003658,27.35,8.6,,,,,,9.25,9.5,,,
B00,7000209,28.05,8.8,,9.75,,9.5,,,,,,
B03,7001065,25.95,8.2,,,,9.0,,,,8.75,,
B08,7000062,26.8,8.8,,,9.0,9.0,,,,,,
C00,7000709,28.75,,,,,,9.75,10.0,,9.0,,
C01,7000332,26.45,8.2,9.25,,,,,,,9.0,,
C02,7001183,27.25,9.0,,9.75,,,,,,8.5,,
C03,7003658,27.1,8.6,,,,,9.5,,,9.0,,
C04,7003658,26.85,8.6,,,,,,9.25,,9.0,,
C05,7001183,27.0,,8.75,9.75,,,,,,8.5,,
C06,7001091,26.0,,8.5,,,9.5,,,,8.0,,
C08,7001065,27.0,,,9.25,,9.0,,,,8.75,,
C14,7000417,27.1,8.6,,,,,,,9.75,8.75,,
C19,7002603,28.75,,,,,,9.75,,9.75,9.25,,
C20,7000316,28.25,,,,,,,10.0,9.5,8.75,,
D01,7000092,26.65,8.6,,,8.8,,,,,9.25,,
D04,7000660,23.25,8.0,,,,,,,,9.25,6.0,
D07,7000094,27.6,9.2,,9.0,9.4,,,,,,,
D08,7000062,26.8,8.8,,,9.0,9.0,,,,,,
D09,7000027,26.4,8.2,,,9.2,,9.0,,,,,
D10,7000305,26.6,8.8,,,8.8,,,9.0,,,,
D11,7000094,26.15,,9.0,,9.4,,,,,7.75,,
D12,7000306,27.5,,,9.75,9.0,,,,,8.75,,
D13,7000251,25.65,,,,9.4,8.5,,,,7.75,,
D14,7000027,27.2,,,,9.2,,9.0,,,9.0,,
D15,7000422,27.15,,,,9.4,,,8.75,,9.0,,
D20,7000660,22.0,8.0,,,,,,8.0,,,6.0,
D45,7000660,23.25,,,,,,,8.0,,9.25,6.0,
D65,7000660,23.25,,,,,,8.0,,,9.25,6.0,
D66,7000027,27.95,,,,9.2,,,,9.75,9.0,,
D84,7000008,27.6,8.2,,,9.4,,,,10.0,,,
DD2,7000453,21.45,7.6,,,,,,,,6.25,,7.6
