Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,8004173,28.25,9.0,9.5,9.75,,,,,,,,
A01,8004896,27.6,8.6,9.0,,10.0,,,,,,,
A02,8001181,26.65,9.4,9.5,,,7.75,,,,,,
A07,8000271,28.8,8.8,,,,,10.0,10.0,,,,
A08,8000424,27.6,8.6,,,,,9.25,,9.75,,,
A09,8002041,27.9,8.4,,,,,,9.75,9.75,,,
B00,8007763,28.05,8.8,,9.75,,9.5,,,,,,
B03,8000222,27.7,9.2,,,,9.25,,,,9.25,,
B08,8000138,27.15,8.8,,,9.6,8.75,,,,,,
C00,8001509,29.0,,,,,,10.0,10.0,,9.0,,
C01,8007663,27.25,9.0,9.25,,,,,,,9.0,,
C02,8007763,27.8,8.8,,9.75,,,,,,9.25,,
C03,8005165,27.65,8.4,,,,,10.0,,,9.25,,
C04,8000271,27.55,8.8,,,,,,10.0,,8.75,,
C05,8001164,27.75,,9.75,9.0,,,,,,9.0,,
C06,8001164,26.5,,9.75,,,7.75,,,,9.0,,
C08,8007763,28.5,,,9.75,,9.5,,,,9.25,,
C14,8007829,28.05,8.8,,,,,,,9.75,9.5,,
C19,8000839,29.0,,,,,,9.75,,9.5,9.75,,
C20,8005651,29.0,,,,,,,9.75,9.75,9.5,,
D01,8005204,28.1,8.6,,,10.0,,,,,9.5,,
D03,8003548,21.75,7.0,,,,,,,,8.75,6.0,
D04,8005186,27.15,8.6,,,,,,,,8.75,,9.8
D07,8005256,28.0,9.2,,10.0,8.8,,,,,,,
D08,8000138,27.15,8.8,,,9.6,8.75,,,,,,
D09,8005188,27.2,9.0,,,9.2,,9.0,,,,,
D10,8003615,27.1,8.4,,,9.2,,,9.5,,,,
D11,8001164,27.95,,9.75,,9.2,,,,,9.0,,
D12,8005136,28.05,,,9.25,9.8,,,,,9.0,,
D13,8007763,27.35,,,,8.6,9.5,,,,9.25,,
D14,8004941,28.15,,,,9.4,,9.0,,,9.75,,
D15,8001071,28.25,,,,9.0,,,9.5,,9.75,,
D20,8003594,26.05,8.4,,,,,,9.25,,,,8.4
D25,8004104,25.05,8.4,,7.25,,,,,,,,9.4
D30,8004104,26.55,8.4,8.75,,,,,,,,,9.4
D35,8004104,25.55,8.4,,,,7.75,,,,,,9.4
D45,8003573,27.2,,,,,,,9.25,,8.75,,9.2
D55,8004104,26.9,,8.75,,,,,,,8.75,,9.4
D65,8003573,27.45,,,,,,9.5,,,8.75,,9.2
D66,8005204,29.0,,,,10.0,,,,9.5,9.5,,
D84,8005028,28.15,8.6,,,9.8,,,,9.75,,,
