Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,9000350,28.35,9.6,8.75,10.0,,,,,,,,
A01,9000484,27.9,9.0,9.5,,9.4,,,,,,,
A02,9000314,27.1,8.6,9.75,,,8.75,,,,,,
A07,9000444,28.6,8.6,,,,,10.0,10.0,,,,
A08,9004664,28.3,8.8,,,,,9.75,,9.75,,,
A09,9000428,29.15,9.4,,,,,,10.0,9.75,,,
B00,9000320,28.0,9.0,,9.5,,9.5,,,,,,
B03,9000205,26.25,9.0,,,,9.25,,,,8.0,,
B08,9000320,27.9,9.0,,,9.4,9.5,,,,,,
C00,9000444,29.25,,,,,,10.0,10.0,,9.25,,
C01,9003157,26.8,8.8,9.5,,,,,,,8.5,,
C02,9000272,27.1,8.6,,10.0,,,,,,8.5,,
C03,9000444,27.85,8.6,,,,,10.0,,,9.25,,
C04,9000428,28.4,9.4,,,,,,10.0,,9.0,,
C05,9000377,27.5,,9.25,9.5,,,,,,8.75,,
C06,9000314,26.5,,9.75,,,8.75,,,,8.0,,
C08,9000272,27.25,,,10.0,,8.75,,,,8.5,,
C14,9000428,28.15,9.4,,,,,,,9.75,9.0,,
C19,9000444,28.75,,,,,,10.0,,9.5,9.25,,
C20,9000413,29.0,,,,,,,10.0,10.0,9.0,,
D01,9000443,27.65,9.0,,,9.4,,,,,9.25,,
D04,9000535,26.5,8.2,,,,,,,,9.5,8.8,
D07,9000544,28.55,9.2,,9.75,9.6,,,,,,,
D08,9000320,27.9,9.0,,,9.4,9.5,,,,,,
D09,9000444,28.2,8.6,,,9.6,,10.0,,,,,
D10,9000428,28.6,9.4,,,9.2,,,10.0,,,,
D11,9005453,27.2,,9.5,,9.2,,,,,8.5,,
D12,9000536,28.1,,,9.75,9.6,,,,,8.75,,
D13,9000312,26.65,,,,9.4,8.25,,,,9.0,,
D14,9000444,28.85,,,,9.6,,10.0,,,9.25,,
D15,9000444,28.85,,,,9.6,,,10.0,,9.25,,
D20,9000535,26.25,8.2,,,,,,9.25,,,8.8,
D25,9000251,24.9,7.6,,8.5,,,,,,,8.8,
D30,9000465,24.2,8.4,8.0,,,,,,,,7.8,
D35,9000465,24.2,8.4,,,,8.0,,,,,7.8,
D45,9000535,27.55,,,,,,,9.25,,9.5,8.8,
D55,9000251,25.3,,7.75,,,,,,,8.75,8.8,
D65,9000535,26.55,,,,,,8.25,,,9.5,8.8,
D66,9000413,28.4,,,,9.4,,,,10.0,9.0,,
D84,9000428,28.35,9.4,,,9.2,,,,9.75,,,
DD2,9001722,24.6,7.8,,,,,,,,8.0,,8.8
DH1,9001722,24.8,,,,,,,8.0,,8.0,,8.8
