Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,10008626,27.8,8.8,9.25,9.75,,,,,,,,,
A01,10006742,28.35,9.0,9.75,,9.6,,,,,,,,
A02,10006742,27.0,9.0,9.75,,,8.25,,,,,,,
A07,10003663,27.7,8.2,,,,,9.75,9.75,,,,,
A08,10000957,27.35,7.6,,,,,10.0,,9.75,,,,
A09,10001109,27.55,8.8,,,,,,9.25,9.5,,,,
B00,10000135,27.0,9.0,,9.0,,9.0,,,,,,,
B03,10000026,26.8,8.8,,,,9.0,,,,9.0,,,
B08,10000151,26.85,9.0,,,9.6,8.25,,,,,,,
C00,10005383,29.25,,,,,,9.75,10.0,,9.5,,,
C01,10000241,26.8,8.8,9.5,,,,,,,8.5,,,
C02,10006668,26.85,8.6,,9.75,,,,,,8.5,,,
C03,10003663,27.45,8.2,,,,,9.75,,,9.5,,,
C04,10003663,27.45,8.2,,,,,,9.75,,9.5,,,
C05,10006668,27.0,,8.75,9.75,,,,,,8.5,,,
C06,10006399,26.25,,8.25,,,8.5,,,,9.5,,,
C08,10000023,26.75,,,9.5,,9.25,,,,8.0,,,
C14,10007636,27.35,8.6,,,,,,,9.25,9.5,,,
C19,10005383,29.0,,,,,,9.75,,9.75,9.5,,,
C20,10005383,29.25,,,,,,,10.0,9.75,9.5,,,
D01,10008150,27.2,8.6,,,9.6,,,,,9.0,,,
D04,10000447,26.95,8.8,,,,,,,,8.75,9.4,,
D06,10002551,26.65,9.0,,,,,,,,9.25,,8.4,
D07,10000200,27.25,9.4,,9.25,8.6,,,,,,,,
D08,10000151,26.85,9.0,,,9.6,8.25,,,,,,,
D09,10000024,27.65,9.0,,,9.4,,9.25,,,,,,
D10,10000024,27.65,9.0,,,9.4,,,9.25,,,,,
D11,10000241,27.6,,9.5,,9.6,,,,,8.5,,,
D12,10008680,27.25,,,9.5,9.0,,,,,8.75,,,
D13,10000128,26.2,,,,9.2,8.5,,,,8.5,,,
D14,10000174,28.0,,,,9.0,,9.75,,,9.25,,,
D15,10000366,27.9,,,,9.4,,,9.5,,9.0,,,
D18,10008326,21.35,6.2,,,,,,7.75,,,,7.4,
D20,10000442,27.0,8.2,,,,,,9.0,,,9.8,,
D25,10000341,26.75,8.8,,8.75,,,,,,,9.2,,
D30,10001760,24.8,8.8,7.0,,,,,,,,9.0,,
D35,10004783,25.0,8.4,,,,7.0,,,,,9.6,,
D43,10008326,22.65,,,,,,,7.75,,7.5,,7.4,
D45,10000442,27.3,,,,,,,9.0,,8.5,9.8,,
D55,10000535,24.8,,7.25,,,,,,,8.75,8.8,,
D63,10008326,21.4,,,,,,6.5,,,7.5,,7.4,
D65,10000447,26.65,,,,,,8.5,,,8.75,9.4,,
D66,10006891,28.55,,,,9.8,,,,9.5,9.25,,,
D69,10008326,22.4,,,,,,,,7.5,7.5,,7.4,
D84,10008150,27.45,8.6,,,9.6,,,,9.25,,,,
D88,10008326,21.1,6.2,,,,,,,7.5,,,7.4,
DD2,10003183,15.95,3.4,,,,,,,,7.75,,,4.8
DH1,10003183,21.05,,,,,,,8.5,,7.75,,,4.8
