Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,11001236,27.0,9.0,8.5,9.5,,,,,,,,
A01,11001346,27.5,9.0,9.5,,9.0,,,,,,,
A02,11001232,25.7,9.2,7.0,,,9.5,,,,,,
A07,11002619,28.4,8.4,,,,,10.0,10.0,,,,
A08,11001245,27.7,8.2,,,,,10.0,,9.5,,,
A09,11003131,27.75,8.0,,,,,,10.0,9.75,,,
B00,11001232,27.95,9.2,,9.25,,9.5,,,,,,
B03,11003054,25.6,8.6,,,,8.75,,,,8.25,,
B08,11001236,25.6,9.0,,,8.6,8.0,,,,,,
C00,11003061,29.5,,,,,,10.0,10.0,,9.5,,
C01,11001346,26.5,9.0,9.5,,,,,,,8.0,,
C02,11001167,26.15,8.4,,9.5,,,,,,8.25,,
C03,11001245,27.7,8.2,,,,,10.0,,,9.5,,
C04,11002619,27.65,8.4,,,,,,10.0,,9.25,,
C05,11003045,26.25,,9.0,8.5,,,,,,8.75,,
C06,11003045,25.5,,9.0,,,7.75,,,,8.75,,
C08,11001242,26.25,,,9.5,,8.75,,,,8.0,,
C14,11001146,27.8,8.8,,,,,,,9.5,9.5,,
C19,11001245,29.0,,,,,,10.0,,9.5,9.5,,
C20,11002341,29.0,,,,,,,10.0,9.75,9.25,,
D01,11001146,27.3,8.8,,,9.0,,,,,9.5,,
D04,11000989,22.3,8.0,,,,,,,,8.5,5.8,
D07,11001236,27.1,9.0,,9.5,8.6,,,,,,,
D08,11001236,25.6,9.0,,,8.6,8.0,,,,,,
D09,11001245,27.2,8.2,,,9.0,,10.0,,,,,
D10,11001132,27.3,8.4,,,9.4,,,9.5,,,,
D11,11001346,26.5,,9.5,,9.0,,,,,8.0,,
D12,11001236,25.6,,,9.5,8.6,,,,,7.5,,
D13,11001175,25.4,,,,8.4,8.25,,,,8.75,,
D14,11001245,28.5,,,,9.0,,10.0,,,9.5,,
D15,11002341,28.45,,,,9.2,,,10.0,,9.25,,
D20,11001301,23.65,7.6,,,,,,8.25,,,7.8,
D45,11001560,23.55,,,,,,,8.5,,7.25,7.8,
D65,11001301,22.55,,,,,,8.25,,,6.5,7.8,
D66,11001290,28.45,,,,9.2,,,,9.75,9.5,,
D84,11001290,27.35,8.4,,,9.2,,,,9.75,,,
DD2,11001888,25.5,7.4,,,,,,,,8.5,,9.6
DH1,11001888,26.85,,,,,,,8.75,,8.5,,9.6
