Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,12002377,28.8,9.8,9.5,9.5,,,,,,,,,,,,
A01,12008454,29.0,9.6,10.0,,9.4,,,,,,,,,,,
A02,12002377,27.3,9.8,9.5,,,8.0,,,,,,,,,,
A07,12000800,27.9,8.4,,,,,9.75,9.75,,,,,,,,
A08,12003141,28.35,9.6,,,,,9.75,,9.0,,,,,,,
A09,12002260,28.4,9.4,,,,,,9.25,9.75,,,,,,,
B00,12003192,28.8,8.8,,10.0,,10.0,,,,,,,,,,
B03,12008602,27.05,8.8,,,,9.75,,,,8.5,,,,,,
B08,12002854,26.8,9.2,,,9.6,8.0,,,,,,,,,,
C00,12000101,29.0,,,,,,10.0,10.0,,9.0,,,,,,
C01,12008454,28.1,9.6,10.0,,,,,,,8.5,,,,,,
C02,12002158,27.65,9.4,,9.25,,,,,,9.0,,,,,,
C03,12003141,28.35,9.6,,,,,9.75,,,9.0,,,,,,
C04,12002260,28.15,9.4,,,,,,9.25,,9.5,,,,,,
C05,12002083,27.5,,9.5,9.25,,,,,,8.75,,,,,,
C06,12002158,26.75,,9.25,,,8.5,,,,9.0,,,,,,
C08,12008602,28.25,,,10.0,,9.75,,,,8.5,,,,,,
C14,12002260,28.65,9.4,,,,,,,9.75,9.5,,,,,,
C19,12002942,29.0,,,,,,10.0,,9.5,9.5,,,,,,
C20,12000071,28.5,,,,,,,10.0,9.5,9.0,,,,,,
D01,12002260,27.7,9.4,,,8.8,,,,,9.5,,,,,,
D02,12002474,26.85,8.8,,,,,,,,8.25,9.8,,,,,
D03,12002785,26.95,8.4,,,,,,,,8.75,,9.8,,,,
D04,12003106,27.35,9.0,,,,,,,,8.75,,,9.6,,,
D05,12006438,20.55,8.0,,,,,,,,7.75,,,,4.8,,
D06,12005591,22.9,8.2,,,,,,,,8.5,,,,,6.2,
D07,12002854,28.55,9.2,,9.75,9.6,,,,,,,,,,,
D08,12002854,26.8,9.2,,,9.6,8.0,,,,,,,,,,
D09,12003005,27.85,8.6,,,10.0,,9.25,,,,,,,,,
D10,12002603,27.5,8.6,,,9.4,,,9.5,,,,,,,,
D11,12008454,27.9,,10.0,,9.4,,,,,8.5,,,,,,
D12,12002778,27.15,,,9.75,9.4,,,,,8.0,,,,,,
D13,12003595,26.65,,,,9.4,8.0,,,,9.25,,,,,,
D14,12003005,28.25,,,,10.0,,9.25,,,9.0,,,,,,
D15,12003005,27.75,,,,10.0,,,8.75,,9.0,,,,,,
D16,12006438,20.8,8.0,,,,,,8.0,,,,,,4.8,,
D17,12002650,25.25,7.6,,,,,,9.25,,,8.4,,,,,
D18,12005591,21.15,8.2,,,,,,6.75,,,,,,,6.2,
D19,12002785,26.95,8.4,,,,,,8.75,,,,9.8,,,,
D20,12002423,27.15,8.4,,,,,,8.75,,,,,10.0,,,
D21,12008344,18.8,6.6,,7.0,,,,,,,,,,5.2,,
D22,12002474,27.85,8.8,,9.25,,,,,,,9.8,,,,,
D23,12009341,23.1,8.0,,7.5,,,,,,,,,,,7.6,
D25,12013180,25.85,8.6,,8.25,,,,,,,,,9.0,,,
D26,12008344,18.8,6.6,7.0,,,,,,,,,,,5.2,,
D27,12002474,27.85,8.8,9.25,,,,,,,,9.8,,,,,
D28,12009341,20.35,8.0,4.75,,,,,,,,,,,,7.6,
D30,12013495,22.75,8.6,4.75,,,,,,,,,,9.4,,,
D31,12008344,16.8,6.6,,,,5.0,,,,,,,,5.2,,
D32,12002474,26.35,8.8,,,,7.75,,,,,9.8,,,,,
D33,12011073,21.2,7.8,,,,8.0,,,,,,,,,5.4,
D35,12009735,26.25,8.0,,,,9.25,,,,,,,9.0,,,
D41,12006438,20.55,,,,,,,8.0,,7.75,,,,4.8,,
D42,12002413,26.8,,,,,,,7.75,,9.25,9.8,,,,,
D43,12005591,21.45,,,,,,,6.75,,8.5,,,,,6.2,
D44,12002785,27.3,,,,,,,8.75,,8.75,,9.8,,,,
D45,12003267,27.35,,,,,,,9.25,,8.5,,,9.6,,,
D52,12002474,27.3,,9.25,,,,,,,8.25,9.8,,,,,
D55,12013495,22.9,,4.75,,,,,,,8.75,,,9.4,,,
D61,12006438,19.8,,,,,,7.25,,,7.75,,,,4.8,,
D62,12002413,26.55,,,,,,7.5,,,9.25,9.8,,,,,
D63,12005591,21.45,,,,,,6.75,,,8.5,,,,,6.2,
D64,12002919,26.95,,,,,,9.0,,,8.75,,9.2,,,,
D65,12003267,27.6,,,,,,9.5,,,8.5,,,9.6,,,
D66,12003803,28.4,,,,9.4,,,,9.75,9.25,,,,,,
D68,12002413,28.8,,,,,,,,9.75,9.25,9.8,,,,,
D69,12005591,22.95,,,,,,,,8.25,8.5,,,,,6.2,
D70,12002785,27.55,,,,,,,,9.0,8.75,,9.8,,,,
D84,12002260,27.95,9.4,,,8.8,,,,9.75,,,,,,,
D85,12006438,20.55,8.0,,,,,,,7.75,,,,,4.8,,
D86,12002413,27.15,7.6,,,,,,,9.75,,9.8,,,,,
D87,12002785,27.2,8.4,,,,,,,9.0,,,9.8,,,,
D88,12005591,22.65,8.2,,,,,,,8.25,,,,,,6.2,
DD2,12006798,21.35,5.8,,,,,,,,8.75,,,,,,6.8
DH1,12006798,24.05,,,,,,,8.5,,8.75,,,,,,6.8
