Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,13005599,28.0,9.0,9.5,9.5,,,,,,,,
A01,13005342,27.75,9.2,9.75,,8.8,,,,,,,
A02,13000100,26.5,9.0,8.25,,,9.25,,,,,,
A07,13005073,28.8,8.8,,,,,10.0,10.0,,,,
A08,13006709,27.85,8.6,,,,,9.75,,9.5,,,
A09,13000047,28.55,8.8,,,,,,10.0,9.75,,,
B00,13000071,27.1,8.6,,9.25,,9.25,,,,,,
B03,13000449,26.35,8.6,,,,9.0,,,,8.75,,
B08,13000100,28.05,9.0,,,9.8,9.25,,,,,,
C00,13006959,29.25,,,,,,9.75,10.0,,9.5,,
C01,13001061,27.05,8.8,9.25,,,,,,,9.0,,
C02,13000036,27.7,9.2,,9.5,,,,,,9.0,,
C03,13005073,27.55,8.8,,,,,10.0,,,8.75,,
C04,13000047,27.8,8.8,,,,,,10.0,,9.0,,
C05,13000051,26.75,,8.75,10.0,,,,,,8.0,,
C06,13001061,26.25,,9.25,,,8.0,,,,9.0,,
C08,13000709,27.0,,,9.25,,9.75,,,,8.0,,
C14,13000060,27.65,9.4,,,,,,,9.0,9.25,,
C19,13004006,28.75,,,,,,9.5,,10.0,9.25,,
C20,13006959,29.0,,,,,,,10.0,9.5,9.5,,
D01,13000060,28.05,9.4,,,9.4,,,,,9.25,,
D04,13000214,27.4,8.8,,,,,,,,9.0,9.6,
D07,13000112,27.95,8.8,,9.75,9.4,,,,,,,
D08,13000100,28.05,9.0,,,9.8,9.25,,,,,,
D09,13000017,27.8,9.2,,,9.6,,9.0,,,,,
D10,13000047,28.4,8.8,,,9.6,,,10.0,,,,
D11,13000031,28.05,,9.0,,9.8,,,,,9.25,,
D12,13000112,28.15,,,9.75,9.4,,,,,9.0,,
D13,13000100,26.8,,,,9.8,9.25,,,,7.75,,
D14,13000123,27.85,,,,9.6,,9.0,,,9.25,,
D15,13000047,28.6,,,,9.6,,,10.0,,9.0,,
D20,13000214,27.4,8.8,,,,,,9.0,,,9.6,
D25,13000111,24.25,8.6,,7.25,,,,,,,8.4,
D30,13000111,24.25,8.6,7.25,,,,,,,,8.4,
D35,13000111,24.5,8.6,,,,7.5,,,,,8.4,
D45,13000214,27.6,,,,,,,9.0,,9.0,9.6,
D55,13000111,24.9,,7.25,,,,,,,9.25,8.4,
D65,13000214,27.35,,,,,,8.75,,,9.0,9.6,
D66,13000047,28.35,,,,9.6,,,,9.75,9.0,,
D84,13000047,28.15,8.8,,,9.6,,,,9.75,,,
DD2,13000194,22.9,7.8,,,,,,,,6.5,,8.6
