Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,15014536,29.15,9.4,9.75,10.0,,,,,,,,,,,
A01,15011245,28.75,9.6,9.75,,9.4,,,,,,,,,,
A02,15014536,28.15,9.4,9.75,,,9.0,,,,,,,,,
A07,15011479,28.6,8.6,,,,,10.0,10.0,,,,,,,
A08,15007792,28.35,8.6,,,,,9.75,,10.0,,,,,,
A09,15002017,28.5,9.0,,,,,,9.75,9.75,,,,,,
B00,15000286,29.4,9.4,,10.0,,10.0,,,,,,,,,
B03,15014536,27.65,9.4,,,,9.0,,,,9.25,,,,,
B08,15000286,28.6,9.4,,,9.2,10.0,,,,,,,,,
C00,15002058,29.5,,,,,,10.0,10.0,,9.5,,,,,
C01,15015077,28.5,9.0,9.75,,,,,,,9.75,,,,,
C02,15014536,28.65,9.4,,10.0,,,,,,9.25,,,,,
C03,15013546,28.35,8.6,,,,,10.0,,,9.75,,,,,
C04,15008528,28.3,8.8,,,,,,9.75,,9.75,,,,,
C05,15014536,29.0,,9.75,10.0,,,,,,9.25,,,,,
C06,15014536,28.0,,9.75,,,9.0,,,,9.25,,,,,
C08,15000186,28.5,,,10.0,,9.25,,,,9.25,,,,,
C14,15001687,28.5,9.0,,,,,,,10.0,9.5,,,,,
C19,15005055,29.5,,,,,,10.0,,9.75,9.75,,,,,
C20,15008405,29.75,,,,,,,10.0,10.0,9.75,,,,,
D01,15001454,28.1,8.8,,,9.8,,,,,9.5,,,,,
D03,15000113,27.45,8.2,,,,,,,,9.25,10.0,,,,
D04,15001079,26.9,8.4,,,,,,,,9.5,,9.0,,,
D05,15002031,20.4,6.6,,,,,,,,9.0,,,4.8,,
D06,15006734,26.05,8.4,,,,,,,,9.25,,,,8.4,
D07,15005490,28.8,9.0,,10.0,9.8,,,,,,,,,,
D08,15000286,28.6,9.4,,,9.2,10.0,,,,,,,,,
D09,15000021,28.35,8.8,,,9.8,,9.75,,,,,,,,
D10,15000096,28.0,8.6,,,9.4,,,10.0,,,,,,,
D11,15009917,28.55,,9.25,,9.8,,,,,9.5,,,,,
D12,15015092,28.1,,,9.75,9.6,,,,,8.75,,,,,
D13,15009917,27.55,,,,9.8,8.25,,,,9.5,,,,,
D14,15000063,29.05,,,,9.8,,10.0,,,9.25,,,,,
D15,15008571,29.3,,,,9.8,,,10.0,,9.5,,,,,
D16,15002031,20.65,6.6,,,,,,9.25,,,,,4.8,,
D18,15006734,26.3,8.4,,,,,,9.5,,,,,,8.4,
D19,15000246,27.1,8.6,,,,,,8.5,,,10.0,,,,
D20,15004759,27.05,8.0,,,,,,9.25,,,,9.8,,,
D23,15000317,22.35,8.2,,5.75,,,,,,,,,,8.4,
D25,15015159,23.6,7.4,,7.0,,,,,,,,9.2,,,
D28,15000317,24.6,8.2,8.0,,,,,,,,,,,8.4,
D30,15015159,24.1,7.4,7.5,,,,,,,,,9.2,,,
D33,15000317,22.85,8.2,,,,6.25,,,,,,,,8.4,
D35,15015159,24.6,7.4,,,,8.0,,,,,,9.2,,,
D41,15002031,23.05,,,,,,,9.25,,9.0,,,4.8,,
D43,15006734,27.15,,,,,,,9.5,,9.25,,,,8.4,
D44,15000062,27.35,,,,,,,8.75,,9.0,9.6,,,,
D45,15001079,27.75,,,,,,,9.25,,9.5,,9.0,,,
D55,15015159,25.7,,7.5,,,,,,,9.0,,9.2,,,
D61,15002031,23.3,,,,,,9.5,,,9.0,,,4.8,,
D63,15006734,26.9,,,,,,9.25,,,9.25,,,,8.4,
D64,15000113,28.0,,,,,,8.75,,,9.25,10.0,,,,
D65,15006614,27.55,,,,,,9.25,,,9.5,,8.8,,,
D66,15000184,29.55,,,,9.8,,,,10.0,9.75,,,,,
D69,15006734,27.4,,,,,,,,9.75,9.25,,,,8.4,
D70,15000062,27.85,,,,,,,,9.25,9.0,9.6,,,,
D84,15003914,28.0,8.8,,,9.2,,,,10.0,,,,,,
D85,15002031,20.15,6.6,,,,,,,8.75,,,,4.8,,
D87,15000246,27.6,8.6,,,,,,,9.0,,10.0,,,,
D88,15006734,26.55,8.4,,,,,,,9.75,,,,,8.4,
DD2,15000770,25.85,8.2,,,,,,,,9.25,,,,,8.4
DH1,15007209,25.9,,,,,,,9.25,,9.25,,,,,7.4
