Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,16010811,28.65,9.4,9.75,9.5,,,,,,,,,,,
A01,16000047,28.5,9.4,9.5,,9.6,,,,,,,,,,
A02,16009688,27.9,9.4,9.0,,,9.5,,,,,,,,,
A07,16000434,28.75,9.0,,,,,9.75,10.0,,,,,,,
A08,16003143,28.75,9.0,,,,,9.75,,10.0,,,,,,
A09,16003143,29.0,9.0,,,,,,10.0,10.0,,,,,,
B00,16009688,28.9,9.4,,10.0,,9.5,,,,,,,,,
B03,16002890,27.55,8.8,,,,9.25,,,,9.5,,,,,
B08,16000252,28.55,9.0,,,9.8,9.75,,,,,,,,,
C00,16004999,29.5,,,,,,10.0,10.0,,9.5,,,,,
C01,16002917,28.0,9.0,9.5,,,,,,,9.5,,,,,
C02,16000327,28.15,9.4,,10.0,,,,,,8.75,,,,,
C03,16000330,28.35,9.6,,,,,9.25,,,9.5,,,,,
C04,16000330,28.6,9.6,,,,,,9.5,,9.5,,,,,
C05,16003312,28.5,,9.75,10.0,,,,,,8.75,,,,,
C06,16000109,27.5,,9.0,,,9.5,,,,9.0,,,,,
C08,16002890,28.5,,,9.75,,9.25,,,,9.5,,,,,
C14,16000330,28.6,9.6,,,,,,,9.5,9.5,,,,,
C19,16000061,29.25,,,,,,9.75,,10.0,9.5,,,,,
C20,16002953,29.75,,,,,,,10.0,10.0,9.75,,,,,
D01,16000274,28.75,9.0,,,10.0,,,,,9.75,,,,,
D03,16000492,27.85,9.2,,,,,,,,9.25,9.4,,,,
D04,16000975,26.6,8.6,,,,,,,,9.0,,9.0,,,
D05,16013233,21.3,6.8,,,,,,,,8.5,,,6.0,,
D06,16010735,22.85,7.2,,,,,,,,8.25,,,,7.4,
D07,16000252,28.8,9.0,,10.0,9.8,,,,,,,,,,
D08,16000252,28.55,9.0,,,9.8,9.75,,,,,,,,,
D09,16012337,28.15,8.6,,,9.8,,9.75,,,,,,,,
D10,16000274,28.75,9.0,,,10.0,,,9.75,,,,,,,
D11,16008169,28.05,,9.0,,9.8,,,,,9.25,,,,,
D12,16000252,28.3,,,10.0,9.8,,,,,8.5,,,,,
D13,16000252,28.05,,,,9.8,9.75,,,,8.5,,,,,
D14,16000052,29.1,,,,9.6,,10.0,,,9.5,,,,,
D15,16000274,29.5,,,,10.0,,,9.75,,9.75,,,,,
D16,16013233,20.8,6.8,,,,,,8.0,,,,,6.0,,
D18,16010735,22.85,7.2,,,,,,8.25,,,,,,7.4,
D19,16000462,27.65,8.4,,,,,,9.25,,,10.0,,,,
D20,16002419,27.1,9.0,,,,,,9.5,,,,8.6,,,
D25,16000975,25.85,8.6,,8.25,,,,,,,,9.0,,,
D30,16000668,23.95,8.4,7.75,,,,,,,,,7.8,,,
D35,16000975,25.1,8.6,,,,7.5,,,,,,9.0,,,
D41,16013233,22.5,,,,,,,8.0,,8.5,,,6.0,,
D43,16010735,23.9,,,,,,,8.25,,8.25,,,,7.4,
D44,16000355,28.5,,,,,,,9.25,,9.25,10.0,,,,
D45,16003094,27.9,,,,,,,9.25,,9.25,,9.4,,,
D55,16000668,24.55,,7.75,,,,,,,9.0,,7.8,,,
D61,16013233,22.0,,,,,,7.5,,,8.5,,,6.0,,
D63,16010735,23.4,,,,,,7.75,,,8.25,,,,7.4,
D64,16000355,28.75,,,,,,9.5,,,9.25,10.0,,,,
D65,16003094,27.4,,,,,,8.75,,,9.25,,9.4,,,
D66,16000274,29.25,,,,10.0,,,,9.5,9.75,,,,,
D69,16010735,24.9,,,,,,,,9.25,8.25,,,,7.4,
D70,16000490,29.05,,,,,,,,9.75,9.5,9.8,,,,
D84,16000274,28.5,9.0,,,10.0,,,,9.5,,,,,,
D85,16013233,22.05,6.8,,,,,,,9.25,,,,6.0,,
D87,16000301,28.15,8.4,,,,,,,9.75,,10.0,,,,
D88,16010735,23.85,7.2,,,,,,,9.25,,,,,7.4,
DD2,16008236,27.25,8.4,,,,,,,,9.25,,,,,9.6
DH1,16015063,26.95,,,,,,,9.75,,9.0,,,,,8.2
