Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,17014041,28.5,9.0,9.5,10.0,,,,,,,,,,,
A01,17005779,28.1,9.2,9.5,,9.4,,,,,,,,,,
A02,17015912,26.4,9.4,9.5,,,7.5,,,,,,,,,
A07,17010440,28.4,8.4,,,,,10.0,10.0,,,,,,,
A08,17014137,28.4,8.4,,,,,10.0,,10.0,,,,,,
A09,17011379,28.5,9.0,,,,,,9.75,9.75,,,,,,
B00,17006368,28.05,8.8,,9.5,,9.75,,,,,,,,,
B03,17009745,27.05,8.8,,,,9.5,,,,8.75,,,,,
B08,17006368,27.15,8.8,,,8.6,9.75,,,,,,,,,
C00,17001627,29.5,,,,,,10.0,10.0,,9.5,,,,,
C01,17015912,27.9,9.4,9.5,,,,,,,9.0,,,,,
C02,17009833,27.5,9.0,,9.5,,,,,,9.0,,,,,
C03,17001847,28.2,9.2,,,,,9.5,,,9.5,,,,,
C04,17004703,28.1,8.6,,,,,,10.0,,9.5,,,,,
C05,17009697,28.0,,9.75,9.0,,,,,,9.25,,,,,
C06,17010432,27.25,,8.75,,,9.0,,,,9.5,,,,,
C08,17009745,28.0,,,9.75,,9.5,,,,8.75,,,,,
C14,17008359,28.1,8.6,,,,,,,9.75,9.75,,,,,
C19,17013497,29.5,,,,,,9.75,,10.0,9.75,,,,,
C20,17013497,29.5,,,,,,,9.75,10.0,9.75,,,,,
D01,17008359,28.35,8.6,,,10.0,,,,,9.75,,,,,
D03,17007378,26.8,8.0,,,,,,,,9.0,9.8,,,,
D04,17004759,27.35,8.0,,,,,,,,9.75,,9.6,,,
D05,17004390,20.7,6.6,,,,,,,,8.5,,,5.6,,
D06,17004203,24.85,8.8,,,,,,,,7.25,,,,8.8,
D07,17008116,27.35,9.2,,9.75,8.4,,,,,,,,,,
D08,17006368,27.15,8.8,,,8.6,9.75,,,,,,,,,
D09,17001847,28.3,9.2,,,9.6,,9.5,,,,,,,,
D10,17001847,28.05,9.2,,,9.6,,,9.25,,,,,,,
D11,17016387,28.55,,9.5,,9.8,,,,,9.25,,,,,
D12,17011281,27.25,,,9.25,9.0,,,,,9.0,,,,,
D13,17008519,27.6,,,,9.6,9.25,,,,8.75,,,,,
D14,17001847,28.6,,,,9.6,,9.5,,,9.5,,,,,
D15,17007889,28.85,,,,9.6,,,9.75,,9.5,,,,,
D16,17004390,19.7,6.6,,,,,,7.5,,,,,5.6,,
D18,17004596,24.1,7.2,,,,,,7.5,,,,,,9.4,
D19,17007378,26.3,8.0,,,,,,8.5,,,9.8,,,,
D20,17011476,26.05,8.0,,,,,,9.25,,,,8.8,,,
D24,17007996,25.2,7.6,,8.0,,,,,,,9.6,,,,
D25,17014070,22.85,8.8,,8.25,,,,,,,,5.8,,,
D29,17007996,25.7,7.6,8.5,,,,,,,,9.6,,,,
D30,17014070,23.1,8.8,8.5,,,,,,,,,5.8,,,
D34,17008154,25.4,7.8,,,,8.0,,,,,9.6,,,,
D35,17015634,22.3,8.6,,,,6.5,,,,,,7.2,,,
D41,17004390,21.6,,,,,,,7.5,,8.5,,,5.6,,
D43,17004596,25.15,,,,,,,7.5,,8.25,,,,9.4,
D44,17007378,27.3,,,,,,,8.5,,9.0,9.8,,,,
D45,17004759,27.35,,,,,,,8.0,,9.75,,9.6,,,
D54,17007996,26.6,,8.5,,,,,,,8.5,9.6,,,,
D55,17012728,23.4,,8.0,,,,,,,9.0,,6.4,,,
D61,17004390,21.35,,,,,,7.25,,,8.5,,,5.6,,
D63,17004596,24.65,,,,,,7.0,,,8.25,,,,9.4,
D64,17007372,27.05,,,,,,9.0,,,8.25,9.8,,,,
D65,17004759,28.35,,,,,,9.0,,,9.75,,9.6,,,
D66,17008359,29.5,,,,10.0,,,,9.75,9.75,,,,,
D69,17004596,26.15,,,,,,,,8.5,8.25,,,,9.4,
D70,17007329,27.85,,,,,,,,9.0,9.25,9.6,,,,
D84,17008359,28.35,8.6,,,10.0,,,,9.75,,,,,,
D85,17004390,21.2,6.6,,,,,,,9.0,,,,5.6,,
D87,17007372,26.5,8.2,,,,,,,8.5,,9.8,,,,
D88,17004596,25.1,7.2,,,,,,,8.5,,,,,9.4,
DD2,17002321,25.35,7.8,,,,,,,,8.75,,,,,8.8
DH1,17016497,24.85,,,,,,,9.75,,9.5,,,,,5.6
