Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,18008459,28.75,9.0,9.75,10.0,,,,,,,,,,,
A01,18015780,28.15,9.0,9.75,,9.4,,,,,,,,,,
A02,18015780,28.25,9.0,9.75,,,9.5,,,,,,,,,
A07,18017098,28.35,8.6,,,,,9.75,10.0,,,,,,,
A08,18014823,28.5,9.0,,,,,9.75,,9.75,,,,,,
A09,18014844,28.7,9.2,,,,,,9.75,9.75,,,,,,
B00,18001528,28.85,9.6,,10.0,,9.25,,,,,,,,,
B03,18019055,27.3,8.8,,,,9.25,,,,9.25,,,,,
B08,18015780,27.9,9.0,,,9.4,9.5,,,,,,,,,
C00,18020184,29.5,,,,,,10.0,10.0,,9.5,,,,,
C01,18015679,27.7,9.2,9.0,,,,,,,9.5,,,,,
C02,18015679,28.45,9.2,,9.75,,,,,,9.5,,,,,
C03,18018935,28.05,8.8,,,,,10.0,,,9.25,,,,,
C04,18017098,28.1,8.6,,,,,,10.0,,9.5,,,,,
C05,18015679,28.25,,9.0,9.75,,,,,,9.5,,,,,
C06,18015780,27.75,,9.75,,,9.5,,,,8.5,,,,,
C08,18010247,27.75,,,10.0,,9.5,,,,8.25,,,,,
C14,18019282,28.15,8.4,,,,,,,10.0,9.75,,,,,
C19,18017705,29.25,,,,,,10.0,,9.75,9.5,,,,,
C20,18020215,29.5,,,,,,,9.75,10.0,9.75,,,,,
D01,18019282,28.15,8.4,,,10.0,,,,,9.75,,,,,
D03,18018768,26.6,7.8,,,,,,,,9.0,9.8,,,,
D04,18018741,27.65,8.6,,,,,,,,9.25,,9.8,,,
D05,18003189,21.4,7.6,,,,,,,,9.0,,,4.8,,
D06,18019368,27.8,9.2,,,,,,,,9.0,,,,9.6,
D07,18015679,28.35,9.2,,9.75,9.4,,,,,,,,,,
D08,18015780,27.9,9.0,,,9.4,9.5,,,,,,,,,
D09,18018935,28.2,8.8,,,9.4,,10.0,,,,,,,,
D10,18018863,28.35,8.8,,,9.8,,,9.75,,,,,,,
D11,18015679,27.9,,9.0,,9.4,,,,,9.5,,,,,
D12,18015679,28.65,,,9.75,9.4,,,,,9.5,,,,,
D13,18011598,28.35,,,,9.6,9.5,,,,9.25,,,,,
D14,18018863,28.8,,,,9.8,,9.5,,,9.5,,,,,
D15,18020057,29.1,,,,9.6,,,10.0,,9.5,,,,,
D18,18018711,27.45,8.2,,,,,,9.25,,,,,,10.0,
D19,18018989,27.3,8.0,,,,,,9.5,,,9.8,,,,
D20,18019051,27.65,8.8,,,,,,9.25,,,,9.6,,,
D23,18011570,24.25,7.2,,8.25,,,,,,,,,,8.8,
D25,18007902,25.45,9.0,,8.25,,,,,,,,8.2,,,
D28,18014829,25.8,8.0,8.0,,,,,,,,,,,9.8,
D30,18007902,25.45,9.0,8.25,,,,,,,,,8.2,,,
D33,18011570,23.5,7.2,,,,7.5,,,,,,,,8.8,
D35,18019236,25.6,8.4,,,,9.0,,,,,,8.2,,,
D43,18018711,28.25,,,,,,,9.25,,9.0,,,,10.0,
D44,18018894,27.9,,,,,,,9.25,,9.25,9.4,,,,
D45,18018809,28.45,,,,,,,9.5,,9.75,,9.2,,,
D55,18019275,25.5,,8.0,,,,,,,8.5,,9.0,,,
D63,18018711,28.25,,,,,,9.25,,,9.0,,,,10.0,
D64,18018768,26.8,,,,,,8.0,,,9.0,9.8,,,,
D65,18018741,28.55,,,,,,9.5,,,9.25,,9.8,,,
D66,18019282,29.75,,,,10.0,,,,10.0,9.75,,,,,
D69,18018866,28.4,,,,,,,,9.75,9.25,,,,9.4,
D70,18019045,28.35,,,,,,,,9.75,9.0,9.6,,,,
D84,18019282,28.4,8.4,,,10.0,,,,10.0,,,,,,
D87,18019045,27.35,8.0,,,,,,,9.75,,9.6,,,,
D88,18019368,28.55,9.2,,,,,,,9.75,,,,,9.6,
DD2,18014606,26.05,8.2,,,,,,,,9.25,,,,,8.6
DH1,18010656,25.85,,,,,,,8.75,,8.5,,,,,8.6
