Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,19016615,29.35,9.6,9.75,10.0,,,,,,,,,,
A01,19006332,28.75,9.4,9.75,,9.6,,,,,,,,,
A02,19012494,28.2,9.2,9.5,,,9.5,,,,,,,,
A07,19011309,28.8,8.8,,,,,10.0,10.0,,,,,,
A08,19011309,28.8,8.8,,,,,10.0,,10.0,,,,,
A09,19011309,28.8,8.8,,,,,,10.0,10.0,,,,,
B00,19015464,29.1,9.6,,10.0,,9.5,,,,,,,,
B03,19015158,27.8,8.8,,,,9.75,,,,9.25,,,,
B08,19000448,27.95,9.2,,,10.0,8.75,,,,,,,,
C00,19000335,29.75,,,,,,10.0,10.0,,9.75,,,,
C01,19015672,28.8,9.8,9.5,,,,,,,9.5,,,,
C02,19000206,28.95,9.2,,10.0,,,,,,9.75,,,,
C03,19000061,28.7,9.2,,,,,9.75,,,9.75,,,,
C04,19010600,28.95,9.2,,,,,,10.0,,9.75,,,,
C05,19015661,29.0,,9.5,9.75,,,,,,9.75,,,,
C06,19010593,27.75,,9.25,,,9.0,,,,9.5,,,,
C08,19010593,28.5,,,10.0,,9.0,,,,9.5,,,,
C14,19000041,28.75,9.0,,,,,,,10.0,9.75,,,,
C19,19000332,29.75,,,,,,10.0,,10.0,9.75,,,,
C20,19000475,29.75,,,,,,,10.0,10.0,9.75,,,,
D01,19000204,28.7,9.4,,,9.8,,,,,9.5,,,,
D04,19000391,27.75,8.6,,,,,,,,9.75,9.4,,,
D05,19001120,25.85,8.4,,,,,,,,9.25,,8.2,,
D06,19017540,19.4,6.2,,,,,,,,7.0,,,6.2,
D07,19000206,28.8,9.2,,10.0,9.6,,,,,,,,,
D08,19000448,27.95,9.2,,,10.0,8.75,,,,,,,,
D09,19000376,28.25,9.2,,,9.8,,9.25,,,,,,,
D10,19000328,28.2,8.6,,,9.6,,,10.0,,,,,,
D11,19011561,29.05,,9.75,,9.8,,,,,9.5,,,,
D12,19000206,29.35,,,10.0,9.6,,,,,9.75,,,,
D13,19000448,28.25,,,,10.0,8.75,,,,9.5,,,,
D14,19000335,29.35,,,,9.6,,10.0,,,9.75,,,,
D15,19000406,29.55,,,,9.8,,,10.0,,9.75,,,,
D16,19001120,23.1,8.4,,,,,,6.5,,,,8.2,,
D20,19000336,27.75,8.6,,,,,,9.75,,,9.4,,,
D23,19017540,18.65,6.2,,6.25,,,,,,,,,6.2,
D25,19000286,26.4,8.8,,9.0,,,,,,,8.6,,,
D28,19017540,20.15,6.2,7.75,,,,,,,,,,6.2,
D30,19010322,25.75,8.2,8.75,,,,,,,,8.8,,,
D33,19017540,19.15,6.2,,,,6.75,,,,,,,6.2,
D35,19000286,25.9,8.8,,,,8.5,,,,,8.6,,,
D41,19001120,23.95,,,,,,,6.5,,9.25,,8.2,,
D45,19000336,28.65,,,,,,,9.75,,9.5,9.4,,,
D55,19010322,26.8,,8.75,,,,,,,9.25,8.8,,,
D61,19001120,25.2,,,,,,7.75,,,9.25,,8.2,,
D65,19010305,28.05,,,,,,8.5,,,9.75,9.8,,,
D66,19000041,29.35,,,,9.6,,,,10.0,9.75,,,,
D84,19000041,28.6,9.0,,,9.6,,,,10.0,,,,,
D85,19001120,25.1,8.4,,,,,,,8.5,,,8.2,,
DD2,19000195,27.75,8.6,,,,,,,,9.75,,,,9.4
DH1,19000195,29.15,,,,,,,10.0,,9.75,,,,9.4
