Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,21013756,28.7,9.2,9.5,10.0,,,,,,,,,,,,
A01,21011754,28.1,9.2,9.5,,9.4,,,,,,,,,,,
A02,21022946,28.3,8.8,9.75,,,9.75,,,,,,,,,,
A07,21013178,28.55,8.8,,,,,9.75,10.0,,,,,,,,
A08,21001965,28.8,8.8,,,,,10.0,,10.0,,,,,,,
A09,21015653,28.8,8.8,,,,,,10.0,10.0,,,,,,,
B00,21022946,28.55,8.8,,10.0,,9.75,,,,,,,,,,
B03,21005148,27.45,9.2,,,,9.25,,,,9.0,,,,,,
B08,21017854,27.7,8.6,,,9.6,9.5,,,,,,,,,,
C00,21000241,29.25,,,,,,10.0,9.75,,9.5,,,,,,
C01,21011754,28.2,9.2,9.5,,,,,,,9.5,,,,,,
C02,21016827,28.0,9.0,,9.75,,,,,,9.25,,,,,,
C03,21000296,28.7,9.2,,,,,10.0,,,9.5,,,,,,
C04,21002396,28.45,9.2,,,,,,9.75,,9.5,,,,,,
C05,21016899,28.25,,9.75,10.0,,,,,,8.5,,,,,,
C06,21022946,28.0,,9.75,,,9.75,,,,8.5,,,,,,
C08,21022946,28.25,,,10.0,,9.75,,,,8.5,,,,,,
C14,21000291,28.7,9.2,,,,,,,10.0,9.5,,,,,,
C19,21001965,29.5,,,,,,10.0,,10.0,9.5,,,,,,
C20,21015653,29.5,,,,,,,10.0,10.0,9.5,,,,,,
D01,21000291,28.7,9.2,,,10.0,,,,,9.5,,,,,,
D02,21013788,26.15,7.6,,,,,,,,8.75,9.8,,,,,
D03,21013800,26.95,8.2,,,,,,,,8.75,,10.0,,,,
D04,21016321,26.8,8.6,,,,,,,,9.0,,,9.2,,,
D05,21003210,23.35,8.8,,,,,,,,7.75,,,,6.8,,
D06,21003572,25.8,8.0,,,,,,,,9.0,,,,,8.8,
D07,21011278,28.0,8.4,,10.0,9.6,,,,,,,,,,,
D08,21017854,27.7,8.6,,,9.6,9.5,,,,,,,,,,
D09,21000291,28.7,9.2,,,10.0,,9.5,,,,,,,,,
D10,21005106,28.5,9.2,,,9.8,,,9.5,,,,,,,,
D11,21011754,28.4,,9.5,,9.4,,,,,9.5,,,,,,
D12,21011278,28.35,,,10.0,9.6,,,,,8.75,,,,,,
D13,21017854,27.85,,,,9.6,9.5,,,,8.75,,,,,,
D14,21013821,29.05,,,,9.8,,9.75,,,9.5,,,,,,
D15,21013490,29.05,,,,9.8,,,10.0,,9.25,,,,,,
D16,21014447,20.7,7.4,,,,,,8.5,,,,,,4.8,,
D17,21013492,26.4,7.4,,,,,,9.0,,,10.0,,,,,
D18,21015948,25.9,7.6,,,,,,9.5,,,,,,,8.8,
D19,21013800,26.95,8.2,,,,,,8.75,,,,10.0,,,,
D20,21016321,25.8,8.6,,,,,,8.0,,,,,9.2,,,
D21,21003210,22.1,8.8,,6.5,,,,,,,,,,6.8,,
D25,21017691,24.45,8.4,,7.25,,,,,,,,,8.8,,,
D26,21003210,22.35,8.8,6.75,,,,,,,,,,,6.8,,
D30,21017691,25.95,8.4,8.75,,,,,,,,,,8.8,,,
D31,21003210,24.35,8.8,,,,8.75,,,,,,,,6.8,,
D35,21017691,24.95,8.4,,,,7.75,,,,,,,8.8,,,
D41,21014447,22.55,,,,,,,8.5,,9.25,,,,4.8,,
D42,21013492,27.25,,,,,,,9.0,,8.25,10.0,,,,,
D43,21015948,27.3,,,,,,,9.5,,9.0,,,,,8.8,
D44,21013852,27.6,,,,,,,8.75,,9.25,,9.6,,,,
D45,21007912,27.6,,,,,,,9.0,,9.0,,,9.6,,,
D55,21017691,26.3,,8.75,,,,,,,8.75,,,8.8,,,
D61,21014447,21.55,,,,,,7.5,,,9.25,,,,4.8,,
D62,21013788,27.05,,,,,,8.5,,,8.75,9.8,,,,,
D63,21015948,25.8,,,,,,8.0,,,9.0,,,,,8.8,
D64,21013800,27.75,,,,,,9.0,,,8.75,,10.0,,,,
D65,21008738,27.55,,,,,,9.25,,,9.5,,,8.8,,,
D66,21000291,29.5,,,,10.0,,,,10.0,9.5,,,,,,
D68,21013788,28.05,,,,,,,,9.5,8.75,9.8,,,,,
D69,21015948,27.55,,,,,,,,9.75,9.0,,,,,8.8,
D70,21013154,28.55,,,,,,,,9.5,9.25,,9.8,,,,
D84,21000291,29.2,9.2,,,10.0,,,,10.0,,,,,,,
D85,21014447,21.2,7.4,,,,,,,9.0,,,,,4.8,,
D86,21013788,26.9,7.6,,,,,,,9.5,,9.8,,,,,
D87,21013800,27.45,8.2,,,,,,,9.25,,,10.0,,,,
D88,21015948,26.15,7.6,,,,,,,9.75,,,,,,8.8,
DD2,21013446,26.4,7.8,,,,,,,,9.0,,,,,,9.6
DH1,21007737,27.35,,,,,,,9.0,,8.75,,,,,,9.6
