Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,23007846,28.45,9.2,9.25,10.0,,,,,,,,,,
A01,23000017,28.3,9.0,9.5,,9.8,,,,,,,,,
A02,23007846,28.2,9.2,9.25,,,9.75,,,,,,,,
A07,23000283,28.75,9.0,,,,,9.75,10.0,,,,,,
A08,23000283,28.25,9.0,,,,,9.75,,9.5,,,,,
A09,23000283,28.5,9.0,,,,,,10.0,9.5,,,,,
B00,23007846,28.95,9.2,,10.0,,9.75,,,,,,,,
B03,23000239,26.35,8.6,,,,8.75,,,,9.0,,,,
B08,23007846,28.55,9.2,,,9.6,9.75,,,,,,,,
C00,23001336,29.25,,,,,,10.0,9.75,,9.5,,,,
C01,23000017,27.5,9.0,9.5,,,,,,,9.0,,,,
C02,23000017,27.5,9.0,,9.5,,,,,,9.0,,,,
C03,23000283,28.0,9.0,,,,,9.75,,,9.25,,,,
C04,23000283,28.25,9.0,,,,,,10.0,,9.25,,,,
C05,23000017,28.0,,9.5,9.5,,,,,,9.0,,,,
C06,23000017,26.75,,9.5,,,8.25,,,,9.0,,,,
C08,23007846,27.0,,,10.0,,9.75,,,,7.25,,,,
C14,23000265,28.0,9.0,,,,,,,9.75,9.25,,,,
C19,23000282,29.0,,,,,,9.75,,9.75,9.5,,,,
C20,23002915,29.25,,,,,,,10.0,9.75,9.5,,,,
D01,23000225,28.1,9.0,,,9.6,,,,,9.5,,,,
D02,23000083,26.7,8.4,,,,,,,,8.5,9.8,,,
D03,23000140,27.5,8.6,,,,,,,,9.5,,9.4,,
D04,23000166,27.15,8.8,,,,,,,,8.75,,,9.6,
D06,23006071,19.65,4.8,,,,,,,,7.25,,,,7.6
D07,23007846,28.8,9.2,,10.0,9.6,,,,,,,,,
D08,23007846,28.55,9.2,,,9.6,9.75,,,,,,,,
D09,23002934,27.4,8.4,,,9.0,,10.0,,,,,,,
D10,23002915,27.2,8.6,,,8.6,,,10.0,,,,,,
D11,23000017,28.3,,9.5,,9.8,,,,,9.0,,,,
D12,23000017,28.3,,,9.5,9.8,,,,,9.0,,,,
D13,23000239,27.15,,,,9.4,8.75,,,,9.0,,,,
D14,23002934,28.25,,,,9.0,,10.0,,,9.25,,,,
D15,23003071,28.2,,,,9.2,,,9.75,,9.25,,,,
D17,23000083,26.95,8.4,,,,,,8.75,,,9.8,,,
D18,23006071,21.15,4.8,,,,,,8.75,,,,,,7.6
D19,23000062,25.95,8.0,,,,,,8.75,,,,9.2,,
D20,23000343,27.55,8.2,,,,,,9.75,,,,,9.6,
D22,23000181,24.7,8.4,,8.5,,,,,,,7.8,,,
D24,23000188,24.5,8.4,,9.5,,,,,,,,6.6,,
D25,23000525,22.7,7.4,,6.5,,,,,,,,,8.8,
D27,23000181,24.95,8.4,8.75,,,,,,,,7.8,,,
D29,23000227,24.2,8.0,8.0,,,,,,,,,8.2,,
D30,23000525,21.45,7.4,5.25,,,,,,,,,,8.8,
D32,23000181,24.2,8.4,,,,8.0,,,,,7.8,,,
D34,23000227,23.2,8.0,,,,7.0,,,,,,8.2,,
D35,23000525,22.2,7.4,,,,6.0,,,,,,,8.8,
D42,23000083,27.05,,,,,,,8.75,,8.5,9.8,,,
D43,23006071,23.6,,,,,,,8.75,,7.25,,,,7.6
D44,23000393,27.05,,,,,,,8.5,,8.75,,9.8,,
D45,23000343,28.6,,,,,,,9.75,,9.25,,,9.6,
D52,23000190,23.9,,8.0,,,,,,,8.5,7.4,,,
D54,23000227,25.2,,8.0,,,,,,,9.0,,8.2,,
D55,23000525,22.8,,5.25,,,,,,,8.75,,,8.8,
D62,23000083,26.55,,,,,,8.25,,,8.5,9.8,,,
D63,23006071,22.35,,,,,,7.5,,,7.25,,,,7.6
D64,23000055,26.45,,,,,,9.25,,,9.0,,8.2,,
D65,23000282,28.25,,,,,,9.75,,,9.5,,,9.0,
D66,23000357,28.65,,,,9.4,,,,9.75,9.5,,,,
D68,23000083,27.8,,,,,,,,9.5,8.5,9.8,,,
D69,23006071,22.35,,,,,,,,7.5,7.25,,,,7.6
D70,23000140,28.15,,,,,,,,9.25,9.5,,9.4,,
D84,23000397,27.45,9.2,,,9.0,,,,9.25,,,,,
D86,23000083,27.7,8.4,,,,,,,9.5,,9.8,,,
D87,23000467,27.9,8.6,,,,,,,9.5,,,9.8,,
D88,23006071,19.9,4.8,,,,,,,7.5,,,,,7.6
