Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,25010432,29.15,9.4,9.75,10.0,,,,,,,,,,,,
A01,25017518,28.95,9.2,9.75,,10.0,,,,,,,,,,,
A02,25017518,28.45,9.2,9.75,,,9.5,,,,,,,,,,
A07,25016119,28.75,9.0,,,,,9.75,10.0,,,,,,,,
A08,25005378,28.7,9.2,,,,,9.75,,9.75,,,,,,,
A09,25016153,28.95,9.2,,,,,,10.0,9.75,,,,,,,
B00,25015250,28.95,9.2,,9.75,,10.0,,,,,,,,,,
B03,25000491,27.9,9.4,,,,9.5,,,,9.0,,,,,,
B08,25017518,28.7,9.2,,,10.0,9.5,,,,,,,,,,
C00,25016540,29.75,,,,,,10.0,10.0,,9.75,,,,,,
C01,25010957,28.45,9.2,9.5,,,,,,,9.75,,,,,,
C02,25010432,28.65,9.4,,10.0,,,,,,9.25,,,,,,
C03,25012673,28.3,8.8,,,,,9.75,,,9.75,,,,,,
C04,25016153,28.7,9.2,,,,,,10.0,,9.5,,,,,,
C05,25010432,29.0,,9.75,10.0,,,,,,9.25,,,,,,
C06,25012520,28.5,,9.75,,,9.5,,,,9.25,,,,,,
C08,25018265,28.75,,,10.0,,9.5,,,,9.25,,,,,,
C14,25007982,28.7,9.2,,,,,,,9.75,9.75,,,,,,
C19,25009518,29.75,,,,,,10.0,,10.0,9.75,,,,,,
C20,25000751,29.5,,,,,,,10.0,9.75,9.75,,,,,,
D01,25000073,28.55,9.0,,,9.8,,,,,9.75,,,,,,
D02,25000214,27.25,8.4,,,,,,,,9.25,9.6,,,,,
D03,25000358,27.65,8.8,,,,,,,,9.25,,9.6,,,,
D04,25006232,27.65,8.8,,,,,,,,9.25,,,9.6,,,
D05,25001160,23.65,8.0,,,,,,,,9.25,,,,6.4,,
D06,25000919,25.7,8.0,,,,,,,,8.5,,,,,9.2,
D07,25017518,29.2,9.2,,10.0,10.0,,,,,,,,,,,
D08,25017518,28.7,9.2,,,10.0,9.5,,,,,,,,,,
D09,25000768,28.5,9.0,,,10.0,,9.5,,,,,,,,,
D10,25000751,28.6,8.6,,,10.0,,,10.0,,,,,,,,
D11,25003282,27.95,,9.5,,9.2,,,,,9.25,,,,,,
D12,25000380,28.4,,,10.0,9.4,,,,,9.0,,,,,,
D13,25014570,28.15,,,,9.4,9.25,,,,9.5,,,,,,
D14,25000413,29.0,,,,10.0,,9.5,,,9.5,,,,,,
D15,25000751,29.75,,,,10.0,,,10.0,,9.75,,,,,,
D16,25001160,23.15,8.0,,,,,,8.75,,,,,,6.4,,
D17,25000214,27.5,8.4,,,,,,9.5,,,9.6,,,,,
D18,25000919,25.45,8.0,,,,,,8.25,,,,,,,9.2,
D19,25000358,27.15,8.8,,,,,,8.75,,,,9.6,,,,
D20,25006232,27.15,8.8,,,,,,8.75,,,,,9.6,,,
