Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Nga (Tiếng Nga - Mã: N2),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,26020938,29.6,9.6,10.0,10.0,,,,,,,,,,,
A01,26020938,29.2,9.6,10.0,,9.6,,,,,,,,,,
A02,26020938,28.35,9.6,10.0,,,8.75,,,,,,,,,
A07,26003251,28.6,8.6,,,,,10.0,10.0,,,,,,,
A08,26009503,28.5,9.0,,,,,10.0,,9.5,,,,,,
A09,26017852,28.6,8.6,,,,,,10.0,10.0,,,,,,
B00,26000283,28.9,9.4,,10.0,,9.5,,,,,,,,,
B03,26020315,27.5,9.0,,,,9.75,,,,8.75,,,,,
B08,26019773,28.3,9.4,,,9.4,9.5,,,,,,,,,
C00,26020359,29.75,,,,,,10.0,10.0,,9.75,,,,,
C01,26009943,28.3,9.8,9.75,,,,,,,8.75,,,,,
C02,26009943,28.55,9.8,,10.0,,,,,,8.75,,,,,
C03,26009503,28.25,9.0,,,,,10.0,,,9.25,,,,,
C04,26017368,28.25,9.0,,,,,,10.0,,9.25,,,,,
C05,26004060,28.5,,9.5,9.75,,,,,,9.25,,,,,
C06,26016310,27.5,,9.25,,,9.25,,,,9.0,,,,,
C08,26017904,28.0,,,10.0,,9.5,,,,8.5,,,,,
C14,26009633,28.3,8.8,,,,,,,10.0,9.5,,,,,
C19,26000366,29.0,,,,,,10.0,,9.75,9.25,,,,,
C20,26017861,29.25,,,,,,,9.75,9.75,9.75,,,,,
D01,26000111,28.05,8.8,,,10.0,,,,,9.25,,,,,
D02,26008640,21.45,7.6,,,,,,,,4.25,9.6,,,,
D04,26006560,26.75,8.6,,,,,,,,8.75,,9.4,,,
D05,26000011,24.8,7.4,,,,,,,,9.0,,,8.4,,
D06,26012307,23.35,6.8,,,,,,,,8.75,,,,7.8,
D07,26015455,29.2,9.6,,10.0,9.6,,,,,,,,,,
D08,26019773,28.3,9.4,,,9.4,9.5,,,,,,,,,
D09,26000111,28.8,8.8,,,10.0,,10.0,,,,,,,,
D10,26017998,28.35,9.0,,,9.6,,,9.75,,,,,,,
D11,26003415,27.9,,9.5,,9.4,,,,,9.0,,,,,
D12,26004122,28.35,,,9.5,9.6,,,,,9.25,,,,,
D13,26022129,27.25,,,,10.0,8.25,,,,9.0,,,,,
D14,26000111,29.25,,,,10.0,,10.0,,,9.25,,,,,
D15,26000366,29.05,,,,9.8,,,10.0,,9.25,,,,,
D16,26000011,24.55,7.4,,,,,,8.75,,,,,8.4,,
D18,26012307,23.6,6.8,,,,,,9.0,,,,,,7.8,
D20,26002781,27.3,8.8,,,,,,9.5,,,,9.0,,,
D21,26001760,21.85,8.0,,7.25,,,,,,,,,6.6,,
D22,26008640,21.7,7.6,,4.5,,,,,,,9.6,,,,
D23,26019019,17.7,6.0,,6.5,,,,,,,,,,5.2,
D25,26020889,26.2,9.6,,9.0,,,,,,,,7.6,,,
D26,26001760,22.1,8.0,7.5,,,,,,,,,,6.6,,
D27,26008640,22.45,7.6,5.25,,,,,,,,9.6,,,,
D28,26019019,14.95,6.0,3.75,,,,,,,,,,,5.2,
D30,26020889,26.95,9.6,9.75,,,,,,,,,7.6,,,
D31,26001760,20.6,8.0,,,,6.0,,,,,,,6.6,,
D32,26008640,23.45,7.6,,,,6.25,,,,,9.6,,,,
D33,26019019,16.7,6.0,,,,5.5,,,,,,,,5.2,
D35,26009215,25.55,9.0,,,,7.75,,,,,,8.8,,,
D41,26000011,26.15,,,,,,,8.75,,9.0,,,8.4,,
D43,26012307,25.55,,,,,,,9.0,,8.75,,,,7.8,
D45,26002781,27.0,,,,,,,9.5,,8.5,,9.0,,,
D52,26008640,19.1,,5.25,,,,,,,4.25,9.6,,,,
D55,26009215,26.05,,8.75,,,,,,,8.5,,8.8,,,
D61,26000011,26.65,,,,,,9.25,,,9.0,,,8.4,,
D63,26018442,23.95,,,,,,7.0,,,8.75,,,,8.2,
D65,26003072,27.3,,,,,,9.75,,,8.75,,8.8,,,
D66,26000506,28.9,,,,9.4,,,,9.75,9.75,,,,,
D69,26018442,26.45,,,,,,,,9.5,8.75,,,,8.2,
D84,26020175,28.8,9.0,,,9.8,,,,10.0,,,,,,
D85,26000011,25.3,7.4,,,,,,,9.5,,,,8.4,,
D88,26012307,24.1,6.8,,,,,,,9.5,,,,,7.8,
DD2,26001956,26.3,8.6,,,,,,,,8.5,,,,,9.2
DH1,26001956,25.95,,,,,,,8.25,,8.5,,,,,9.2
