Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,27008119,28.65,9.4,9.25,10.0,,,,,,,,,
A01,27008119,28.45,9.4,9.25,,9.8,,,,,,,,
A02,27006505,27.8,9.8,9.5,,,8.5,,,,,,,
A07,27004000,28.8,8.8,,,,,10.0,10.0,,,,,
A08,27008113,28.55,8.8,,,,,10.0,,9.75,,,,
A09,27003825,28.95,9.2,,,,,,10.0,9.75,,,,
B00,27010516,28.75,9.0,,10.0,,9.75,,,,,,,
B03,27007849,27.55,9.8,,,,8.0,,,,9.75,,,
B08,27008119,27.7,9.4,,,9.8,8.5,,,,,,,
C00,27004000,29.75,,,,,,10.0,10.0,,9.75,,,
C01,27011445,28.15,9.4,9.25,,,,,,,9.5,,,
C02,27007849,28.8,9.8,,9.25,,,,,,9.75,,,
C03,27003600,28.55,8.8,,,,,10.0,,,9.75,,,
C04,27004000,28.55,8.8,,,,,,10.0,,9.75,,,
C05,27011243,29.0,,9.75,10.0,,,,,,9.25,,,
C06,27011243,28.25,,9.75,,,9.25,,,,9.25,,,
C08,27011243,28.5,,,10.0,,9.25,,,,9.25,,,
C14,27011291,28.75,9.0,,,,,,,10.0,9.75,,,
C19,27000482,29.5,,,,,,10.0,,9.75,9.75,,,
C20,27009193,29.5,,,,,,,10.0,9.75,9.75,,,
D01,27004000,28.35,8.8,,,9.8,,,,,9.75,,,
D03,27003763,26.4,7.4,,,,,,,,9.0,10.0,,
D04,27010064,26.0,8.2,,,,,,,,9.0,,8.8,
D07,27008119,29.2,9.4,,10.0,9.8,,,,,,,,
D08,27008119,27.7,9.4,,,9.8,8.5,,,,,,,
D09,27004000,28.6,8.8,,,9.8,,10.0,,,,,,
D10,27004000,28.6,8.8,,,9.8,,,10.0,,,,,
D11,27011412,28.65,,10.0,,9.4,,,,,9.25,,,
D12,27008119,28.8,,,10.0,9.8,,,,,9.0,,,
D13,27003899,28.3,,,,9.8,9.25,,,,9.25,,,
D14,27004000,29.55,,,,9.8,,10.0,,,9.75,,,
D15,27004000,29.55,,,,9.8,,,10.0,,9.75,,,
D19,27003574,26.75,8.4,,,,,,9.75,,,8.6,,
D20,27010064,25.75,8.2,,,,,,8.75,,,,8.8,
D25,27009351,23.75,8.6,,7.75,,,,,,,,7.4,
D30,27009351,22.0,8.6,6.0,,,,,,,,,7.4,
D35,27009351,23.25,8.6,,,,7.25,,,,,,7.4,
D44,27003574,27.1,,,,,,,9.75,,8.75,8.6,,
D45,27010064,26.55,,,,,,,8.75,,9.0,,8.8,
D55,27007835,23.7,,7.25,,,,,,,9.25,,7.2,
D64,27003763,26.75,,,,,,7.75,,,9.0,10.0,,
D65,27010064,27.55,,,,,,9.75,,,9.0,,8.8,
D66,27003967,29.3,,,,9.8,,,,9.75,9.75,,,
D70,27003763,27.5,,,,,,,,8.5,9.0,10.0,,
D84,27004191,28.75,9.0,,,10.0,,,,9.75,,,,
D87,27003574,27.0,8.4,,,,,,,10.0,,8.6,,
DD2,27004642,24.3,7.6,,,,,,,,9.5,,,7.2
DH1,27004642,25.7,,,,,,,9.0,,9.5,,,7.2
