Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,28035804,29.2,9.2,10.0,10.0,,,,,,,,,
A01,28002582,28.95,9.6,9.75,,9.6,,,,,,,,
A02,28035698,28.6,9.6,9.5,,,9.5,,,,,,,
A07,28010484,28.55,8.8,,,,,9.75,10.0,,,,,
A08,28015777,29.15,9.4,,,,,10.0,,9.75,,,,
A09,28037337,28.6,8.6,,,,,,10.0,10.0,,,,
B00,28010451,29.1,9.6,,9.75,,9.75,,,,,,,
B03,28035698,28.35,9.6,,,,9.5,,,,9.25,,,
B08,28037245,28.45,9.2,,,10.0,9.25,,,,,,,
C00,28033433,29.75,,,,,,10.0,10.0,,9.75,,,
C01,28016445,28.5,9.0,10.0,,,,,,,9.5,,,
C02,28035698,28.6,9.6,,9.75,,,,,,9.25,,,
C03,28032565,28.3,8.8,,,,,10.0,,,9.5,,,
C04,28035364,28.2,9.2,,,,,,9.75,,9.25,,,
C05,28013549,28.75,,9.5,9.75,,,,,,9.5,,,
C06,28035698,28.25,,9.5,,,9.5,,,,9.25,,,
C08,28037003,29.0,,,10.0,,10.0,,,,9.0,,,
C14,28002315,28.7,9.2,,,,,,,10.0,9.5,,,
C19,28017793,29.5,,,,,,10.0,,10.0,9.5,,,
C20,28029311,29.5,,,,,,,10.0,10.0,9.5,,,
D01,28002315,28.5,9.2,,,9.8,,,,,9.5,,,
D04,28030502,27.15,8.6,,,,,,,,9.75,8.8,,
D06,28005453,26.7,8.8,,,,,,,,8.5,,9.4,
D07,28000167,29.0,9.2,,10.0,9.8,,,,,,,,
D08,28037245,28.45,9.2,,,10.0,9.25,,,,,,,
D09,28029345,28.35,9.0,,,9.6,,9.75,,,,,,
D10,28029345,28.35,9.0,,,9.6,,,9.75,,,,,
D11,28018729,28.3,,9.25,,9.8,,,,,9.25,,,
D12,28030338,28.15,,,9.75,9.4,,,,,9.0,,,
D13,28037245,27.5,,,,10.0,9.25,,,,8.25,,,
D14,28037139,28.9,,,,9.4,,10.0,,,9.5,,,
D15,28019248,29.25,,,,10.0,,,9.75,,9.5,,,
D18,28032677,25.25,8.4,,,,,,8.25,,,,8.6,
D20,28030502,26.65,8.6,,,,,,9.25,,,8.8,,
D25,28033125,26.8,8.4,,10.0,,,,,,,8.4,,
D30,28033125,25.8,8.4,9.0,,,,,,,,8.4,,
D35,28033125,23.3,8.4,,,,6.5,,,,,8.4,,
D43,28032677,25.85,,,,,,,8.25,,9.0,,8.6,
D45,28030502,27.8,,,,,,,9.25,,9.75,8.8,,
D55,28033125,25.4,,9.0,,,,,,,8.0,8.4,,
D63,28018604,23.4,,,,,,6.75,,,8.25,,8.4,
D65,28025522,27.4,,,,,,10.0,,,9.0,8.4,,
D66,28002315,29.3,,,,9.8,,,,10.0,9.5,,,
D69,28032677,26.85,,,,,,,,9.25,9.0,,8.6,
D84,28002315,29.0,9.2,,,9.8,,,,10.0,,,,
D88,28032677,26.25,8.4,,,,,,,9.25,,,8.6,
DD2,28001202,24.3,7.2,,,,,,,,8.5,,,8.6
DH1,28027109,23.95,,,,,,,8.75,,9.0,,,6.2
