Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,29008666,28.95,9.2,9.75,10.0,,,,,,,,,,,
A01,29003371,28.95,9.2,9.75,,10.0,,,,,,,,,,
A02,29003371,28.2,9.2,9.75,,,9.25,,,,,,,,,
A07,29024233,28.6,8.6,,,,,10.0,10.0,,,,,,,
A08,29003114,28.8,8.8,,,,,10.0,,10.0,,,,,,
A09,29024235,28.6,8.6,,,,,,10.0,10.0,,,,,,
B00,29003629,29.4,9.4,,10.0,,10.0,,,,,,,,,
B03,29003629,27.9,9.4,,,,10.0,,,,8.5,,,,,
B08,29003371,28.45,9.2,,,10.0,9.25,,,,,,,,,
C00,29004899,29.75,,,,,,10.0,10.0,,9.75,,,,,
C01,29002894,28.4,9.4,9.5,,,,,,,9.5,,,,,
C02,29008843,28.2,9.2,,9.75,,,,,,9.25,,,,,
C03,29000151,28.1,8.6,,,,,10.0,,,9.5,,,,,
C04,29015601,28.3,8.8,,,,,,10.0,,9.5,,,,,
C05,29022858,28.75,,9.5,9.75,,,,,,9.5,,,,,
C06,29003371,28.0,,9.75,,,9.25,,,,9.0,,,,,
C08,29003629,28.5,,,10.0,,10.0,,,,8.5,,,,,
C14,29008865,28.7,9.2,,,,,,,10.0,9.5,,,,,
C19,29015657,29.75,,,,,,10.0,,10.0,9.75,,,,,
C20,29003603,29.75,,,,,,,10.0,10.0,9.75,,,,,
D01,29024374,28.55,9.0,,,9.8,,,,,9.75,,,,,
D03,29002932,26.15,7.6,,,,,,,,8.75,9.8,,,,
D04,29001345,26.45,8.4,,,,,,,,9.25,,8.8,,,
D05,29033528,25.1,8.2,,,,,,,,9.5,,,7.4,,
D06,29002372,25.25,7.6,,,,,,,,8.25,,,,9.4,
D07,29003371,28.95,9.2,,9.75,10.0,,,,,,,,,,
D08,29003371,28.45,9.2,,,10.0,9.25,,,,,,,,,
D09,29002965,28.4,8.6,,,9.8,,10.0,,,,,,,,
D10,29003603,28.2,8.4,,,9.8,,,10.0,,,,,,,
D11,29016738,28.8,,10.0,,9.8,,,,,9.0,,,,,
D12,29003371,28.75,,,9.75,10.0,,,,,9.0,,,,,
D13,29003371,28.25,,,,10.0,9.25,,,,9.0,,,,,
D14,29002965,29.3,,,,9.8,,10.0,,,9.5,,,,,
D15,29003603,29.55,,,,9.8,,,10.0,,9.75,,,,,
D16,29033528,23.1,8.2,,,,,,7.5,,,,,7.4,,
D19,29002932,26.9,7.6,,,,,,9.5,,,9.8,,,,
D20,29000856,26.5,8.2,,,,,,9.5,,,,8.8,,,
D21,29033445,22.55,7.4,,7.75,,,,,,,,,7.4,,
D23,29002372,22.25,7.6,,5.25,,,,,,,,,,9.4,
D24,29003515,22.0,8.0,,4.0,,,,,,,10.0,,,,
D25,29018166,23.9,7.6,,8.5,,,,,,,,7.8,,,
D26,29033445,21.55,7.4,6.75,,,,,,,,,,7.4,,
D28,29002372,25.5,7.6,8.5,,,,,,,,,,,9.4,
D29,29003515,26.0,8.0,8.0,,,,,,,,10.0,,,,
D30,29032413,23.25,6.8,8.25,,,,,,,,,8.2,,,
D31,29033445,21.05,7.4,,,,6.25,,,,,,,7.4,,
D33,29002372,22.0,7.6,,,,5.0,,,,,,,,9.4,
D34,29003515,24.25,8.0,,,,6.25,,,,,10.0,,,,
D35,29031989,22.25,8.6,,,,6.25,,,,,,7.4,,,
D41,29004177,25.05,,,,,,,9.0,,9.25,,,6.8,,
D44,29002932,28.05,,,,,,,9.5,,8.75,9.8,,,,
D45,29000856,27.05,,,,,,,9.5,,8.75,,8.8,,,
D54,29003515,26.0,,8.0,,,,,,,8.0,10.0,,,,
D55,29032413,25.2,,8.25,,,,,,,8.75,,8.2,,,
D61,29033528,24.4,,,,,,7.5,,,9.5,,,7.4,,
D64,29002932,27.3,,,,,,8.75,,,8.75,9.8,,,,
D65,29020848,26.7,,,,,,8.5,,,9.0,,9.2,,,
D66,29003603,29.55,,,,9.8,,,,10.0,9.75,,,,,
D70,29002932,28.05,,,,,,,,9.5,8.75,9.8,,,,
D84,29003324,28.75,9.0,,,10.0,,,,9.75,,,,,,
D85,29033528,24.85,8.2,,,,,,,9.25,,,,7.4,,
D87,29002932,26.9,7.6,,,,,,,9.5,,9.8,,,,
DD2,29014203,26.2,7.8,,,,,,,,9.0,,,,,9.4
DH1,29020898,25.65,,,,,,,7.5,,8.75,,,,,9.4
