Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,31010960,28.15,9.4,8.75,10.0,,,,,,,,,
A01,31007096,27.5,9.4,9.5,,8.6,,,,,,,,
A02,31001580,26.95,9.2,9.0,,,8.75,,,,,,,
A07,31007221,28.15,8.4,,,,,10.0,9.75,,,,,
A08,31009569,27.9,8.4,,,,,9.75,,9.75,,,,
A09,31007469,28.1,8.6,,,,,,10.0,9.5,,,,
B00,31006948,28.5,9.0,,9.75,,9.75,,,,,,,
B03,31002055,26.4,8.4,,,,9.75,,,,8.25,,,
B08,31010727,26.85,8.0,,,9.6,9.25,,,,,,,
C00,31001936,29.0,,,,,,10.0,10.0,,9.0,,,
C01,31008927,27.2,9.2,9.0,,,,,,,9.0,,,
C02,31008927,27.95,9.2,,9.75,,,,,,9.0,,,
C03,31009569,27.4,8.4,,,,,9.75,,,9.25,,,
C04,31009569,27.4,8.4,,,,,,9.75,,9.25,,,
C05,31008927,27.75,,9.0,9.75,,,,,,9.0,,,
C06,31010727,26.25,,9.25,,,9.25,,,,7.75,,,
C08,31007160,26.75,,,9.75,,8.5,,,,8.5,,,
C14,31006783,27.75,9.0,,,,,,,9.75,9.0,,,
C19,31009569,28.75,,,,,,9.75,,9.75,9.25,,,
C20,31009569,28.75,,,,,,,9.75,9.75,9.25,,,
D01,31006783,27.8,9.0,,,9.8,,,,,9.0,,,
D04,31008757,25.55,8.2,,,,,,,,7.75,9.6,,
D05,31006131,21.3,8.4,,,,,,,,7.5,,5.4,
D07,31008927,27.95,9.2,,9.75,9.0,,,,,,,,
D08,31010727,26.85,8.0,,,9.6,9.25,,,,,,,
D09,31007014,27.2,8.4,,,9.8,,9.0,,,,,,
D10,31006712,27.55,8.6,,,9.2,,,9.75,,,,,
D11,31006859,27.6,,9.0,,9.6,,,,,9.0,,,
D12,31008927,27.75,,,9.75,9.0,,,,,9.0,,,
D13,31000955,26.85,,,,9.6,8.75,,,,8.5,,,
D14,31006830,28.55,,,,9.8,,9.25,,,9.5,,,
D15,31006830,29.05,,,,9.8,,,9.75,,9.5,,,
D16,31007424,20.95,7.8,,,,,,8.75,,,,4.4,
D20,31010340,25.3,7.6,,,,,,9.5,,,8.2,,
D21,31006131,21.8,8.4,,8.0,,,,,,,,5.4,
D26,31006131,21.05,8.4,7.25,,,,,,,,,5.4,
D31,31006131,20.8,8.4,,,,7.0,,,,,,5.4,
D41,31007424,20.65,,,,,,,8.75,,7.5,,4.4,
D45,31010340,26.2,,,,,,,9.5,,8.5,8.2,,
D61,31007424,20.15,,,,,,8.25,,,7.5,,4.4,
D65,31010340,26.2,,,,,,9.5,,,8.5,8.2,,
D66,31006783,28.55,,,,9.8,,,,9.75,9.0,,,
D84,31006783,28.55,9.0,,,9.8,,,,9.75,,,,
D85,31007424,21.45,7.8,,,,,,,9.25,,,4.4,
DD2,31003252,23.0,6.4,,,,,,,,8.0,,,8.6
DH1,31003252,24.85,,,,,,,8.25,,8.0,,,8.6
