Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,32005631,29.2,9.2,10.0,10.0,,,,,,,,,,
A01,32006380,28.55,9.4,9.75,,9.4,,,,,,,,,
A02,32005631,28.2,9.2,10.0,,,9.0,,,,,,,,
A07,32000100,27.75,8.0,,,,,9.75,10.0,,,,,,
A08,32000100,27.5,8.0,,,,,9.75,,9.75,,,,,
A09,32000100,27.75,8.0,,,,,,10.0,9.75,,,,,
B00,32005631,28.2,9.2,,10.0,,9.0,,,,,,,,
B03,32006251,26.65,9.4,,,,7.5,,,,9.75,,,,
B08,32002610,26.45,8.6,,,8.6,9.25,,,,,,,,
C00,32000324,29.25,,,,,,9.75,10.0,,9.5,,,,
C01,32005631,26.95,9.2,10.0,,,,,,,7.75,,,,
C02,32005631,26.95,9.2,,10.0,,,,,,7.75,,,,
C03,32002032,26.95,9.2,,,,,8.25,,,9.5,,,,
C04,32002032,27.7,9.2,,,,,,9.0,,9.5,,,,
C05,32005631,27.75,,10.0,10.0,,,,,,7.75,,,,
C06,32005631,26.75,,10.0,,,9.0,,,,7.75,,,,
C08,32002498,27.25,,,9.25,,9.5,,,,8.5,,,,
C14,32002032,27.2,9.2,,,,,,,8.5,9.5,,,,
C19,32007768,28.75,,,,,,9.75,,9.75,9.25,,,,
C20,32007086,29.0,,,,,,,10.0,10.0,9.0,,,,
D01,32006251,28.55,9.4,,,9.4,,,,,9.75,,,,
D04,32001441,24.65,7.2,,,,,,,,9.25,8.2,,,
D05,32004422,17.65,6.8,,,,,,,,7.25,,3.6,,
D06,32008250,19.8,6.6,,,,,,,,7.0,,,6.2,
D07,32006847,27.6,8.8,,10.0,8.8,,,,,,,,,
D08,32002610,26.45,8.6,,,8.6,9.25,,,,,,,,
D09,32002837,26.8,7.2,,,9.6,,10.0,,,,,,,
D10,32002032,27.4,9.2,,,9.2,,,9.0,,,,,,
D11,32006515,26.9,,9.0,,9.4,,,,,8.5,,,,
D12,32002117,27.1,,,9.25,8.6,,,,,9.25,,,,
D13,32006251,26.65,,,,9.4,7.5,,,,9.75,,,,
D14,32002474,28.25,,,,9.0,,9.75,,,9.5,,,,
D15,32002474,28.25,,,,9.0,,,9.75,,9.5,,,,
D16,32004422,16.65,6.8,,,,,,6.25,,,,3.6,,
D18,32008250,21.55,6.6,,,,,,8.75,,,,,6.2,
D20,32000023,25.15,7.8,,,,,,9.75,,,7.6,,,
D41,32004422,17.1,,,,,,,6.25,,7.25,,3.6,,
D43,32008250,21.95,,,,,,,8.75,,7.0,,,6.2,
D45,32001441,26.45,,,,,,,9.0,,9.25,8.2,,,
D61,32004422,17.1,,,,,,6.25,,,7.25,,3.6,,
D63,32008250,20.95,,,,,,7.75,,,7.0,,,6.2,
D65,32001441,25.95,,,,,,8.5,,,9.25,8.2,,,
D66,32008297,28.0,,,,9.0,,,,10.0,9.0,,,,
D69,32008250,21.7,,,,,,,,8.5,7.0,,,6.2,
D84,32008297,27.2,8.2,,,9.0,,,,10.0,,,,,
D85,32004422,17.4,6.8,,,,,,,7.0,,,3.6,,
D88,32008250,21.3,6.6,,,,,,,8.5,,,,6.2,
DD2,32007727,18.45,5.2,,,,,,,,8.25,,,,5.0
DH1,32007727,21.75,,,,,,,8.5,,8.25,,,,5.0
