Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,34009961,28.9,9.4,9.75,9.75,,,,,,,,,
A01,34008670,28.3,9.0,9.5,,9.8,,,,,,,,
A02,34007742,27.75,9.0,9.75,,,9.0,,,,,,,
A07,34006259,28.4,8.4,,,,,10.0,10.0,,,,,
A08,34006259,28.15,8.4,,,,,10.0,,9.75,,,,
A09,34006259,28.15,8.4,,,,,,10.0,9.75,,,,
B00,34004390,28.6,9.6,,9.75,,9.25,,,,,,,
B03,34009651,27.55,8.8,,,,9.75,,,,9.0,,,
B08,34008670,27.55,9.0,,,9.8,8.75,,,,,,,
C00,34001492,29.5,,,,,,10.0,9.75,,9.75,,,
C01,34009788,27.35,8.6,9.5,,,,,,,9.25,,,
C02,34005314,27.6,9.6,,10.0,,,,,,8.0,,,
C03,34008175,27.75,8.0,,,,,10.0,,,9.75,,,
C04,34014833,27.55,8.8,,,,,,10.0,,8.75,,,
C05,34004271,27.25,,9.25,9.25,,,,,,8.75,,,
C06,34009788,26.75,,9.5,,,8.0,,,,9.25,,,
C08,34009651,28.5,,,9.75,,9.75,,,,9.0,,,
C14,34013464,27.65,8.4,,,,,,,9.5,9.75,,,
C19,34007152,29.25,,,,,,9.75,,9.75,9.75,,,
C20,34001611,29.5,,,,,,,10.0,10.0,9.5,,,
D01,34006901,27.9,8.8,,,9.6,,,,,9.5,,,
D04,34009453,25.25,8.0,,,,,,,,8.25,9.0,,
D06,34003403,27.1,8.6,,,,,,,,8.5,,10.0,
D07,34008670,28.05,9.0,,9.25,9.8,,,,,,,,
D08,34008670,27.55,9.0,,,9.8,8.75,,,,,,,
D09,34006259,27.6,8.4,,,9.2,,10.0,,,,,,
D10,34009802,27.75,8.0,,,10.0,,,9.75,,,,,
D11,34009788,28.75,,9.5,,10.0,,,,,9.25,,,
D12,34006659,27.2,,,9.25,9.2,,,,,8.75,,,
D13,34009788,27.25,,,,10.0,8.0,,,,9.25,,,
D14,34007152,28.5,,,,9.0,,9.75,,,9.75,,,
D15,34007152,28.75,,,,9.0,,,10.0,,9.75,,,
D18,34007128,21.95,5.4,,,,,,7.75,,,,8.8,
D20,34009453,24.25,8.0,,,,,,7.25,,,9.0,,
D23,34003403,24.85,8.6,,6.25,,,,,,,,10.0,
D25,34013628,23.25,7.6,,7.25,,,,,,,8.4,,
D28,34003403,25.35,8.6,6.75,,,,,,,,,10.0,
D30,34013628,22.75,7.6,6.75,,,,,,,,8.4,,
D33,34003403,25.6,8.6,,,,7.0,,,,,,10.0,
D35,34007149,22.8,7.6,,,,7.0,,,,,8.2,,
D43,34007128,24.3,,,,,,,7.75,,7.75,,8.8,
D45,34008564,24.85,,,,,,,8.75,,8.5,7.6,,
D55,34013628,22.4,,6.75,,,,,,,7.25,8.4,,
D63,34007128,24.3,,,,,,7.75,,,7.75,,8.8,
D65,34009453,25.25,,,,,,8.0,,,8.25,9.0,,
D66,34004437,28.55,,,,9.8,,,,9.5,9.25,,,
D69,34007128,25.3,,,,,,,,8.75,7.75,,8.8,
D84,34004442,27.55,8.4,,,9.4,,,,9.75,,,,
D88,34007128,22.95,5.4,,,,,,,8.75,,,8.8,
DD2,34010183,25.1,7.4,,,,,,,,9.5,,,8.2
DH1,34010183,27.45,,,,,,,9.75,,9.5,,,8.2
