Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,35006427,28.65,9.4,9.5,9.75,,,,,,,,
A01,35006514,28.6,9.6,10.0,,9.0,,,,,,,
A02,35006427,27.9,9.4,9.5,,,9.0,,,,,,
A07,35008615,28.1,8.6,,,,,9.5,10.0,,,,
A08,35009764,27.95,8.2,,,,,9.75,,10.0,,,
A09,35009764,27.95,8.2,,,,,,9.75,10.0,,,
B00,35006427,28.15,9.4,,9.75,,9.0,,,,,,
B03,35005941,27.45,9.2,,,,9.25,,,,9.0,,
B08,35006099,27.6,9.6,,,9.0,9.0,,,,,,
C00,35001017,29.5,,,,,,10.0,10.0,,9.5,,
C01,35010889,27.85,9.6,9.5,,,,,,,8.75,,
C02,35008264,28.0,9.0,,9.75,,,,,,9.25,,
C03,35008615,27.35,8.6,,,,,9.5,,,9.25,,
C04,35008615,27.85,8.6,,,,,,10.0,,9.25,,
C05,35005811,28.25,,9.5,9.5,,,,,,9.25,,
C06,35008220,26.75,,9.25,,,8.25,,,,9.25,,
C08,35003041,28.0,,,10.0,,9.5,,,,8.5,,
C14,35011147,27.9,9.4,,,,,,,9.0,9.5,,
C19,35001137,28.75,,,,,,10.0,,9.75,9.0,,
C20,35001356,28.75,,,,,,,9.75,9.75,9.25,,
D01,35006353,28.5,9.4,,,9.6,,,,,9.5,,
D04,35005892,26.3,8.2,,,,,,,,8.5,9.6,
D07,35006701,28.15,8.8,,9.75,9.6,,,,,,,
D08,35006099,27.6,9.6,,,9.0,9.0,,,,,,
D09,35008615,26.9,8.6,,,8.8,,9.5,,,,,
D10,35011147,27.5,9.4,,,9.6,,,8.5,,,,
D11,35006604,28.3,,9.5,,9.8,,,,,9.0,,
D12,35010699,28.1,,,9.5,9.6,,,,,9.0,,
D13,35006208,26.95,,,,9.2,8.75,,,,9.0,,
D14,35006177,28.4,,,,9.4,,9.5,,,9.5,,
D15,35006177,28.4,,,,9.4,,,9.5,,9.5,,
D20,35005892,27.3,8.2,,,,,,9.5,,,9.6,
D25,35008104,23.1,8.4,,6.5,,,,,,,8.2,
D30,35008104,23.85,8.4,7.25,,,,,,,,8.2,
D35,35008104,23.35,8.4,,,,6.75,,,,,8.2,
D45,35005892,27.6,,,,,,,9.5,,8.5,9.6,
D55,35008104,24.7,,7.25,,,,,,,9.25,8.2,
D65,35005892,26.85,,,,,,8.75,,,8.5,9.6,
D66,35009807,28.6,,,,9.6,,,,9.75,9.25,,
D84,35011147,28.0,9.4,,,9.6,,,,9.0,,,
DD2,35004766,24.6,6.0,,,,,,,,9.0,,9.6
DH1,35004766,28.1,,,,,,,9.5,,9.0,,9.6
