Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,36003836,28.25,9.0,9.25,10.0,,,,,,,,
A01,36000123,27.5,8.8,9.5,,9.2,,,,,,,
A02,36001313,27.25,9.0,8.75,,,9.5,,,,,,
A07,36000341,28.15,8.4,,,,,9.75,10.0,,,,
A08,36003517,27.65,8.4,,,,,9.75,,9.5,,,
A09,36002192,28.05,8.8,,,,,,10.0,9.25,,,
B00,36000220,28.45,9.2,,10.0,,9.25,,,,,,
B03,36001313,27.0,9.0,,,,9.5,,,,8.5,,
B08,36000323,27.4,8.8,,,9.6,9.0,,,,,,
C00,36001071,29.0,,,,,,9.75,10.0,,9.25,,
C01,36003836,27.25,9.0,9.25,,,,,,,9.0,,
C02,36003836,28.0,9.0,,10.0,,,,,,9.0,,
C03,36000341,26.9,8.4,,,,,9.75,,,8.75,,
C04,36002919,27.85,8.6,,,,,,10.0,,9.25,,
C05,36003836,28.25,,9.25,10.0,,,,,,9.0,,
C06,36001313,26.75,,8.75,,,9.5,,,,8.5,,
C08,36000225,28.0,,,9.5,,9.5,,,,9.0,,
C14,36004021,27.8,8.8,,,,,,,10.0,9.0,,
C19,36004748,29.0,,,,,,10.0,,9.75,9.25,,
C20,36002919,28.5,,,,,,,10.0,9.25,9.25,,
D01,36002901,27.9,8.8,,,9.6,,,,,9.5,,
D04,36001117,24.2,6.6,,,,,,,,9.0,8.6,
D07,36000220,28.0,9.2,,10.0,8.8,,,,,,,
D08,36000323,27.4,8.8,,,9.6,9.0,,,,,,
D09,36000417,27.55,8.0,,,9.8,,9.75,,,,,
D10,36002919,27.8,8.6,,,9.2,,,10.0,,,,
D11,36002891,27.1,,8.5,,9.6,,,,,9.0,,
D12,36000014,27.8,,,9.25,9.8,,,,,8.75,,
D13,36000225,27.3,,,,8.8,9.5,,,,9.0,,
D14,36000480,28.0,,,,10.0,,9.0,,,9.0,,
D15,36002919,28.45,,,,9.2,,,10.0,,9.25,,
D20,36001117,24.2,6.6,,,,,,9.0,,,8.6,
D25,36004150,21.45,5.4,,7.25,,,,,,,8.8,
D30,36004150,21.7,5.4,7.5,,,,,,,,8.8,
D35,36004150,19.95,5.4,,,,5.75,,,,,8.8,
D45,36001117,26.6,,,,,,,9.0,,9.0,8.6,
D55,36004150,24.8,,7.5,,,,,,,8.5,8.8,
D65,36001117,26.35,,,,,,8.75,,,9.0,8.6,
D66,36000480,28.5,,,,10.0,,,,9.5,9.0,,
D84,36000480,27.7,8.2,,,10.0,,,,9.5,,,
DD2,36000934,24.85,8.2,,,,,,,,8.25,,8.4
DH1,36000934,24.9,,,,,,,8.25,,8.25,,8.4
