Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,37011165,28.8,9.8,9.5,9.5,,,,,,,,,
A01,37006720,29.4,9.6,10.0,,9.8,,,,,,,,
A02,37016451,27.45,9.2,9.5,,,8.75,,,,,,,
A07,37002136,28.05,8.8,,,,,9.75,9.5,,,,,
A08,37015927,28.15,8.4,,,,,9.75,,10.0,,,,
A09,37015841,27.75,8.0,,,,,,9.75,10.0,,,,
B00,37001575,28.3,8.8,,10.0,,9.5,,,,,,,
B03,37002349,27.0,9.0,,,,9.25,,,,8.75,,,
B08,37000205,27.45,8.6,,,9.6,9.25,,,,,,,
C00,37000012,28.5,,,,,,9.75,9.75,,9.0,,,
C01,37016690,27.6,9.6,9.25,,,,,,,8.75,,,
C02,37002349,27.5,9.0,,9.75,,,,,,8.75,,,
C03,37013609,26.95,8.2,,,,,9.75,,,9.0,,,
C04,37010268,27.05,8.8,,,,,,9.75,,8.5,,,
C05,37004501,27.75,,9.25,10.0,,,,,,8.5,,,
C06,37016451,26.75,,9.5,,,8.75,,,,8.5,,,
C08,37002349,27.75,,,9.75,,9.25,,,,8.75,,,
C14,37012234,27.3,8.8,,,,,,,9.75,8.75,,,
C19,37000012,28.5,,,,,,9.75,,9.75,9.0,,,
C20,37000012,28.5,,,,,,,9.75,9.75,9.0,,,
D01,37000365,27.5,8.6,,,9.4,,,,,9.5,,,
D04,37011026,26.0,8.0,,,,,,,,9.0,9.0,,
D06,37006154,18.7,6.0,,,,,,,,8.5,,4.2,
D07,37000214,28.6,8.6,,10.0,10.0,,,,,,,,
D08,37000205,27.45,8.6,,,9.6,9.25,,,,,,,
D09,37002136,27.35,8.8,,,8.8,,9.75,,,,,,
D10,37002136,27.1,8.8,,,8.8,,,9.5,,,,,
D11,37000026,27.5,,9.25,,10.0,,,,,8.25,,,
D12,37004561,27.9,,,10.0,9.4,,,,,8.5,,,
D13,37000437,27.0,,,,9.0,9.25,,,,8.75,,,
D14,37000138,28.2,,,,9.2,,9.75,,,9.25,,,
D15,37000012,27.95,,,,9.2,,,9.75,,9.0,,,
D18,37006154,17.45,6.0,,,,,,7.25,,,,4.2,
D20,37011026,23.75,8.0,,,,,,6.75,,,9.0,,
D25,37002175,26.6,8.8,,8.0,,,,,,,9.8,,
D30,37002175,27.1,8.8,8.5,,,,,,,,9.8,,
D35,37012765,23.6,8.2,,,,7.0,,,,,8.4,,
D43,37006154,19.95,,,,,,,7.25,,8.5,,4.2,
D45,37011026,24.75,,,,,,,6.75,,9.0,9.0,,
D55,37012765,23.9,,6.25,,,,,,,9.25,8.4,,
D63,37006154,20.45,,,,,,7.75,,,8.5,,4.2,
D65,37011026,24.5,,,,,,6.5,,,9.0,9.0,,
D66,37000012,27.95,,,,9.2,,,,9.75,9.0,,,
D69,37006154,21.95,,,,,,,,9.25,8.5,,4.2,
D84,37014097,28.05,9.0,,,9.8,,,,9.25,,,,
D88,37006154,19.45,6.0,,,,,,,9.25,,,4.2,
DD2,37015846,19.1,6.4,,,,,,,,6.5,,,6.2
DH1,37015846,21.95,,,,,,,9.25,,6.5,,,6.2
