Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,38001940,29.15,9.4,9.75,10.0,,,,,,,,,
A01,38003928,28.25,9.2,9.25,,9.8,,,,,,,,
A02,38012561,27.95,9.2,9.75,,,9.0,,,,,,,
A07,38005813,28.15,8.4,,,,,9.75,10.0,,,,,
A08,38007532,28.05,8.8,,,,,9.5,,9.75,,,,
A09,38007532,28.05,8.8,,,,,,9.5,9.75,,,,
B00,38006535,29.15,9.4,,10.0,,9.75,,,,,,,
B03,38003987,27.2,9.2,,,,9.25,,,,8.75,,,
B08,38003769,28.3,9.4,,,9.4,9.5,,,,,,,
C00,38001914,29.0,,,,,,9.5,10.0,,9.5,,,
C01,38003928,27.7,9.2,9.25,,,,,,,9.25,,,
C02,38005945,27.65,8.4,,9.75,,,,,,9.5,,,
C03,38001806,27.65,8.4,,,,,9.5,,,9.75,,,
C04,38001806,27.65,8.4,,,,,,9.5,,9.75,,,
C05,38005945,28.25,,9.0,9.75,,,,,,9.5,,,
C06,38012561,27.25,,9.75,,,9.0,,,,8.5,,,
C08,38001543,27.5,,,9.25,,9.25,,,,9.0,,,
C14,38001806,27.9,8.4,,,,,,,9.75,9.75,,,
C19,38001806,29.0,,,,,,9.5,,9.75,9.75,,,
C20,38001914,29.5,,,,,,,10.0,10.0,9.5,,,
D01,38003928,28.25,9.2,,,9.8,,,,,9.25,,,
D04,38004801,26.1,8.0,,,,,,,,9.5,8.6,,
D06,38004481,22.6,7.0,,,,,,,,8.0,,7.6,
D07,38003769,28.8,9.4,,10.0,9.4,,,,,,,,
D08,38003769,28.3,9.4,,,9.4,9.5,,,,,,,
D09,38001662,27.35,8.2,,,9.4,,9.75,,,,,,
D10,38001955,27.65,9.0,,,9.4,,,9.25,,,,,
D11,38002003,28.3,,10.0,,9.8,,,,,8.5,,,
D12,38012764,27.85,,,9.25,9.6,,,,,9.0,,,
D13,38003928,27.3,,,,9.8,8.25,,,,9.25,,,
D14,38001806,28.65,,,,9.4,,9.5,,,9.75,,,
D15,38001914,29.1,,,,9.6,,,10.0,,9.5,,,
D18,38004356,16.75,5.8,,,,,,6.75,,,,4.2,
D20,38004463,26.65,9.0,,,,,,9.25,,,8.4,,
D23,38004481,20.85,7.0,,6.25,,,,,,,,7.6,
D25,38007893,25.95,7.8,,9.75,,,,,,,8.4,,
D28,38004481,20.35,7.0,5.75,,,,,,,,,7.6,
D30,38007893,24.7,7.8,8.5,,,,,,,,8.4,,
D33,38004481,19.85,7.0,,,,5.25,,,,,,7.6,
D35,38007893,22.7,7.8,,,,6.5,,,,,8.4,,
D43,38012122,17.05,,,,,,,7.5,,5.75,,3.8,
D45,38004801,26.35,,,,,,,8.25,,9.5,8.6,,
D55,38007893,24.65,,8.5,,,,,,,7.75,8.4,,
D63,38012122,17.05,,,,,,7.5,,,5.75,,3.8,
D65,38004801,25.35,,,,,,7.25,,,9.5,8.6,,
D66,38001914,29.1,,,,9.6,,,,10.0,9.5,,,
D69,38012122,19.05,,,,,,,,9.5,5.75,,3.8,
D84,38001955,27.9,9.0,,,9.4,,,,9.5,,,,
D88,38004356,17.75,5.8,,,,,,,7.75,,,4.2,
DD2,38005892,24.7,7.6,,,,,,,,8.5,,,8.6
