Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,39010578,28.95,9.2,9.75,10.0,,,,,,,,
A01,39010272,27.55,9.2,8.75,,9.6,,,,,,,
A02,39005747,26.8,8.8,8.5,,,9.5,,,,,,
A07,39006302,28.35,8.6,,,,,9.75,10.0,,,,
A08,39006302,28.1,8.6,,,,,9.75,,9.75,,,
A09,39006302,28.35,8.6,,,,,,10.0,9.75,,,
B00,39009791,29.1,9.6,,10.0,,9.5,,,,,,
B03,39002124,27.2,9.2,,,,8.75,,,,9.25,,
B08,39009657,27.6,8.2,,,9.4,10.0,,,,,,
C00,39004436,29.25,,,,,,10.0,10.0,,9.25,,
C01,39006091,27.25,9.0,9.25,,,,,,,9.0,,
C02,39010284,27.95,9.2,,10.0,,,,,,8.75,,
C03,39004437,27.4,8.4,,,,,9.75,,,9.25,,
C04,39004437,27.65,8.4,,,,,,10.0,,9.25,,
C05,39007034,28.0,,9.5,10.0,,,,,,8.5,,
C06,39009095,26.5,,8.25,,,9.5,,,,8.75,,
C08,39009095,27.75,,,9.5,,9.5,,,,8.75,,
C14,39005570,27.4,8.4,,,,,,,9.75,9.25,,
C19,39006335,29.0,,,,,,9.5,,10.0,9.5,,
C20,39005766,28.75,,,,,,,10.0,9.75,9.0,,
D01,39003207,27.55,8.8,,,10.0,,,,,8.75,,
D04,39010121,24.85,7.8,,,,,,,,8.25,8.8,
D06,39009434,19.75,6.0,,,,,,,,5.75,,8.0
D07,39009037,28.15,9.0,,9.75,9.4,,,,,,,
D08,39009657,27.6,8.2,,,9.4,10.0,,,,,,
D09,39008693,27.2,8.8,,,9.4,,9.0,,,,,
D10,39003287,27.3,9.4,,,9.4,,,8.5,,,,
D11,39009223,27.4,,8.75,,9.4,,,,,9.25,,
D12,39010284,27.55,,,10.0,8.8,,,,,8.75,,
D13,39009095,27.45,,,,9.2,9.5,,,,8.75,,
D14,39001838,28.0,,,,10.0,,9.0,,,9.0,,
D15,39004437,27.65,,,,8.4,,,10.0,,9.25,,
D20,39010121,24.35,7.8,,,,,,7.75,,,8.8,
D25,39003515,24.1,7.8,,8.5,,,,,,,7.8,
D30,39003515,23.1,7.8,7.5,,,,,,,,7.8,
D35,39008948,22.05,7.4,,,,7.25,,,,,7.4,
D45,39010121,24.8,,,,,,,7.75,,8.25,8.8,
D55,39003515,23.05,,7.5,,,,,,,7.75,7.8,
D65,39010121,24.3,,,,,,7.25,,,8.25,8.8,
D66,39001838,28.5,,,,10.0,,,,9.5,9.0,,
D84,39003287,28.05,9.4,,,9.4,,,,9.25,,,
