Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,40018907,28.8,9.8,9.5,9.5,,,,,,,,,,
A01,40002472,29.15,9.8,9.75,,9.6,,,,,,,,,
A02,40018907,28.05,9.8,9.5,,,8.75,,,,,,,,
A07,40012705,28.05,8.8,,,,,9.25,10.0,,,,,,
A08,40019360,28.05,8.8,,,,,9.5,,9.75,,,,,
A09,40012705,28.05,8.8,,,,,,10.0,9.25,,,,,
B00,40019455,29.2,9.2,,10.0,,10.0,,,,,,,,
B03,40019045,27.7,9.2,,,,9.0,,,,9.5,,,,
B08,40019380,28.4,9.2,,,9.2,10.0,,,,,,,,
C00,40002338,29.5,,,,,,10.0,10.0,,9.5,,,,
C01,40018907,27.3,9.8,9.5,,,,,,,8.0,,,,
C02,40019045,27.95,9.2,,9.25,,,,,,9.5,,,,
C03,40018973,27.7,8.2,,,,,9.75,,,9.75,,,,
C04,40001963,27.4,8.4,,,,,,9.75,,9.25,,,,
C05,40018937,28.25,,9.0,10.0,,,,,,9.25,,,,
C06,40019045,26.75,,8.25,,,9.0,,,,9.5,,,,
C08,40019455,28.5,,,10.0,,10.0,,,,8.5,,,,
C14,40018915,27.7,8.2,,,,,,,10.0,9.5,,,,
C19,40002338,29.25,,,,,,10.0,,9.75,9.5,,,,
C20,40002338,29.25,,,,,,,10.0,9.75,9.5,,,,
D01,40019113,28.25,9.2,,,9.8,,,,,9.25,,,,
D03,40019771,26.1,8.0,,,,,,,,8.5,9.6,,,
D04,40019487,26.4,8.2,,,,,,,,9.0,,9.2,,
D06,40008609,25.7,7.8,,,,,,,,8.5,,,9.4,
D07,40019380,28.15,9.2,,9.75,9.2,,,,,,,,,
D08,40019380,28.4,9.2,,,9.2,10.0,,,,,,,,
D09,40018726,27.6,8.4,,,9.2,,10.0,,,,,,,
D10,40018869,27.55,8.6,,,9.2,,,9.75,,,,,,
D11,40019702,27.6,,9.5,,9.6,,,,,8.5,,,,
D12,40019345,28.35,,,9.5,9.6,,,,,9.25,,,,
D13,40018758,27.65,,,,9.4,9.75,,,,8.5,,,,
D14,40018973,29.1,,,,9.6,,9.75,,,9.75,,,,
D15,40018973,28.35,,,,9.6,,,9.0,,9.75,,,,
D18,40008609,25.7,7.8,,,,,,8.5,,,,,9.4,
D19,40019771,25.35,8.0,,,,,,7.75,,,9.6,,,
D20,40019487,24.15,8.2,,,,,,6.75,,,,9.2,,
D23,40016141,21.05,7.4,,6.25,,,,,,,,,7.4,
D24,40019286,26.5,8.4,,8.5,,,,,,,9.6,,,
D25,40015601,21.05,7.2,,7.25,,,,,,,,6.6,,
D28,40016141,21.3,7.4,6.5,,,,,,,,,,7.4,
D29,40019286,23.25,8.4,5.25,,,,,,,,9.6,,,
D30,40015601,20.05,7.2,6.25,,,,,,,,,6.6,,
D33,40016141,19.8,7.4,,,,5.0,,,,,,,7.4,
D34,40019286,26.5,8.4,,,,8.5,,,,,9.6,,,
D35,40008747,22.1,7.8,,,,7.5,,,,,,6.8,,
D43,40008609,26.4,,,,,,,8.5,,8.5,,,9.4,
D44,40019771,25.85,,,,,,,7.75,,8.5,9.6,,,
D45,40019487,24.95,,,,,,,6.75,,9.0,,9.2,,
D54,40019286,22.85,,5.25,,,,,,,8.0,9.6,,,
D55,40008747,20.55,,4.75,,,,,,,9.0,,6.8,,
D63,40008609,24.9,,,,,,7.0,,,8.5,,,9.4,
D64,40019771,25.6,,,,,,7.5,,,8.5,9.6,,,
D65,40019487,24.7,,,,,,6.5,,,9.0,,9.2,,
D66,40018785,29.05,,,,9.8,,,,9.75,9.5,,,,
D69,40008609,25.9,,,,,,,,8.0,8.5,,,9.4,
D70,40019771,26.1,,,,,,,,8.0,8.5,9.6,,,
D84,40019113,28.0,9.2,,,9.8,,,,9.0,,,,,
D87,40019771,25.6,8.0,,,,,,,8.0,,9.6,,,
D88,40008609,25.2,7.8,,,,,,,8.0,,,,9.4,
DD2,40017751,23.25,8.4,,,,,,,,8.25,,,,6.6
DH1,40017751,23.6,,,,,,,8.75,,8.25,,,,6.6
