Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,41003638,28.85,9.6,9.25,10.0,,,,,,,,,,
A01,41009798,28.05,9.2,9.25,,9.6,,,,,,,,,
A02,41009003,27.05,8.8,10.0,,,8.25,,,,,,,,
A07,41001039,28.05,8.8,,,,,9.75,9.5,,,,,,
A08,41001039,28.05,8.8,,,,,9.75,,9.5,,,,,
A09,41010817,27.85,8.6,,,,,,9.25,10.0,,,,,
B00,41009319,28.45,9.2,,9.75,,9.5,,,,,,,,
B03,41009278,27.5,9.0,,,,9.25,,,,9.25,,,,
B08,41009812,27.6,8.8,,,9.8,9.0,,,,,,,,
C00,41008096,29.25,,,,,,10.0,10.0,,9.25,,,,
C01,41010235,27.7,9.2,9.0,,,,,,,9.5,,,,
C02,41010235,27.95,9.2,,9.25,,,,,,9.5,,,,
C03,41001506,27.9,8.4,,,,,10.0,,,9.5,,,,
C04,41001039,27.55,8.8,,,,,,9.5,,9.25,,,,
C05,41008108,27.75,,9.75,10.0,,,,,,8.0,,,,
C06,41004039,27.25,,9.25,,,8.5,,,,9.5,,,,
C08,41009278,27.75,,,9.25,,9.25,,,,9.25,,,,
C14,41010817,28.1,8.6,,,,,,,10.0,9.5,,,,
C19,41013871,29.0,,,,,,9.75,,9.75,9.5,,,,
C20,41001936,29.0,,,,,,,9.75,9.5,9.75,,,,
D01,41007964,28.05,9.2,,,9.6,,,,,9.25,,,,
D03,41009417,24.85,8.2,,,,,,,,8.25,8.4,,,
D04,41009844,25.65,8.0,,,,,,,,8.25,,9.4,,
D05,41013949,22.3,8.4,,,,,,,,6.5,,,7.4,
D07,41001817,28.6,9.0,,10.0,9.6,,,,,,,,,
D08,41009812,27.6,8.8,,,9.8,9.0,,,,,,,,
D09,41008022,27.6,8.0,,,9.6,,10.0,,,,,,,
D10,41008872,27.75,8.8,,,9.2,,,9.75,,,,,,
D11,41009119,28.35,,9.25,,9.6,,,,,9.5,,,,
D12,41001105,28.35,,,9.25,9.6,,,,,9.5,,,,
D13,41009812,28.05,,,,9.8,9.0,,,,9.25,,,,
D14,41009363,28.9,,,,9.4,,9.75,,,9.75,,,,
D15,41009363,28.9,,,,9.4,,,9.75,,9.75,,,,
D16,41010377,12.65,4.6,,,,,,6.25,,,,,1.8,
D19,41010163,22.15,7.4,,,,,,7.75,,,7.0,,,
D20,41008855,25.35,7.4,,,,,,8.75,,,,9.2,,
D24,41009417,25.35,8.2,,8.75,,,,,,,8.4,,,
D25,41013609,24.65,7.6,,8.25,,,,,,,,8.8,,
D26,41013949,23.55,8.4,7.75,,,,,,,,,,7.4,
D29,41009417,24.1,8.2,7.5,,,,,,,,8.4,,,
D30,41013609,23.65,7.6,7.25,,,,,,,,,8.8,,
D34,41009485,25.85,7.6,,,,9.25,,,,,9.0,,,
D35,41013609,22.65,7.6,,,,6.25,,,,,,8.8,,
D41,41010377,14.8,,,,,,,6.25,,6.75,,,1.8,
D43,41006841,19.25,,,,,,,8.25,,8.0,,,,3.0
D44,41010320,24.1,,,,,,,8.5,,8.0,7.6,,,
D45,41008855,26.95,,,,,,,8.75,,9.0,,9.2,,
D54,41009417,24.15,,7.5,,,,,,,8.25,8.4,,,
D55,41010072,23.45,,6.25,,,,,,,9.0,,8.2,,
D61,41010377,12.8,,,,,,4.25,,,6.75,,,1.8,
D63,41006841,19.75,,,,,,8.75,,,8.0,,,,3.0
D64,41010320,24.35,,,,,,8.75,,,8.0,7.6,,,
D65,41008855,27.95,,,,,,9.75,,,9.0,,9.2,,
D66,41010240,29.0,,,,10.0,,,,9.75,9.25,,,,
D69,41006841,20.0,,,,,,,,9.0,8.0,,,,3.0
D70,41009508,23.6,,,,,,,,9.5,8.5,5.6,,,
D84,41008485,27.95,8.2,,,10.0,,,,9.75,,,,,
D85,41010377,14.4,4.6,,,,,,,8.0,,,,1.8,
D87,41010163,23.4,7.4,,,,,,,9.0,,7.0,,,
