Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,43002184,28.45,9.2,9.25,10.0,,,,,,,
A01,43002223,28.6,9.4,10.0,,9.2,,,,,,
A02,43002184,27.2,9.2,9.25,,,8.75,,,,,
A07,43003609,28.1,8.6,,,,,9.75,9.75,,,
A08,43002193,28.15,8.4,,,,,9.75,,10.0,,
A09,43002241,28.75,9.0,,,,,,9.75,10.0,,
B00,43002135,28.1,8.6,,10.0,,9.5,,,,,
B03,43004903,26.55,8.8,,,,9.25,,,,8.5,
B08,43003865,27.3,9.2,,,9.6,8.5,,,,,
C00,43000174,29.0,,,,,,10.0,9.75,,9.25,
C01,43003749,27.3,8.8,9.25,,,,,,,9.25,
C02,43003749,27.8,8.8,,9.75,,,,,,9.25,
C03,43003609,27.85,8.6,,,,,9.75,,,9.5,
C04,43002241,28.0,9.0,,,,,,9.75,,9.25,
C05,43003749,28.25,,9.25,9.75,,,,,,9.25,
C06,43002863,27.25,,9.5,,,9.0,,,,8.75,
C08,43002053,27.75,,,10.0,,8.75,,,,9.0,
C14,43002241,28.25,9.0,,,,,,,10.0,9.25,
C19,43003224,29.0,,,,,,9.75,,9.75,9.5,
C20,43002134,29.25,,,,,,,9.75,10.0,9.5,
D01,43003609,27.9,8.6,,,9.8,,,,,9.5,
D04,43001654,23.75,7.4,,,,,,,,8.75,7.6
D07,43003865,27.8,9.2,,9.0,9.6,,,,,,
D08,43003865,27.3,9.2,,,9.6,8.5,,,,,
D09,43003609,28.15,8.6,,,9.8,,9.75,,,,
D10,43002136,28.55,9.0,,,9.8,,,9.75,,,
D11,43003575,28.05,,9.25,,9.8,,,,,9.0,
D12,43002053,27.2,,,10.0,8.2,,,,,9.0,
D13,43003575,27.05,,,,9.8,8.25,,,,9.0,
D14,43003609,29.05,,,,9.8,,9.75,,,9.5,
D15,43003609,29.05,,,,9.8,,,9.75,,9.5,
D20,43001654,23.75,7.4,,,,,,8.75,,,7.6
D25,43001157,24.3,8.0,,9.5,,,,,,,6.8
D30,43001157,22.55,8.0,7.75,,,,,,,,6.8
D35,43001157,22.05,8.0,,,,7.25,,,,,6.8
D45,43001654,25.1,,,,,,,8.75,,8.75,7.6
D55,43009444,23.45,,6.5,,,,,,,8.75,8.2
D65,43001654,23.85,,,,,,7.5,,,8.75,7.6
D66,43003609,29.05,,,,9.8,,,,9.75,9.5,
D84,43002136,28.3,9.0,,,9.8,,,,9.5,,
