Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,44002838,29.15,9.4,9.75,10.0,,,,,,,,,,
A01,44003949,28.95,9.6,9.75,,9.6,,,,,,,,,
A02,44002862,27.9,9.4,8.5,,,10.0,,,,,,,,
A07,44007573,28.5,9.0,,,,,10.0,9.5,,,,,,
A08,44005511,28.1,8.6,,,,,10.0,,9.5,,,,,
A09,44010654,28.55,8.8,,,,,,9.75,10.0,,,,,
B00,44002862,29.4,9.4,,10.0,,10.0,,,,,,,,
B03,44004272,27.5,9.0,,,,9.75,,,,8.75,,,,
B08,44003498,28.15,8.8,,,9.6,9.75,,,,,,,,
C00,44001445,29.25,,,,,,9.75,10.0,,9.5,,,,
C01,44003805,28.15,9.4,9.75,,,,,,,9.0,,,,
C02,44004668,28.15,9.4,,10.0,,,,,,8.75,,,,
C03,44013582,27.35,8.6,,,,,9.75,,,9.0,,,,
C04,44001445,27.3,7.8,,,,,,10.0,,9.5,,,,
C05,44004668,28.25,,9.5,10.0,,,,,,8.75,,,,
C06,44004272,27.25,,8.75,,,9.75,,,,8.75,,,,
C08,44004272,28.5,,,10.0,,9.75,,,,8.75,,,,
C14,44010654,27.55,8.8,,,,,,,10.0,8.75,,,,
C19,44009678,28.75,,,,,,9.75,,10.0,9.0,,,,
C20,44008493,29.25,,,,,,,10.0,10.0,9.25,,,,
D01,44000138,27.55,9.6,,,9.2,,,,,8.75,,,,
D04,44002981,25.4,8.0,,,,,,,,9.0,8.4,,,
D05,44001996,22.3,8.2,,,,,,,,8.5,,5.6,,
D06,44006340,24.9,8.4,,,,,,,,7.5,,,9.0,
D07,44004593,28.75,9.2,,9.75,9.8,,,,,,,,,
D08,44003498,28.15,8.8,,,9.6,9.75,,,,,,,,
D09,44001704,27.7,8.6,,,9.6,,9.5,,,,,,,
D10,44001704,27.95,8.6,,,9.6,,,9.75,,,,,,
D11,44003307,28.25,,9.5,,10.0,,,,,8.75,,,,
D12,44002686,28.25,,,10.0,10.0,,,,,8.25,,,,
D13,44003498,27.6,,,,9.6,9.75,,,,8.25,,,,
D14,44008703,28.4,,,,9.4,,9.75,,,9.25,,,,
D15,44008570,28.4,,,,9.4,,,9.5,,9.5,,,,
D16,44001996,22.3,8.2,,,,,,8.5,,,,5.6,,
D18,44000234,24.45,6.8,,,,,,9.25,,,,,8.4,
D20,44006580,25.85,8.0,,,,,,9.25,,,8.6,,,
D23,44006340,24.4,8.4,,7.0,,,,,,,,,9.0,
D25,44012358,24.25,8.4,,7.25,,,,,,,8.6,,,
D28,44006340,23.15,8.4,5.75,,,,,,,,,,9.0,
D30,44012358,23.25,8.4,6.25,,,,,,,,8.6,,,
D33,44006340,23.65,8.4,,,,6.25,,,,,,,9.0,
D35,44012358,23.75,8.4,,,,6.75,,,,,8.6,,,
D41,44001996,22.6,,,,,,,8.5,,8.5,,5.6,,
D43,44000234,24.65,,,,,,,9.25,,7.0,,,8.4,
D45,44002252,26.6,,,,,,,9.75,,9.25,7.6,,,
D55,44014230,23.45,,7.25,,,,,,,8.0,8.2,,,
D61,44001996,21.6,,,,,,7.5,,,8.5,,5.6,,
D63,44006768,24.8,,,,,,8.75,,,8.25,,,7.8,
D65,44014011,26.05,,,,,,8.75,,,8.5,8.8,,,
D66,44006156,28.65,,,,9.4,,,,9.75,9.5,,,,
D69,44000234,24.9,,,,,,,,9.5,7.0,,,8.4,
D84,44006646,28.3,9.0,,,9.8,,,,9.5,,,,,
D85,44001996,22.8,8.2,,,,,,,9.0,,,5.6,,
D88,44000234,24.7,6.8,,,,,,,9.5,,,,8.4,
DD2,44010572,23.85,8.4,,,,,,,,8.25,,,,7.2
