Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,45003689,28.1,8.6,9.5,10.0,,,,,,,,,
A01,45002931,27.55,9.2,8.75,,9.6,,,,,,,,
A02,45002745,26.55,8.8,8.75,,,9.0,,,,,,,
A07,45002839,26.9,8.4,,,,,9.5,9.0,,,,,
A08,45003129,27.0,8.0,,,,,9.5,,9.5,,,,
A09,45004574,27.3,8.8,,,,,,9.0,9.5,,,,
B00,45002746,28.25,9.0,,9.5,,9.75,,,,,,,
B03,45003463,25.6,8.6,,,,8.75,,,,8.25,,,
B08,45002931,27.05,9.2,,,9.6,8.25,,,,,,,
C00,45000803,28.25,,,,,,10.0,9.75,,8.5,,,
C01,45005646,26.2,9.2,9.0,,,,,,,8.0,,,
C02,45002939,26.65,9.4,,9.25,,,,,,8.0,,,
C03,45002839,26.15,8.4,,,,,9.5,,,8.25,,,
C04,45003275,26.95,8.2,,,,,,9.75,,9.0,,,
C05,45003689,26.75,,9.5,10.0,,,,,,7.25,,,
C06,45003543,25.5,,9.0,,,8.25,,,,8.25,,,
C08,45002745,26.5,,,10.0,,9.0,,,,7.5,,,
C14,45004081,26.8,8.8,,,,,,,10.0,8.0,,,
C19,45003562,28.0,,,,,,9.5,,9.75,8.75,,,
C20,45003950,27.75,,,,,,,9.5,9.5,8.75,,,
D01,45003079,27.05,8.4,,,9.4,,,,,9.25,,,
D04,45002764,25.5,7.8,,,,,,,,8.5,9.2,,
D05,45000863,19.05,5.8,,,,,,,,6.25,,7.0,
D06,45001356,17.05,6.6,,,,,,,,7.25,,,3.2
D07,45002931,28.05,9.2,,9.25,9.6,,,,,,,,
D08,45002931,27.05,9.2,,,9.6,8.25,,,,,,,
D09,45002839,27.1,8.4,,,9.2,,9.5,,,,,,
D10,45003171,26.6,8.6,,,9.0,,,9.0,,,,,
D11,45003578,26.3,,8.5,,9.8,,,,,8.0,,,
D12,45002939,26.65,,,9.25,9.4,,,,,8.0,,,
D13,45003282,26.5,,,,9.0,8.5,,,,9.0,,,
D14,45003562,27.85,,,,9.6,,9.5,,,8.75,,,
D15,45003275,27.35,,,,8.6,,,9.75,,9.0,,,
D16,45000863,20.55,5.8,,,,,,7.75,,,,7.0,
D20,45002764,25.0,7.8,,,,,,8.0,,,9.2,,
D25,45002984,23.55,8.2,,6.75,,,,,,,8.6,,
D30,45002984,23.05,8.2,6.25,,,,,,,,8.6,,
D35,45002984,24.55,8.2,,,,7.75,,,,,8.6,,
D41,45000863,21.0,,,,,,,7.75,,6.25,,7.0,
D45,45002764,25.7,,,,,,,8.0,,8.5,9.2,,
D55,45003393,20.4,,4.25,,,,,,,8.75,7.4,,
D61,45000863,20.5,,,,,,7.25,,,6.25,,7.0,
D65,45002764,24.95,,,,,,7.25,,,8.5,9.2,,
D66,45003562,28.1,,,,9.6,,,,9.75,8.75,,,
D84,45003165,27.65,8.6,,,9.8,,,,9.25,,,,
D85,45000863,21.05,5.8,,,,,,,8.25,,,7.0,
