Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,46002159,27.8,8.8,9.25,9.75,,,,,,,,,
A01,46002144,28.35,9.2,9.75,,9.4,,,,,,,,
A02,46002024,27.5,9.0,9.5,,,9.0,,,,,,,
A07,46007443,27.7,8.2,,,,,9.75,9.75,,,,,
A08,46000099,27.9,8.4,,,,,9.5,,10.0,,,,
A09,46008672,28.1,8.6,,,,,,9.75,9.75,,,,
B00,46000928,28.8,9.8,,9.5,,9.5,,,,,,,
B03,46008033,26.15,8.4,,,,8.5,,,,9.25,,,
B08,46000928,28.3,9.8,,,9.0,9.5,,,,,,,
C00,46001323,28.75,,,,,,9.75,9.5,,9.5,,,
C01,46008092,27.35,8.6,9.25,,,,,,,9.5,,,
C02,46008595,27.0,9.0,,9.5,,,,,,8.5,,,
C03,46008205,27.35,8.6,,,,,9.5,,,9.25,,,
C04,46002513,27.35,8.6,,,,,,9.5,,9.25,,,
C05,46008052,27.25,,9.5,8.75,,,,,,9.0,,,
C06,46002768,26.5,,9.75,,,8.0,,,,8.75,,,
C08,46008033,27.0,,,9.25,,8.5,,,,9.25,,,
C14,46007997,27.4,8.4,,,,,,,9.75,9.25,,,
C19,46001323,28.5,,,,,,9.75,,9.25,9.5,,,
C20,46002518,28.5,,,,,,,9.5,10.0,9.0,,,
D01,46002487,27.2,8.4,,,9.8,,,,,9.0,,,
D04,46006052,25.1,8.0,,,,,,,,7.5,9.6,,
D06,46006627,21.25,7.0,,,,,,,,8.25,,6.0,
D07,46000928,28.3,9.8,,9.5,9.0,,,,,,,,
D08,46000928,28.3,9.8,,,9.0,9.5,,,,,,,
D09,46000466,27.2,8.4,,,9.8,,9.0,,,,,,
D10,46000469,27.55,8.4,,,9.4,,,9.75,,,,,
D11,46002768,27.7,,9.75,,9.2,,,,,8.75,,,
D12,46006617,27.0,,,9.75,9.0,,,,,8.25,,,
D13,46002487,26.8,,,,9.8,8.0,,,,9.0,,,
D14,46001535,28.2,,,,9.2,,9.75,,,9.25,,,
D15,46002342,28.05,,,,9.8,,,9.75,,8.5,,,
D20,46006936,24.95,7.2,,,,,,9.75,,,8.0,,
D23,46006627,18.5,7.0,,5.5,,,,,,,,6.0,
D25,46006052,24.85,8.0,,7.25,,,,,,,9.6,,
D28,46006627,16.25,7.0,3.25,,,,,,,,,6.0,
D30,46006052,22.85,8.0,5.25,,,,,,,,9.6,,
D33,46006627,17.5,7.0,,,,4.5,,,,,,6.0,
D35,46007863,23.65,8.6,,,,7.25,,,,,7.8,,
D45,46006936,26.75,,,,,,,9.75,,9.0,8.0,,
D55,46006052,22.35,,5.25,,,,,,,7.5,9.6,,
D65,46006936,26.75,,,,,,9.75,,,9.0,8.0,,
D66,46007655,28.0,,,,9.0,,,,9.75,9.25,,,
D84,46000466,27.7,8.4,,,9.8,,,,9.5,,,,
DD2,46000702,19.7,6.0,,,,,,,,8.5,,,5.2
DH1,46007155,22.25,,,,,,,6.75,,6.5,,,9.0
