Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,47008178,28.25,9.0,9.25,10.0,,,,,,,
A01,47008076,28.0,9.4,9.0,,9.6,,,,,,
A02,47008810,27.1,8.6,9.5,,,9.0,,,,,
A07,47002958,27.5,8.0,,,,,10.0,9.5,,,
A08,47011294,28.15,8.4,,,,,10.0,,9.75,,
A09,47008397,27.85,8.6,,,,,,9.25,10.0,,
B00,47005300,27.75,9.0,,9.75,,9.0,,,,,
B03,47000613,26.75,9.0,,,,8.75,,,,9.0,
B08,47004578,26.8,8.8,,,10.0,8.0,,,,,
C00,47002958,29.0,,,,,,10.0,9.5,,9.5,
C01,47002748,27.05,8.8,9.0,,,,,,,9.25,
C02,47009486,27.5,9.0,,9.75,,,,,,8.75,
C03,47011294,27.65,8.4,,,,,10.0,,,9.25,
C04,47003368,27.1,8.6,,,,,,9.25,,9.25,
C05,47001767,27.75,,9.5,9.5,,,,,,8.75,
C06,47008810,26.5,,9.5,,,9.0,,,,8.0,
C08,47001017,27.25,,,9.5,,8.75,,,,9.0,
C14,47003314,27.6,8.6,,,,,,,9.75,9.25,
C19,47002958,29.25,,,,,,10.0,,9.75,9.5,
C20,47002958,28.75,,,,,,,9.5,9.75,9.5,
D01,47002010,27.5,8.6,,,9.4,,,,,9.5,
D04,47003939,25.6,8.6,,,,,,,,8.0,9.0
D07,47010311,27.6,8.8,,10.0,8.8,,,,,,
D08,47004578,26.8,8.8,,,10.0,8.0,,,,,
D09,47007716,27.0,8.0,,,10.0,,9.0,,,,
D10,47007962,27.4,9.0,,,9.4,,,9.0,,,
D11,47002748,27.25,,9.0,,9.0,,,,,9.25,
D12,47005166,28.0,,,9.5,9.0,,,,,9.5,
D13,47007699,27.1,,,,9.6,8.25,,,,9.25,
D14,47013042,27.85,,,,8.6,,9.75,,,9.5,
D15,47002557,27.8,,,,8.8,,,9.75,,9.25,
D20,47003939,26.6,8.6,,,,,,9.0,,,9.0
D25,47009120,21.9,7.2,,5.5,,,,,,,9.2
D30,47009120,24.4,7.2,8.0,,,,,,,,9.2
D35,47009120,23.4,7.2,,,,7.0,,,,,9.2
D45,47003939,26.0,,,,,,,9.0,,8.0,9.0
D55,47009120,24.45,,8.0,,,,,,,7.25,9.2
D65,47003939,24.75,,,,,,7.75,,,8.0,9.0
D66,47003314,28.4,,,,9.4,,,,9.75,9.25,
D84,47003314,27.75,8.6,,,9.4,,,,9.75,,
