Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Đức (Tiếng Đức - Mã: N5),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,48009461,27.75,9.0,9.0,9.75,,,,,,,,,,,
A01,48021170,28.05,9.4,9.25,,9.4,,,,,,,,,,
A02,48024137,27.05,8.8,8.75,,,9.5,,,,,,,,,
A07,48015170,27.95,8.2,,,,,9.75,10.0,,,,,,,
A08,48005039,27.8,8.8,,,,,9.25,,9.75,,,,,,
A09,48012844,28.5,9.0,,,,,,10.0,9.5,,,,,,
B00,48028771,29.0,9.0,,10.0,,10.0,,,,,,,,,
B03,48028771,27.5,9.0,,,,10.0,,,,8.5,,,,,
B08,48023274,28.05,9.6,,,9.2,9.25,,,,,,,,,
C00,48009464,28.75,,,,,,10.0,9.75,,9.0,,,,,
C01,48025114,27.25,9.0,9.5,,,,,,,8.75,,,,,
C02,48009479,27.6,8.6,,10.0,,,,,,9.0,,,,,
C03,48004381,27.2,8.2,,,,,9.75,,,9.25,,,,,
C04,48015802,27.45,8.2,,,,,,10.0,,9.25,,,,,
C05,48009479,27.75,,8.75,10.0,,,,,,9.0,,,,,
C06,48006687,27.0,,9.5,,,8.5,,,,9.0,,,,,
C08,48028771,28.5,,,10.0,,10.0,,,,8.5,,,,,
C14,48000596,27.5,9.0,,,,,,,9.75,8.75,,,,,
C19,48005869,28.5,,,,,,9.75,,9.75,9.0,,,,,
C20,48014402,28.75,,,,,,,10.0,9.5,9.25,,,,,
D01,48019989,27.9,8.6,,,9.8,,,,,9.5,,,,,
D03,48000514,22.8,6.0,,,,,,,,9.0,7.8,,,,
D04,48012972,26.75,8.2,,,,,,,,8.75,,9.8,,,
D05,48011699,17.75,6.8,,,,,,,,6.75,,,4.2,,
D06,48001017,26.05,8.2,,,,,,,,8.25,,,,9.6,
D07,48023274,28.05,9.6,,9.25,9.2,,,,,,,,,,
D08,48023274,28.05,9.6,,,9.2,9.25,,,,,,,,,
D09,48003546,27.5,8.2,,,9.8,,9.5,,,,,,,,
D10,48015802,27.6,8.2,,,9.4,,,10.0,,,,,,,
D11,48006687,27.9,,9.5,,9.4,,,,,9.0,,,,,
D12,48017423,27.75,,,9.5,9.0,,,,,9.25,,,,,
D13,48002716,27.35,,,,9.6,9.25,,,,8.5,,,,,
D14,48007636,28.45,,,,9.2,,10.0,,,9.25,,,,,
D15,48015802,28.65,,,,9.4,,,10.0,,9.25,,,,,
D16,48011699,17.25,6.8,,,,,,6.25,,,,,4.2,,
D18,48001017,25.3,8.2,,,,,,7.5,,,,,,9.6,
D19,48000514,22.3,6.0,,,,,,8.5,,,7.8,,,,
D20,48023047,25.6,7.4,,,,,,9.0,,,,9.2,,,
D23,48023757,24.9,8.4,,8.5,,,,,,,,,,8.0,
D24,48000030,21.55,8.2,,5.75,,,,,,,7.6,,,,
D25,48012972,25.5,8.2,,7.5,,,,,,,,9.8,,,
D28,48023757,24.65,8.4,8.25,,,,,,,,,,,8.0,
D29,48000030,22.05,8.2,6.25,,,,,,,,7.6,,,,
D30,48012972,25.0,8.2,7.0,,,,,,,,,9.8,,,
D33,48023757,23.65,8.4,,,,7.25,,,,,,,,8.0,
D34,48000030,21.8,8.2,,,,6.0,,,,,7.6,,,,
D35,48012972,25.25,8.2,,,,7.25,,,,,,9.8,,,
D41,48011699,17.2,,,,,,,6.25,,6.75,,,4.2,,
D43,48033181,25.4,,,,,,,7.75,,8.25,,,,9.4,
D44,48000514,25.3,,,,,,,8.5,,9.0,7.8,,,,
D45,48015948,26.45,,,,,,,8.75,,8.5,,9.2,,,
D54,48000030,19.1,,6.25,,,,,,,5.25,7.6,,,,
D55,48012972,25.55,,7.0,,,,,,,8.75,,9.8,,,
D61,48011699,17.7,,,,,,6.75,,,6.75,,,4.2,,
D63,48033181,27.4,,,,,,9.75,,,8.25,,,,9.4,
D64,48000514,26.3,,,,,,9.5,,,9.0,7.8,,,,
D65,48015948,25.2,,,,,,7.5,,,8.5,,9.2,,,
D66,48019989,28.55,,,,9.8,,,,9.25,9.5,,,,,
D69,48033181,26.15,,,,,,,,8.5,8.25,,,,9.4,
D70,48000514,26.55,,,,,,,,9.75,9.0,7.8,,,,
D84,48019343,28.35,8.8,,,9.8,,,,9.75,,,,,,
D85,48011699,18.5,6.8,,,,,,,7.5,,,,4.2,,
D87,48000514,23.55,6.0,,,,,,,9.75,,7.8,,,,
D88,48001017,25.8,8.2,,,,,,,8.0,,,,,9.6,
DD2,48013371,24.75,7.8,,,,,,,,8.75,,,,,8.2
DH1,48017473,26.0,,,,,,,8.5,,8.5,,,,,9.0
