Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,49004985,28.9,9.4,9.5,10.0,,,,,,,,,
A01,49015474,27.65,9.2,9.25,,9.2,,,,,,,,
A02,49014266,27.9,9.4,9.5,,,9.0,,,,,,,
A07,49004669,27.3,7.8,,,,,9.75,9.75,,,,,
A08,49006811,27.9,8.4,,,,,9.5,,10.0,,,,
A09,49014131,27.7,8.2,,,,,,9.75,9.75,,,,
B00,49004728,28.6,9.6,,10.0,,9.0,,,,,,,
B03,49000312,27.0,9.0,,,,9.0,,,,9.0,,,
B08,49004832,27.55,9.2,,,9.6,8.75,,,,,,,
C00,49012614,29.25,,,,,,9.75,10.0,,9.5,,,
C01,49004985,27.65,9.4,9.5,,,,,,,8.75,,,
C02,49004985,28.15,9.4,,10.0,,,,,,8.75,,,
C03,49000581,27.25,8.0,,,,,9.5,,,9.75,,,
C04,49000581,27.0,8.0,,,,,,9.25,,9.75,,,
C05,49004985,28.25,,9.5,10.0,,,,,,8.75,,,
C06,49000534,26.75,,9.0,,,8.75,,,,9.0,,,
C08,49002194,27.25,,,10.0,,9.0,,,,8.25,,,
C14,49005118,27.7,9.2,,,,,,,9.5,9.0,,,
C19,49007452,29.0,,,,,,9.75,,9.75,9.5,,,
C20,49012614,29.25,,,,,,,10.0,9.75,9.5,,,
D01,49015350,27.9,8.6,,,9.8,,,,,9.5,,,
D04,49004868,26.2,8.0,,,,,,,,9.0,9.2,,
D06,49008280,23.2,7.6,,,,,,,,7.0,,8.6,
D07,49004832,28.3,9.2,,9.5,9.6,,,,,,,,
D08,49004832,27.55,9.2,,,9.6,8.75,,,,,,,
D09,49004976,27.2,8.2,,,10.0,,9.0,,,,,,
D10,49004976,27.2,8.2,,,10.0,,,9.0,,,,,
D11,49015350,28.3,,9.0,,9.8,,,,,9.5,,,
D12,49012530,28.15,,,9.0,9.4,,,,,9.75,,,
D13,49004587,27.55,,,,9.8,8.75,,,,9.0,,,
D14,49000581,28.65,,,,9.4,,9.5,,,9.75,,,
D15,49000581,28.4,,,,9.4,,,9.25,,9.75,,,
D20,49004868,25.2,8.0,,,,,,8.0,,,9.2,,
D25,49003751,23.3,7.8,,6.5,,,,,,,9.0,,
D30,49011289,24.2,8.0,8.0,,,,,,,,8.2,,
D35,49011289,22.95,8.0,,,,6.75,,,,,8.2,,
D45,49003748,26.45,,,,,,,9.25,,9.0,8.2,,
D55,49011289,25.45,,8.0,,,,,,,9.25,8.2,,
D65,49003748,26.45,,,,,,9.25,,,9.0,8.2,,
D66,49000581,28.15,,,,9.4,,,,9.0,9.75,,,
D84,49004976,27.95,8.2,,,10.0,,,,9.75,,,,
DD2,49007018,24.65,8.8,,,,,,,,7.25,,,8.6
DH1,49007018,24.35,,,,,,,8.5,,7.25,,,8.6
