Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,50010821,28.2,9.2,9.0,10.0,,,,,,,,,
A01,50013953,28.2,9.0,10.0,,9.2,,,,,,,,
A02,50007773,26.85,8.6,9.25,,,9.0,,,,,,,
A07,50010954,28.1,8.6,,,,,9.5,10.0,,,,,
A08,50011092,28.75,9.0,,,,,10.0,,9.75,,,,
A09,50013051,28.3,8.8,,,,,,9.75,9.75,,,,
B00,50005468,28.95,9.2,,9.75,,10.0,,,,,,,
B03,50005468,27.12,9.2,,,,10.0,,,,7.92,,,
B08,50005468,27.8,9.2,,,8.6,10.0,,,,,,,
C00,50010060,29.25,,,,,,10.0,10.0,,9.25,,,
C01,50009708,27.25,9.0,9.0,,,,,,,9.25,,,
C02,50012591,27.95,9.2,,10.0,,,,,,8.75,,,
C03,50004228,27.55,8.8,,,,,9.75,,,9.0,,,
C04,50016303,27.45,8.2,,,,,,9.75,,9.5,,,
C05,50007462,28.0,,9.5,9.75,,,,,,8.75,,,
C06,50007773,27.25,,9.25,,,9.0,,,,9.0,,,
C08,50007515,27.75,,,9.25,,9.5,,,,9.0,,,
C14,50010931,27.65,8.4,,,,,,,10.0,9.25,,,
C19,50003950,28.75,,,,,,10.0,,9.75,9.0,,,
C20,50010931,29.0,,,,,,,9.75,10.0,9.25,,,
D01,50013600,28.7,9.4,,,9.8,,,,,9.5,,,
D04,50007600,26.75,8.6,,,,,,,,8.75,9.4,,
D06,50007446,21.15,8.4,,,,,,,,8.75,,4.0,
D07,50007385,28.0,9.0,,10.0,9.0,,,,,,,,
D08,50005468,27.8,9.2,,,8.6,10.0,,,,,,,
D09,50005830,27.65,9.2,,,9.2,,9.25,,,,,,
D10,50005830,27.4,9.2,,,9.2,,,9.0,,,,,
D11,50000837,27.35,,8.25,,9.6,,,,,9.5,,,
D12,50000837,28.6,,,9.5,9.6,,,,,9.5,,,
D13,50000837,27.6,,,,9.6,8.5,,,,9.5,,,
D14,50007248,28.05,,,,8.8,,10.0,,,9.25,,,
D15,50004303,28.15,,,,9.4,,,9.75,,9.0,,,
D18,50013888,15.75,3.2,,,,,,7.75,,,,4.8,
D20,50007600,27.5,8.6,,,,,,9.5,,,9.4,,
D23,50007446,17.15,8.4,,4.75,,,,,,,,4.0,
D25,50001691,24.7,7.6,,9.5,,,,,,,7.6,,
D28,50007446,16.4,8.4,4.0,,,,,,,,,4.0,
D30,50001691,22.7,7.6,7.5,,,,,,,,7.6,,
D33,50007446,16.9,8.4,,,,4.5,,,,,,4.0,
D35,50001691,22.95,7.6,,,,7.75,,,,,7.6,,
D43,50013888,20.05,,,,,,,7.75,,7.5,,4.8,
D45,50007600,27.65,,,,,,,9.5,,8.75,9.4,,
D55,50001691,23.35,,7.5,,,,,,,8.25,7.6,,
D63,50013888,21.05,,,,,,8.75,,,7.5,,4.8,
D65,50007600,27.65,,,,,,9.5,,,8.75,9.4,,
D66,50007402,28.35,,,,9.6,,,,9.5,9.25,,,
D84,50006091,28.0,8.8,,,9.2,,,,10.0,,,,
DD2,50000078,23.05,8.0,,,,,,,,8.25,,,6.8
