Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,51018549,28.0,9.0,9.25,9.75,,,,,,,,,
A01,51000986,28.45,9.2,9.25,,10.0,,,,,,,,
A02,51018549,27.75,9.0,9.25,,,9.5,,,,,,,
A07,51016890,28.15,9.4,,,,,9.25,9.5,,,,,
A08,51016890,28.15,9.4,,,,,9.25,,9.5,,,,
A09,51016890,28.4,9.4,,,,,,9.5,9.5,,,,
B00,51006726,28.7,9.2,,10.0,,9.5,,,,,,,
B03,51011151,27.75,9.0,,,,9.5,,,,9.25,,,
B08,51000795,28.1,9.0,,,9.6,9.5,,,,,,,
C00,51010530,29.5,,,,,,10.0,10.0,,9.5,,,
C01,51017538,27.5,9.0,9.25,,,,,,,9.25,,,
C02,51001007,28.25,9.0,,10.0,,,,,,9.25,,,
C03,51000070,28.05,8.8,,,,,9.5,,,9.75,,,
C04,51014581,27.9,8.4,,,,,,10.0,,9.5,,,
C05,51016750,27.75,,9.25,9.0,,,,,,9.5,,,
C06,51003158,27.0,,8.75,,,8.75,,,,9.5,,,
C08,51006726,28.5,,,10.0,,9.5,,,,9.0,,,
C14,51000495,27.85,8.6,,,,,,,10.0,9.25,,,
C19,51000492,29.25,,,,,,10.0,,9.75,9.5,,,
C20,51003684,29.25,,,,,,,9.75,10.0,9.5,,,
D01,51013997,27.7,8.4,,,9.8,,,,,9.5,,,
D04,51001296,23.85,7.0,,,,,,,,7.25,9.6,,
D06,51015821,26.15,8.0,,,,,,,,8.75,,9.4,
D07,51000795,28.35,9.0,,9.75,9.6,,,,,,,,
D08,51000795,28.1,9.0,,,9.6,9.5,,,,,,,
D09,51018098,27.75,8.6,,,9.4,,9.75,,,,,,
D10,51001447,28.1,8.6,,,10.0,,,9.5,,,,,
D11,51008722,28.1,,9.0,,9.6,,,,,9.5,,,
D12,51013997,29.05,,,9.75,9.8,,,,,9.5,,,
D13,51013997,28.55,,,,9.8,9.25,,,,9.5,,,
D14,51018098,28.65,,,,9.4,,9.75,,,9.5,,,
D15,51013441,28.7,,,,9.2,,,10.0,,9.5,,,
D18,51002179,25.3,6.8,,,,,,9.5,,,,9.0,
D20,51001296,22.85,7.0,,,,,,6.25,,,9.6,,
D23,51015821,25.15,8.0,,7.75,,,,,,,,9.4,
D25,51001260,24.85,8.4,,9.25,,,,,,,7.2,,
D28,51015821,23.9,8.0,6.5,,,,,,,,,9.4,
D30,51001260,21.85,8.4,6.25,,,,,,,,7.2,,
D33,51015821,25.4,8.0,,,,8.0,,,,,,9.4,
D35,51001260,22.35,8.4,,,,6.75,,,,,7.2,,
D43,51002179,27.25,,,,,,,9.5,,8.75,,9.0,
D45,51001296,23.1,,,,,,,6.25,,7.25,9.6,,
D55,51001260,21.2,,6.25,,,,,,,7.75,7.2,,
D63,51002179,27.0,,,,,,9.25,,,8.75,,9.0,
D65,51001296,24.6,,,,,,7.75,,,7.25,9.6,,
D66,51018098,28.65,,,,9.4,,,,9.75,9.5,,,
D69,51002179,27.5,,,,,,,,9.75,8.75,,9.0,
D84,51001447,28.1,8.6,,,10.0,,,,9.5,,,,
D88,51002179,25.55,6.8,,,,,,,9.75,,,9.0,
DD2,51015477,21.5,7.2,,,,,,,,8.5,,,5.8
