Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,52002773,28.25,9.0,9.25,10.0,,,,,,,,,
A01,52002789,28.5,9.2,9.5,,9.8,,,,,,,,
A02,52002789,27.2,9.2,9.5,,,8.5,,,,,,,
A07,52003088,28.7,9.2,,,,,9.5,10.0,,,,,
A08,52001369,28.25,9.0,,,,,9.25,,10.0,,,,
A09,52003088,28.7,9.2,,,,,,10.0,9.5,,,,
B00,52012309,28.1,9.6,,9.25,,9.25,,,,,,,
B03,52012309,27.6,9.6,,,,9.25,,,,8.75,,,
B08,52002789,27.5,9.2,,,9.8,8.5,,,,,,,
C00,52002935,29.5,,,,,,10.0,10.0,,9.5,,,
C01,52001052,27.55,8.8,9.5,,,,,,,9.25,,,
C02,52006394,28.45,9.2,,9.75,,,,,,9.5,,,
C03,52003088,28.2,9.2,,,,,9.5,,,9.5,,,
C04,52003088,28.7,9.2,,,,,,10.0,,9.5,,,
C05,52002773,28.0,,9.25,10.0,,,,,,8.75,,,
C06,52002802,27.0,,9.75,,,8.75,,,,8.5,,,
C08,52002472,27.75,,,9.25,,9.5,,,,9.0,,,
C14,52001369,28.5,9.0,,,,,,,10.0,9.5,,,
C19,52002935,29.25,,,,,,10.0,,9.75,9.5,,,
C20,52002935,29.25,,,,,,,10.0,9.75,9.5,,,
D01,52003078,28.5,9.2,,,9.8,,,,,9.5,,,
D04,52002956,25.9,8.2,,,,,,,,9.5,8.2,,
D06,52002912,25.95,8.2,,,,,,,,8.75,,9.0,
D07,52002789,28.25,9.2,,9.25,9.8,,,,,,,,
D08,52002789,27.5,9.2,,,9.8,8.5,,,,,,,
D09,52003088,28.3,9.2,,,9.6,,9.5,,,,,,
D10,52003088,28.8,9.2,,,9.6,,,10.0,,,,,
D11,52006284,28.15,,9.5,,9.4,,,,,9.25,,,
D12,52002803,28.2,,,10.0,9.2,,,,,9.0,,,
D13,52001004,27.65,,,,9.4,9.0,,,,9.25,,,
D14,52002806,29.05,,,,9.8,,9.75,,,9.5,,,
D15,52003088,29.1,,,,9.6,,,10.0,,9.5,,,
D18,52005134,25.8,7.4,,,,,,9.0,,,,9.4,
D20,52002956,25.4,8.2,,,,,,9.0,,,8.2,,
D23,52009030,20.3,7.6,,6.5,,,,,,,,6.2,
D25,52003857,24.8,8.0,,9.0,,,,,,,7.8,,
D28,52009030,21.05,7.6,7.25,,,,,,,,,6.2,
D30,52003857,24.05,8.0,8.25,,,,,,,,7.8,,
D33,52009030,20.3,7.6,,,,6.5,,,,,,6.2,
D35,52005779,24.35,8.2,,,,7.75,,,,,8.4,,
D43,52005134,25.9,,,,,,,9.0,,7.5,,9.4,
D45,52002956,26.7,,,,,,,9.0,,9.5,8.2,,
D55,52005779,23.9,,6.75,,,,,,,8.75,8.4,,
D63,52002912,25.75,,,,,,8.0,,,8.75,,9.0,
D65,52002956,25.45,,,,,,7.75,,,9.5,8.2,,
D66,52003075,29.25,,,,10.0,,,,10.0,9.25,,,
D69,52002912,26.5,,,,,,,,8.75,8.75,,9.0,
D84,52003075,28.8,8.8,,,10.0,,,,10.0,,,,
D88,52002912,25.95,8.2,,,,,,,8.75,,,9.0,
DD2,52006432,22.6,8.4,,,,,,,,7.0,,,7.2
DH1,52005455,21.4,,,,,,,7.75,,7.25,,,6.4
