Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,53014527,29.15,9.4,10.0,9.75,,,,,,,
A01,53009294,28.25,9.8,9.25,,9.2,,,,,,
A02,53008084,28.0,9.0,9.75,,,9.25,,,,,
A07,53015259,28.4,8.4,,,,,10.0,10.0,,,
A08,53002223,28.35,8.6,,,,,9.75,,10.0,,
A09,53010909,28.35,8.6,,,,,,10.0,9.75,,
B00,53008558,28.3,8.8,,10.0,,9.5,,,,,
B03,53004277,27.3,8.8,,,,9.25,,,,9.25,
B08,53008558,27.9,8.8,,,9.6,9.5,,,,,
C00,53004678,29.5,,,,,,9.75,10.0,,9.75,
C01,53009602,28.0,9.0,9.5,,,,,,,9.5,
C02,53004277,28.05,8.8,,10.0,,,,,,9.25,
C03,53008173,27.65,8.4,,,,,10.0,,,9.25,
C04,53011028,28.1,8.6,,,,,,10.0,,9.5,
C05,53008084,28.75,,9.75,10.0,,,,,,9.0,
C06,53008084,28.0,,9.75,,,9.25,,,,9.0,
C08,53004277,28.5,,,10.0,,9.25,,,,9.25,
C14,53004069,28.05,8.8,,,,,,,9.75,9.5,
C19,53004680,29.25,,,,,,10.0,,9.75,9.5,
C20,53003896,29.25,,,,,,,10.0,9.5,9.75,
D01,53000314,27.85,9.0,,,9.6,,,,,9.25,
D04,53013096,26.4,8.2,,,,,,,,9.0,9.2
D07,53008558,28.4,8.8,,10.0,9.6,,,,,,
D08,53008558,27.9,8.8,,,9.6,9.5,,,,,
D09,53009619,27.85,9.0,,,9.6,,9.25,,,,
D10,53009619,28.1,9.0,,,9.6,,,9.5,,,
D11,53009602,28.2,,9.5,,9.2,,,,,9.5,
D12,53004327,28.45,,,10.0,9.2,,,,,9.25,
D13,53009763,27.85,,,,9.6,9.5,,,,8.75,
D14,53000083,28.85,,,,9.6,,9.75,,,9.5,
D15,53003896,29.35,,,,9.6,,,10.0,,9.75,
D20,53005529,21.65,6.8,,,,,,8.25,,,6.6
D25,53013096,25.4,8.2,,8.0,,,,,,,9.2
D30,53013096,22.9,8.2,5.5,,,,,,,,9.2
D35,53013096,23.9,8.2,,,,6.5,,,,,9.2
D45,53005529,22.85,,,,,,,8.25,,8.0,6.6
D55,53013096,23.7,,5.5,,,,,,,9.0,9.2
D65,53005529,23.1,,,,,,8.5,,,8.0,6.6
D66,53003896,28.85,,,,9.6,,,,9.5,9.75,
D84,53009619,28.35,9.0,,,9.6,,,,9.75,,
