Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,54003384,27.9,9.4,9.0,9.5,,,,,,,,,
A01,54002861,27.9,9.4,8.5,,10.0,,,,,,,,
A02,54001616,26.8,8.8,9.5,,,8.5,,,,,,,
A07,54003360,27.8,8.8,,,,,9.5,9.5,,,,,
A08,54002883,27.8,8.8,,,,,9.5,,9.5,,,,
A09,54000936,28.1,8.6,,,,,,9.75,9.75,,,,
B00,54002880,28.5,9.0,,9.75,,9.75,,,,,,,
B03,54001187,26.75,9.0,,,,8.75,,,,9.0,,,
B08,54003303,27.1,9.2,,,9.4,8.5,,,,,,,
C00,54002935,28.75,,,,,,10.0,10.0,,8.75,,,
C01,54005148,27.15,8.4,9.25,,,,,,,9.5,,,
C02,54003284,27.5,9.0,,9.5,,,,,,9.0,,,
C03,54013568,27.25,9.0,,,,,9.5,,,8.75,,,
C04,54005003,27.2,8.2,,,,,,10.0,,9.0,,,
C05,54001723,27.5,,9.0,9.5,,,,,,9.0,,,
C06,54012103,27.0,,9.25,,,8.75,,,,9.0,,,
C08,54003284,27.0,,,9.5,,8.5,,,,9.0,,,
C14,54001831,27.65,8.4,,,,,,,9.75,9.5,,,
C19,54005011,29.0,,,,,,9.75,,9.75,9.5,,,
C20,54009630,29.0,,,,,,,10.0,10.0,9.0,,,
D01,54003207,27.45,8.8,,,9.4,,,,,9.25,,,
D04,54001767,26.05,7.4,,,,,,,,9.25,9.4,,
D06,54002552,21.4,7.8,,,,,,,,7.0,,6.6,
D07,54002861,28.15,9.4,,8.75,10.0,,,,,,,,
D08,54003303,27.1,9.2,,,9.4,8.5,,,,,,,
D09,54003207,27.2,8.8,,,9.4,,9.0,,,,,,
D10,54000936,27.55,8.6,,,9.2,,,9.75,,,,,
D11,54002842,27.0,,9.0,,10.0,,,,,8.0,,,
D12,54003284,27.7,,,9.5,9.2,,,,,9.0,,,
D13,54007629,26.9,,,,9.4,8.5,,,,9.0,,,
D14,54005011,28.25,,,,9.0,,9.75,,,9.5,,,
D15,54014916,28.05,,,,9.8,,,9.0,,9.25,,,
D20,54001767,25.55,7.4,,,,,,8.75,,,9.4,,
D23,54002552,19.15,7.8,,4.75,,,,,,,,6.6,
D28,54002552,22.15,7.8,7.75,,,,,,,,,6.6,
D33,54002552,20.4,7.8,,,,6.0,,,,,,6.6,
D45,54001767,27.4,,,,,,,8.75,,9.25,9.4,,
D65,54001767,26.9,,,,,,8.25,,,9.25,9.4,,
D66,54014916,28.8,,,,9.8,,,,9.75,9.25,,,
D84,54014916,27.75,8.2,,,9.8,,,,9.75,,,,
DD2,54011021,22.05,8.2,,,,,,,,7.25,,,6.6
