Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,55006046,29.3,9.8,9.5,10.0,,,,,,,,,,
A01,55006046,28.9,9.8,9.5,,9.6,,,,,,,,,
A02,55010109,28.95,9.2,9.75,,,10.0,,,,,,,,
A07,55009255,28.1,8.6,,,,,10.0,9.5,,,,,,
A08,55009255,28.1,8.6,,,,,10.0,,9.5,,,,,
A09,55007146,27.85,8.6,,,,,,9.75,9.5,,,,,
B00,55006046,29.3,9.8,,10.0,,9.5,,,,,,,,
B03,55000032,27.55,8.8,,,,9.25,,,,9.5,,,,
B08,55006046,28.9,9.8,,,9.6,9.5,,,,,,,,
C00,55001208,29.0,,,,,,10.0,9.75,,9.25,,,,
C01,55001027,27.55,8.8,9.75,,,,,,,9.0,,,,
C02,55003641,28.35,9.6,,9.75,,,,,,9.0,,,,
C03,55007146,27.6,8.6,,,,,9.5,,,9.5,,,,
C04,55007146,27.85,8.6,,,,,,9.75,,9.5,,,,
C05,55005780,27.75,,9.25,9.75,,,,,,8.75,,,,
C06,55010109,27.75,,9.75,,,10.0,,,,8.0,,,,
C08,55009981,28.0,,,9.5,,9.5,,,,9.0,,,,
C14,55006006,28.05,8.8,,,,,,,10.0,9.25,,,,
C19,55000699,29.0,,,,,,9.75,,9.75,9.5,,,,
C20,55004558,28.75,,,,,,,9.75,9.75,9.25,,,,
D01,55007555,27.5,8.6,,,9.4,,,,,9.5,,,,
D03,55006374,28.5,9.0,,,,,,,,9.5,10.0,,,
D04,55004525,24.6,7.8,,,,,,,,8.0,,8.8,,
D06,55010896,23.95,7.8,,,,,,,,8.75,,,7.4,
D07,55006046,29.4,9.8,,10.0,9.6,,,,,,,,,
D08,55006046,28.9,9.8,,,9.6,9.5,,,,,,,,
D09,55009255,27.4,8.6,,,8.8,,10.0,,,,,,,
D10,55007146,27.55,8.6,,,9.2,,,9.75,,,,,,
D11,55001027,27.95,,9.75,,9.2,,,,,9.0,,,,
D12,55012780,28.1,,,9.5,9.6,,,,,9.0,,,,
D13,55010109,27.6,,,,9.6,10.0,,,,8.0,,,,
D14,55008301,28.3,,,,9.8,,10.0,,,8.5,,,,
D15,55008291,28.85,,,,9.6,,,9.5,,9.75,,,,
D18,55010896,22.7,7.8,,,,,,7.5,,,,,7.4,
D19,55001774,24.1,8.2,,,,,,7.5,,,8.4,,,
D20,55004525,25.1,7.8,,,,,,8.5,,,,8.8,,
D24,55012595,27.9,8.8,,9.5,,,,,,,9.6,,,
D29,55006374,27.0,9.0,8.0,,,,,,,,10.0,,,
D34,55006374,27.0,9.0,,,,8.0,,,,,10.0,,,
D43,55010896,23.65,,,,,,,7.5,,8.75,,,7.4,
D44,55001774,24.9,,,,,,,7.5,,9.0,8.4,,,
D45,55011118,25.8,,,,,,,9.0,,8.0,,8.8,,
D54,55006374,27.5,,8.0,,,,,,,9.5,10.0,,,
D63,55010896,25.65,,,,,,9.5,,,8.75,,,7.4,
D64,55001774,26.15,,,,,,8.75,,,9.0,8.4,,,
D65,55011118,25.3,,,,,,8.5,,,8.0,,8.8,,
D66,55000426,28.85,,,,9.6,,,,10.0,9.25,,,,
D69,55010896,25.4,,,,,,,,9.25,8.75,,,7.4,
D70,55001774,25.4,,,,,,,,8.0,9.0,8.4,,,
D84,55003305,27.75,8.6,,,9.4,,,,9.75,,,,,
D87,55001774,24.6,8.2,,,,,,,8.0,,8.4,,,
D88,55010896,24.45,7.8,,,,,,,9.25,,,,7.4,
DD2,55003679,20.1,7.2,,,,,,,,6.5,,,,6.4
DH1,55003679,20.9,,,,,,,8.0,,6.5,,,,6.4
