Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Pháp (Tiếng Pháp - Mã: N3),Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,56010681,28.3,8.8,9.5,10.0,,,,,,,,,
A01,56005751,27.65,8.6,9.25,,9.8,,,,,,,,
A02,56010544,27.6,9.6,8.25,,,9.75,,,,,,,
A07,56001956,27.65,8.4,,,,,9.5,9.75,,,,,
A08,56001956,27.65,8.4,,,,,9.5,,9.75,,,,
A09,56003748,28.1,8.6,,,,,,9.5,10.0,,,,
B00,56010544,29.35,9.6,,10.0,,9.75,,,,,,,
B03,56010544,28.1,9.6,,,,9.75,,,,8.75,,,
B08,56005945,27.3,9.0,,,9.8,8.5,,,,,,,
C00,56005852,28.75,,,,,,9.75,10.0,,9.0,,,
C01,56004682,26.9,8.4,9.0,,,,,,,9.5,,,
C02,56010544,28.35,9.6,,10.0,,,,,,8.75,,,
C03,56007404,27.2,8.2,,,,,9.5,,,9.5,,,
C04,56001956,27.4,8.4,,,,,,9.75,,9.25,,,
C05,56003699,27.5,,8.5,10.0,,,,,,9.0,,,
C06,56005507,26.75,,8.25,,,9.25,,,,9.25,,,
C08,56010544,28.5,,,10.0,,9.75,,,,8.75,,,
C14,56007404,27.45,8.2,,,,,,,9.75,9.5,,,
C19,56007404,28.75,,,,,,9.5,,9.75,9.5,,,
C20,56001956,28.75,,,,,,,9.75,9.75,9.25,,,
D01,56003748,27.35,8.6,,,10.0,,,,,8.75,,,
D03,56010612,21.05,7.0,,,,,,,,8.25,5.8,,
D04,56008891,24.4,6.4,,,,,,,,9.0,,9.0,
D06,56011295,23.6,6.6,,,,,,,,8.0,,,9.0
D07,56005688,27.95,8.4,,9.75,9.8,,,,,,,,
D08,56005945,27.3,9.0,,,9.8,8.5,,,,,,,
D09,56003748,27.35,8.6,,,10.0,,8.75,,,,,,
D10,56003748,28.1,8.6,,,10.0,,,9.5,,,,,
D11,56004682,27.5,,9.0,,9.0,,,,,9.5,,,
D12,56010869,27.9,,,9.25,9.4,,,,,9.25,,,
D13,56010869,27.65,,,,9.4,9.0,,,,9.25,,,
D14,56007404,28.2,,,,9.2,,9.5,,,9.5,,,
D15,56003748,28.25,,,,10.0,,,9.5,,8.75,,,
D18,56011236,22.25,7.2,,,,,,7.25,,,,,7.8
D19,56010612,20.55,7.0,,,,,,7.75,,,5.8,,
D20,56009325,22.2,7.0,,,,,,7.0,,,,8.2,
D23,56011295,22.35,6.6,,6.75,,,,,,,,,9.0
D25,56004141,21.75,7.8,,6.75,,,,,,,,7.2,
D28,56011295,20.35,6.6,4.75,,,,,,,,,,9.0
D30,56004141,21.25,7.8,6.25,,,,,,,,,7.2,
D33,56011295,23.35,6.6,,,,7.75,,,,,,,9.0
D35,56004141,21.5,7.8,,,,6.5,,,,,,7.2,
D43,56011236,21.3,,,,,,,7.25,,6.25,,,7.8
D44,56010612,21.8,,,,,,,7.75,,8.25,5.8,,
D45,56009325,22.95,,,,,,,7.0,,7.75,,8.2,
D55,56004141,21.2,,6.25,,,,,,,7.75,,7.2,
D63,56011236,22.3,,,,,,8.25,,,6.25,,,7.8
D64,56010799,21.1,,,,,,6.75,,,8.75,5.6,,
D65,56009325,24.45,,,,,,8.5,,,7.75,,8.2,
D66,56003748,28.75,,,,10.0,,,,10.0,8.75,,,
D69,56011236,23.05,,,,,,,,9.0,6.25,,,7.8
D70,56010799,23.6,,,,,,,,9.25,8.75,5.6,,
D84,56003748,28.6,8.6,,,10.0,,,,10.0,,,,
D87,56010799,21.45,6.6,,,,,,,9.25,,5.6,,
D88,56011236,24.0,7.2,,,,,,,9.0,,,,7.8
