Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,57009778,28.3,8.8,9.75,9.75,,,,,,,,
A01,57001569,27.85,9.2,9.25,,9.4,,,,,,,
A02,57001569,27.45,9.2,9.25,,,9.0,,,,,,
A07,57001396,28.35,8.6,,,,,9.75,10.0,,,,
A08,57001396,28.35,8.6,,,,,9.75,,10.0,,,
A09,57001396,28.6,8.6,,,,,,10.0,10.0,,,
B00,57001514,28.7,9.2,,10.0,,9.5,,,,,,
B03,57001514,26.95,9.2,,,,9.5,,,,8.25,,
B08,57001569,27.6,9.2,,,9.4,9.0,,,,,,
C00,57001396,29.25,,,,,,9.75,10.0,,9.5,,
C01,57004207,26.65,9.4,9.5,,,,,,,7.75,,
C02,57001231,27.5,9.0,,10.0,,,,,,8.5,,
C03,57001396,27.85,8.6,,,,,9.75,,,9.5,,
C04,57001396,28.1,8.6,,,,,,10.0,,9.5,,
C05,57009778,27.25,,9.75,9.75,,,,,,7.75,,
C06,57007384,26.25,,8.5,,,9.25,,,,8.5,,
C08,57001514,27.75,,,10.0,,9.5,,,,8.25,,
C14,57001396,28.1,8.6,,,,,,,10.0,9.5,,
C19,57001396,29.25,,,,,,9.75,,10.0,9.5,,
C20,57001396,29.5,,,,,,,10.0,10.0,9.5,,
D01,57010903,27.0,8.6,,,9.4,,,,,9.0,,
D04,57000172,23.25,7.8,,,,,,,,8.25,7.2,
D06,57000991,19.3,6.0,,,,,,,,6.5,,6.8
D07,57001569,27.85,9.2,,9.25,9.4,,,,,,,
D08,57001569,27.6,9.2,,,9.4,9.0,,,,,,
D09,57003270,26.95,7.6,,,9.6,,9.75,,,,,
D10,57003573,26.95,8.6,,,8.6,,,9.75,,,,
D11,57005736,26.75,,9.0,,9.0,,,,,8.75,,
D12,57005961,27.2,,,8.75,9.2,,,,,9.25,,
D13,57001311,26.9,,,,9.4,9.5,,,,8.0,,
D14,57000463,28.15,,,,9.4,,10.0,,,8.75,,
D15,57008199,27.7,,,,9.2,,,10.0,,8.5,,
D20,57010481,23.1,6.8,,,,,,8.5,,,7.8,
D23,57000991,20.05,6.0,,7.25,,,,,,,,6.8
D28,57000991,19.05,6.0,6.25,,,,,,,,,6.8
D33,57000991,19.8,6.0,,,,7.0,,,,,,6.8
D45,57010481,22.8,,,,,,,8.5,,6.5,7.8,
D65,57010481,23.05,,,,,,8.75,,,6.5,7.8,
D66,57008199,27.7,,,,9.2,,,,10.0,8.5,,
D84,57000289,27.7,8.6,,,9.6,,,,9.5,,,
