Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,58002242,27.95,9.2,9.25,9.5,,,,,,,
A01,58004427,27.6,8.8,9.0,,9.8,,,,,,
A02,58003056,27.0,9.0,9.0,,,9.0,,,,,
A07,58002230,27.75,8.0,,,,,9.75,10.0,,,
A08,58003406,27.95,8.2,,,,,10.0,,9.75,,
A09,58002317,27.95,9.2,,,,,,9.0,9.75,,
B00,58002628,28.9,9.4,,10.0,,9.5,,,,,
B03,58002683,27.85,8.6,,,,9.5,,,,9.75,
B08,58002559,26.8,8.4,,,9.4,9.0,,,,,
C00,58002230,29.25,,,,,,9.75,10.0,,9.5,
C01,58002274,27.95,9.2,9.25,,,,,,,9.5,
C02,58002683,28.1,8.6,,9.75,,,,,,9.75,
C03,58003406,27.95,8.2,,,,,10.0,,,9.75,
C04,58008631,27.9,8.4,,,,,,9.75,,9.75,
C05,58001561,28.0,,9.25,9.0,,,,,,9.75,
C06,58003056,27.75,,9.0,,,9.0,,,,9.75,
C08,58002683,29.0,,,9.75,,9.5,,,,9.75,
C14,58002317,28.45,9.2,,,,,,,9.75,9.5,
C19,58003406,29.5,,,,,,10.0,,9.75,9.75,
C20,58002230,29.25,,,,,,,10.0,9.75,9.5,
D01,58004427,28.1,8.8,,,9.8,,,,,9.5,
D04,58002710,26.1,8.0,,,,,,,,9.5,8.6
D07,58002559,27.55,8.4,,9.75,9.4,,,,,,
D08,58002559,26.8,8.4,,,9.4,9.0,,,,,
D09,58002627,27.3,8.6,,,9.2,,9.5,,,,
D10,58002225,27.5,8.6,,,9.4,,,9.5,,,
D11,58004427,28.3,,9.0,,9.8,,,,,9.5,
D12,58002559,28.65,,,9.75,9.4,,,,,9.5,
D13,58002559,27.9,,,,9.4,9.0,,,,9.5,
D14,58002627,28.45,,,,9.2,,9.5,,,9.75,
D15,58002776,28.7,,,,9.2,,,9.75,,9.75,
D20,58002710,25.35,8.0,,,,,,8.75,,,8.6
D25,58003857,16.1,6.2,,3.5,,,,,,,6.4
D30,58003857,19.85,6.2,7.25,,,,,,,,6.4
D35,58003857,20.1,6.2,,,,7.5,,,,,6.4
D45,58002710,26.85,,,,,,,8.75,,9.5,8.6
D55,58003857,22.65,,7.25,,,,,,,9.0,6.4
D65,58002710,26.35,,,,,,8.25,,,9.5,8.6
D66,58002964,28.85,,,,9.6,,,,9.75,9.5,
D84,58002560,27.8,8.4,,,9.4,,,,10.0,,
