Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,59007175,27.7,9.2,8.75,9.75,,,,,,,
A01,59000115,28.05,8.8,9.25,,10.0,,,,,,
A02,59000015,27.3,8.8,9.25,,,9.25,,,,,
A07,59000037,28.05,8.8,,,,,10.0,9.25,,,
A08,59000037,28.3,8.8,,,,,10.0,,9.5,,
A09,59003010,28.2,8.2,,,,,,10.0,10.0,,
B00,59000279,28.55,8.8,,10.0,,9.75,,,,,
B03,59000353,27.45,9.2,,,,9.25,,,,9.0,
B08,59000353,27.05,9.2,,,8.6,9.25,,,,,
C00,59006974,29.25,,,,,,9.75,10.0,,9.5,
C01,59000115,27.05,8.8,9.25,,,,,,,9.0,
C02,59000353,27.95,9.2,,9.75,,,,,,9.0,
C03,59000037,28.55,8.8,,,,,10.0,,,9.75,
C04,59000037,27.8,8.8,,,,,,9.25,,9.75,
C05,59006954,28.0,,9.0,9.5,,,,,,9.5,
C06,59000015,27.25,,9.25,,,9.25,,,,8.75,
C08,59000108,28.5,,,9.75,,9.5,,,,9.25,
C14,59000037,28.05,8.8,,,,,,,9.5,9.75,
C19,59000037,29.25,,,,,,10.0,,9.5,9.75,
C20,59002337,29.25,,,,,,,9.5,10.0,9.75,
D01,59008477,27.9,8.8,,,9.6,,,,,9.5,
D04,59000892,27.75,8.2,,,,,,,,9.75,9.8
D07,59000350,27.95,9.4,,9.75,8.8,,,,,,
D08,59000353,27.05,9.2,,,8.6,9.25,,,,,
D09,59000037,27.6,8.8,,,8.8,,10.0,,,,
D10,59007760,27.35,8.4,,,9.2,,,9.75,,,
D11,59000115,28.25,,9.25,,10.0,,,,,9.0,
D12,59000017,28.1,,,9.5,9.6,,,,,9.0,
D13,59000017,27.1,,,,9.6,8.5,,,,9.0,
D14,59000037,28.55,,,,8.8,,10.0,,,9.75,
D15,59000037,27.8,,,,8.8,,,9.25,,9.75,
D20,59000892,27.0,8.2,,,,,,9.0,,,9.8
D25,59002497,25.3,8.2,,8.5,,,,,,,8.6
D30,59002497,24.55,8.2,7.75,,,,,,,,8.6
D35,59002211,24.85,7.2,,,,8.25,,,,,9.4
D45,59000892,28.55,,,,,,,9.0,,9.75,9.8
D55,59002497,24.6,,7.75,,,,,,,8.25,8.6
D65,59000892,28.05,,,,,,8.5,,,9.75,9.8
D66,59000037,28.05,,,,8.8,,,,9.5,9.75,
D84,59007760,27.35,8.4,,,9.2,,,,9.75,,
