Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,60000210,28.4,9.4,9.25,9.75,,,,,,,
A01,60001685,27.9,8.8,9.5,,9.6,,,,,,
A02,60005650,26.9,9.4,9.25,,,8.25,,,,,
A07,60000548,28.05,8.8,,,,,9.75,9.5,,,
A08,60000548,28.3,8.8,,,,,9.75,,9.75,,
A09,60000548,28.05,8.8,,,,,,9.5,9.75,,
B00,60000116,28.6,9.6,,9.75,,9.25,,,,,
B03,60006395,26.95,9.2,,,,9.0,,,,8.75,
B08,60005650,26.85,9.4,,,9.2,8.25,,,,,
C00,60001497,29.25,,,,,,10.0,10.0,,9.25,
C01,60005650,27.07,9.4,9.25,,,,,,,8.42,
C02,60000116,27.35,9.6,,9.75,,,,,,8.0,
C03,60000548,27.55,8.8,,,,,9.75,,,9.0,
C04,60000583,27.55,8.8,,,,,,9.75,,9.0,
C05,60000172,27.25,,8.75,9.5,,,,,,9.0,
C06,60001178,26.25,,8.75,,,8.5,,,,9.0,
C08,60000534,27.5,,,9.5,,10.0,,,,8.0,
C14,60000548,27.55,8.8,,,,,,,9.75,9.0,
C19,60000548,28.5,,,,,,9.75,,9.75,9.0,
C20,60003819,28.5,,,,,,,10.0,9.5,9.0,
D01,60005650,27.02,9.4,,,9.2,,,,,8.42,
D04,60002152,18.0,2.8,,,,,,,,7.0,8.2
D07,60001396,27.1,8.2,,9.5,9.4,,,,,,
D08,60005650,26.85,9.4,,,9.2,8.25,,,,,
D09,60003077,27.4,8.4,,,9.0,,10.0,,,,
D10,60000733,27.75,8.4,,,9.6,,,9.75,,,
D11,60001685,27.35,,9.5,,9.6,,,,,8.25,
D12,60001550,27.05,,,9.75,8.8,,,,,8.5,
D13,60004568,26.9,,,,9.4,8.75,,,,8.75,
D14,60003170,27.4,,,,9.4,,9.0,,,9.0,
D15,60003170,28.15,,,,9.4,,,9.75,,9.0,
D20,60002152,16.25,2.8,,,,,,5.25,,,8.2
D45,60002152,20.45,,,,,,,5.25,,7.0,8.2
D65,60002152,23.45,,,,,,8.25,,,7.0,8.2
D66,60003170,27.65,,,,9.4,,,,9.25,9.0,
D84,60000733,27.25,8.4,,,9.6,,,,9.25,,
