Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6)
A00,61000045,28.45,9.2,9.5,9.75,,,,,,,,
A01,61000564,27.85,8.8,9.25,,9.8,,,,,,,
A02,61000045,27.45,9.2,9.5,,,8.75,,,,,,
A07,61007317,27.9,8.4,,,,,9.75,9.75,,,,
A08,61004499,27.9,8.4,,,,,9.5,,10.0,,,
A09,61007317,27.9,8.4,,,,,,9.75,9.75,,,
B00,61000020,28.1,8.6,,9.75,,9.75,,,,,,
B03,61006993,26.85,8.6,,,,9.0,,,,9.25,,
B08,61000211,27.25,9.0,,,9.0,9.25,,,,,,
C00,61007182,29.0,,,,,,9.5,10.0,,9.5,,
C01,61008885,27.5,9.0,9.5,,,,,,,9.0,,
C02,61008885,27.5,9.0,,9.5,,,,,,9.0,,
C03,61004929,27.25,8.0,,,,,10.0,,,9.25,,
C04,61008027,27.45,8.2,,,,,,9.75,,9.5,,
C05,61008885,28.0,,9.5,9.5,,,,,,9.0,,
C06,61008885,26.75,,9.5,,,8.25,,,,9.0,,
C08,61007624,27.25,,,9.25,,8.75,,,,9.25,,
C14,61005652,27.65,8.4,,,,,,,10.0,9.25,,
C19,61007467,29.5,,,,,,10.0,,9.75,9.75,,
C20,61007467,28.75,,,,,,,9.25,9.75,9.75,,
D01,61008027,27.3,8.2,,,9.6,,,,,9.5,,
D04,61002121,25.0,8.0,,,,,,,,8.0,9.0,
D06,61000020,24.15,8.6,,,,,,,,6.75,,8.8
D07,61000045,27.95,9.2,,9.75,9.0,,,,,,,
D08,61000211,27.25,9.0,,,9.0,9.25,,,,,,
D09,61000892,27.05,8.4,,,9.4,,9.25,,,,,
D10,61008027,27.55,8.2,,,9.6,,,9.75,,,,
D11,61008885,27.5,,9.5,,9.0,,,,,9.0,,
D12,61008885,27.5,,,9.5,9.0,,,,,9.0,,
D13,61006993,27.45,,,,9.2,9.0,,,,9.25,,
D14,61008027,28.1,,,,9.6,,9.0,,,9.5,,
D15,61008027,28.85,,,,9.6,,,9.75,,9.5,,
D20,61002121,25.75,8.0,,,,,,8.75,,,9.0,
D23,61000020,27.15,8.6,,9.75,,,,,,,,8.8
D25,61002092,22.5,7.2,,6.5,,,,,,,8.8,
D28,61000020,23.65,8.6,6.25,,,,,,,,,8.8
D30,61002092,24.0,7.2,8.0,,,,,,,,8.8,
D33,61000020,27.15,8.6,,,,9.75,,,,,,8.8
D35,61002092,24.25,7.2,,,,8.25,,,,,8.8,
D45,61002121,25.75,,,,,,,8.75,,8.0,9.0,
D55,61002092,25.3,,8.0,,,,,,,8.5,8.8,
D65,61002121,26.0,,,,,,9.0,,,8.0,9.0,
D66,61005652,28.45,,,,9.2,,,,10.0,9.25,,
D84,61002435,27.75,8.4,,,9.6,,,,9.75,,,
