Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,62000053,28.2,9.2,9.5,9.5,,,,,,,
A01,62000971,27.2,9.0,9.0,,9.2,,,,,,
A02,62000053,26.2,9.2,9.5,,,7.5,,,,,
A07,62000809,28.25,9.0,,,,,9.75,9.5,,,
A08,62000809,27.75,9.0,,,,,9.75,,9.0,,
A09,62001088,27.8,8.8,,,,,,9.75,9.25,,
B00,62000763,28.2,9.2,,10.0,,9.0,,,,,
B03,62000854,26.25,9.0,,,,9.25,,,,8.0,
B08,62000794,26.35,8.8,,,7.8,9.75,,,,,
C00,62002488,29.0,,,,,,10.0,10.0,,9.0,
C01,62000053,26.7,9.2,9.5,,,,,,,8.0,
C02,62000854,26.75,9.0,,9.75,,,,,,8.0,
C03,62000809,27.25,9.0,,,,,9.75,,,8.5,
C04,62000798,27.3,8.8,,,,,,9.0,,9.5,
C05,62000053,27.0,,9.5,9.5,,,,,,8.0,
C06,62004491,25.5,,8.5,,,8.5,,,,8.5,
C08,62000854,27.0,,,9.75,,9.25,,,,8.0,
C14,62000798,27.3,8.8,,,,,,,9.0,9.5,
C19,62001338,28.5,,,,,,9.75,,9.75,9.0,
C20,62001254,28.25,,,,,,,9.5,9.5,9.25,
D01,62000798,27.9,8.8,,,9.6,,,,,9.5,
D04,62000792,26.35,8.6,,,,,,,,8.75,9.0
D07,62000643,27.25,8.6,,9.25,9.4,,,,,,
D08,62000794,26.35,8.8,,,7.8,9.75,,,,,
D09,62000798,27.15,8.8,,,9.6,,8.75,,,,
D10,62000798,27.4,8.8,,,9.6,,,9.0,,,
D11,62000867,26.95,,9.5,,9.2,,,,,8.25,
D12,62000830,26.2,,,8.75,9.2,,,,,8.25,
D13,62000871,26.0,,,,8.0,10.0,,,,8.0,
D14,62000798,27.85,,,,9.6,,8.75,,,9.5,
D15,62000798,28.1,,,,9.6,,,9.0,,9.5,
D20,62000792,24.85,8.6,,,,,,7.25,,,9.0
D45,62000792,25.0,,,,,,,7.25,,8.75,9.0
D65,62000792,25.0,,,,,,7.25,,,8.75,9.0
D66,62000798,28.1,,,,9.6,,,,9.0,9.5,
D84,62000798,27.4,8.8,,,9.6,,,,9.0,,
