Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4),Tiếng Nhật (Tiếng Nhật - Mã: N6),Tiếng Hàn (Tiếng Hàn - Mã: N7)
A00,63005605,28.05,8.8,9.25,10.0,,,,,,,,,
A01,63003202,27.7,8.8,9.5,,9.4,,,,,,,,
A02,63000699,26.75,9.0,9.25,,,8.5,,,,,,,
A07,63003134,27.65,8.4,,,,,9.75,9.5,,,,,
A08,63006186,27.35,8.6,,,,,9.0,,9.75,,,,
A09,63005596,27.25,8.0,,,,,,9.75,9.5,,,,
B00,63001981,27.15,9.4,,8.75,,9.0,,,,,,,
B03,63005606,26.05,8.8,,,,8.75,,,,8.5,,,
B08,63001306,27.75,9.0,,,10.0,8.75,,,,,,,
C00,63000599,29.5,,,,,,10.0,10.0,,9.5,,,
C01,63000666,26.8,8.8,9.25,,,,,,,8.75,,,
C02,63005605,26.8,8.8,,10.0,,,,,,8.0,,,
C03,63003134,26.65,8.4,,,,,9.75,,,8.5,,,
C04,63000555,26.5,8.0,,,,,,9.5,,9.0,,,
C05,63005605,27.25,,9.25,10.0,,,,,,8.0,,,
C06,63006113,25.75,,9.0,,,8.25,,,,8.5,,,
C08,63005375,26.25,,,8.75,,8.5,,,,9.0,,,
C14,63001294,27.0,8.0,,,,,,,10.0,9.0,,,
C19,63000599,28.25,,,,,,10.0,,8.75,9.5,,,
C20,63000599,28.25,,,,,,,10.0,8.75,9.5,,,
D01,63000468,27.1,8.8,,,9.8,,,,,8.5,,,
D04,63007397,24.55,7.2,,,,,,,,8.75,8.6,,
D06,63003937,20.1,7.4,,,,,,,,6.5,,6.2,
D07,63005537,27.5,9.0,,9.5,9.0,,,,,,,,
D08,63001306,27.75,9.0,,,10.0,8.75,,,,,,,
D09,63000857,26.3,8.4,,,9.4,,8.5,,,,,,
D10,63000857,26.55,8.4,,,9.4,,,8.75,,,,,
D11,63000468,27.3,,9.0,,9.8,,,,,8.5,,,
D12,63000788,26.7,,,9.0,9.2,,,,,8.5,,,
D13,63001306,26.5,,,,10.0,8.75,,,,7.75,,,
D14,63001196,27.65,,,,9.4,,9.75,,,8.5,,,
D15,63003918,27.7,,,,9.2,,,9.5,,9.0,,,
D18,63004088,19.1,5.4,,,,,,8.5,,,,5.2,
D20,63007397,24.8,7.2,,,,,,9.0,,,8.6,,
D23,63003937,18.1,7.4,,4.5,,,,,,,,6.2,
D25,63004039,19.8,6.4,,8.0,,,,,,,5.4,,
D28,63003937,18.35,7.4,4.75,,,,,,,,,6.2,
D30,63004039,19.3,6.4,7.5,,,,,,,,5.4,,
D33,63003937,19.6,7.4,,,,6.0,,,,,,6.2,
D35,63004039,19.55,6.4,,,,7.75,,,,,5.4,,
D43,63004088,20.95,,,,,,,8.5,,7.25,,5.2,
D45,63007397,26.35,,,,,,,9.0,,8.75,8.6,,
D55,63004039,21.4,,7.5,,,,,,,8.5,5.4,,
D63,63004088,20.7,,,,,,8.25,,,7.25,,5.2,
D65,63005117,24.95,,,,,,8.0,,,8.75,8.2,,
D66,63003917,28.2,,,,9.2,,,,10.0,9.0,,,
D69,63004088,21.95,,,,,,,,9.5,7.25,,5.2,
D84,63001295,27.1,8.6,,,9.0,,,,9.5,,,,
D88,63004088,20.1,5.4,,,,,,,9.5,,,5.2,
DD2,63004481,22.85,6.8,,,,,,,,8.25,,,7.8
DH1,63004481,24.55,,,,,,,8.5,,8.25,,,7.8
