Tổ hợp môn,Số báo danh,Điểm tổng cao nhất,Toán,Vật Lý,Hóa học,Tiếng Anh (Tiếng Anh - Mã: N1),Sinh học,Lịch Sử,Địa Lí,GDCD,Ngữ Văn,Tiếng Trung Quốc (Tiếng Trung Quốc - Mã: N4)
A00,64000793,27.8,8.8,9.25,9.75,,,,,,,
A01,64001941,27.4,8.8,9.0,,9.6,,,,,,
A02,64005061,26.3,8.8,8.5,,,9.0,,,,,
A07,64000089,27.75,8.0,,,,,9.75,10.0,,,
A08,64007061,27.75,8.0,,,,,10.0,,9.75,,
A09,64000089,27.75,8.0,,,,,,10.0,9.75,,
B00,64006944,28.05,8.8,,9.75,,9.5,,,,,
B03,64007068,26.0,9.0,,,,8.0,,,,9.0,
B08,64005980,26.65,8.8,,,9.6,8.25,,,,,
C00,64007061,29.0,,,,,,10.0,9.75,,9.25,
C01,64002180,26.2,8.2,9.25,,,,,,,8.75,
C02,64004576,26.65,8.4,,10.0,,,,,,8.25,
C03,64007061,27.25,8.0,,,,,10.0,,,9.25,
C04,64003256,27.1,8.6,,,,,,9.5,,9.0,
C05,64002180,26.75,,9.25,8.75,,,,,,8.75,
C06,64000909,25.75,,8.75,,,8.25,,,,8.75,
C08,64002172,27.5,,,9.75,,9.5,,,,8.25,
C14,64007061,27.0,8.0,,,,,,,9.75,9.25,
C19,64007061,29.0,,,,,,10.0,,9.75,9.25,
C20,64005209,28.75,,,,,,,10.0,10.0,8.75,
D01,64004246,26.85,8.4,,,9.2,,,,,9.25,
D04,64004131,21.5,6.8,,,,,,,,7.5,7.2
D07,64004576,28.0,8.4,,10.0,9.6,,,,,,
D08,64005980,26.65,8.8,,,9.6,8.25,,,,,
D09,64007061,27.0,8.0,,,9.0,,10.0,,,,
D10,64007061,26.75,8.0,,,9.0,,,9.75,,,
D11,64000949,26.35,,8.0,,9.6,,,,,8.75,
D12,64004576,27.85,,,10.0,9.6,,,,,8.25,
D13,64004246,26.45,,,,9.2,8.0,,,,9.25,
D14,64007061,28.25,,,,9.0,,10.0,,,9.25,
D15,64007061,28.0,,,,9.0,,,9.75,,9.25,
D20,64004131,21.75,6.8,,,,,,7.75,,,7.2
D45,64004131,22.45,,,,,,,7.75,,7.5,7.2
D65,64004131,21.45,,,,,,6.75,,,7.5,7.2
D66,64007041,28.1,,,,9.6,,,,9.5,9.0,
D84,64007041,27.1,8.0,,,9.6,,,,9.5,,
